from_party,C0 Conservative,C1 Labor,C2 Solidarity,C3 Nationalist,C4 Liberal,C5 Populist,C6 Civic Union Party,C7 Order and Opportunity Party,C8 DSA,C9 Progressive
C0 Conservative,0.0,0.4668,0.8502,1.1752,0.2445,2.9908,1.7932,0.4597,0.066,0.0091
C1 Labor,0.3205,0.0,2.4614,0.0195,1.2783,1.2233,0.789,0.194,0.5972,0.1098
C2 Solidarity,0.7884,2.238,0.0,0.1163,0.3286,4.1393,0.8119,0.3184,0.7534,0.1229
C3 Nationalist,4.5606,0.1246,0.3103,0.0,0.5197,5.7675,0.4033,0.1516,0.8978,0.3182
C4 Liberal,0.1937,3.9157,0.4255,0.4587,0.0,0.2932,1.6317,0.1487,1.1275,0.613
C5 Populist,2.2117,0.2352,2.3039,1.4253,1.0968,0.0,1.5075,0.1365,0.1323,0.3115
C6 Civic Union Party,1.7116,1.0613,1.2025,0.3849,0.7813,1.6441,0.0,0.9704,0.1836,0.0607
C7 Order and Opportunity Party,2.9501,1.4147,0.7081,0.1582,2.419,0.8326,5.3502,0.0,0.5521,0.0192
C8 DSA,0.0494,4.7582,1.427,0.0237,3.0013,1.4194,0.1026,0.1945,0.0,0.5105
C9 Progressive,0.2086,0.5644,0.2853,0.3229,5.9204,0.2528,0.3447,0.2853,2.0369,0.0
