candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,LIB_1,27925.229826895735,17705.91244701278,10219.32,22.3955,True,5,STY_1
CON_1,REF_1,18569.580098901853,27061.562175006657,8491.98,18.6101,True,7,STY_1
CON_1,SD_1,20831.708280506322,24799.433993402192,3967.73,8.6952,True,9,STY_1
CON_1,STY_1,18137.45373560358,27493.688538304938,9356.23,20.5041,True,6,STY_1
LIB_1,REF_1,14275.83131643146,31355.310957477057,17079.48,37.4294,True,3,STY_1
LIB_1,SD_1,11131.081444398924,34500.06082950959,23368.98,51.2128,True,2,STY_1
LIB_1,STY_1,10121.35753865455,35509.78473525396,25388.43,55.6384,True,1,STY_1
REF_1,SD_1,21339.703543468015,24291.438730440503,2951.74,6.4687,True,10,STY_1
REF_1,STY_1,16811.56933057371,28819.572943334802,12008.0,26.3154,True,4,STY_1
SD_1,STY_1,18793.062115197168,26838.080158711346,8045.02,17.6305,True,8,STY_1
