state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1,r1_pct_STY_1
1,AL,STY_1,LBR_1,STY_1,661,4,42.62,15.13,7.57,12.97,21.71
2,AK,LBR_1,STY_1,STY_1,105,4,30.99,23.6,12.26,14.36,18.78
4,AZ,CON_1,POP_1,STY_1,1159,4,30.21,21.35,15.63,19.95,12.86
5,AR,CON_1,POP_1,STY_1,390,4,38.91,24.3,9.46,16.73,10.59
6,CA,LBR_1,STY_1,STY_1,3626,4,20.25,23.74,21.02,15.46,19.54
8,CO,LBR_1,LIB_1,STY_1,785,4,29.55,22.09,22.34,16.73,9.29
9,CT,LBR_1,LIB_1,LBR_1,465,4,25.44,19.7,26.07,18.0,10.79
10,DE,LBR_1,LIB_1,LBR_1,164,4,31.15,31.14,21.81,7.08,8.81
11,DC,LBR_1,POP_1,LBR_1,122,4,11.97,30.14,38.55,11.75,7.59
12,FL,LBR_1,STY_1,STY_1,3350,4,35.85,21.42,11.19,10.66,20.88
13,GA,LBR_1,STY_1,STY_1,1489,4,35.24,21.49,14.21,10.94,18.11
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.39,27.35,24.5,12.1,7.66
16,ID,CON_1,POP_1,POP_1,244,4,38.17,17.92,11.97,21.02,10.91
17,IL,LBR_1,LIB_1,LBR_1,1758,4,28.11,25.84,21.13,13.67,11.25
18,IN,CON_1,STY_1,STY_1,978,4,38.6,19.04,15.04,12.5,14.82
19,IA,LBR_1,STY_1,STY_1,490,4,37.77,23.55,12.73,11.78,14.16
20,KS,STY_1,LIB_1,STY_1,385,4,36.03,18.1,18.34,12.94,14.59
21,KY,CON_1,STY_1,STY_1,674,4,41.85,18.31,10.1,13.22,16.52
22,LA,CON_1,STY_1,STY_1,493,4,39.93,19.66,10.27,8.65,21.49
23,ME,LBR_1,LIB_1,LBR_1,236,4,23.61,21.69,27.26,18.55,8.89
24,MD,LBR_1,LIB_1,LBR_1,791,4,24.03,26.89,21.43,13.94,13.71
25,MA,LBR_1,LIB_1,LBR_1,906,4,27.34,26.52,26.29,9.54,10.33
26,MI,CON_1,POP_1,STY_1,1531,4,35.7,21.81,17.32,13.91,11.26
27,MN,CON_1,LBR_1,LBR_1,811,4,26.47,18.42,29.18,17.97,7.95
28,MS,STY_1,LBR_1,STY_1,349,4,33.72,19.52,7.47,10.09,29.2
29,MO,LBR_1,STY_1,STY_1,1047,4,36.24,22.83,11.75,11.63,17.55
30,MT,LBR_1,STY_1,STY_1,185,4,35.78,19.44,17.48,12.17,15.14
31,NE,LBR_1,STY_1,STY_1,286,4,32.32,24.18,11.73,15.12,16.64
32,NV,LBR_1,STY_1,STY_1,573,4,29.67,21.9,17.91,14.55,15.96
33,NH,LBR_1,LIB_1,LBR_1,252,4,26.33,33.61,20.16,11.15,8.76
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,28.09,24.01,23.21,13.85,10.84
35,NM,LBR_1,STY_1,LBR_1,309,4,27.08,29.75,15.5,13.1,14.58
36,NY,LBR_1,STY_1,LBR_1,2585,4,25.25,27.06,20.47,12.65,14.58
37,NC,CON_1,STY_1,STY_1,1444,4,35.12,18.36,16.33,14.68,15.51
38,ND,CON_1,POP_1,POP_1,90,4,28.83,23.84,14.42,24.19,8.72
39,OH,CON_1,STY_1,STY_1,1978,4,37.02,20.37,13.89,13.77,14.95
40,OK,STY_1,LBR_1,STY_1,537,4,43.93,11.55,11.07,15.23,18.22
41,OR,LBR_1,LIB_1,LBR_1,810,4,23.03,24.27,29.25,16.57,6.88
42,PA,LBR_1,LIB_1,STY_1,2418,4,32.96,21.32,22.35,13.46,9.91
44,RI,LBR_1,LIB_1,LBR_1,176,4,25.68,25.54,26.41,11.15,11.22
45,SC,LBR_1,STY_1,STY_1,736,4,36.59,21.09,11.29,14.32,16.71
46,SD,STY_1,LBR_1,STY_1,137,4,38.61,17.64,11.93,10.45,21.37
47,TN,CON_1,none,CON_1,1065,1,52.49,14.24,7.89,10.38,15.0
48,TX,LBR_1,STY_1,STY_1,3392,4,34.84,21.13,10.15,11.43,22.45
49,UT,LBR_1,STY_1,STY_1,387,4,27.81,26.6,9.75,15.59,20.25
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.29,20.2,39.83,5.92,5.77
51,VA,LBR_1,STY_1,STY_1,1234,4,33.83,24.75,18.1,10.81,12.5
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.31,28.37,25.13,14.74,10.45
54,WV,STY_1,LBR_1,STY_1,335,4,40.11,16.64,7.01,13.41,22.84
55,WI,LBR_1,POP_1,STY_1,1088,4,33.32,23.52,17.98,13.87,11.31
56,WY,LBR_1,POP_1,POP_1,70,4,38.89,18.56,15.19,20.45,6.92
