respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
0,LIB,DSA,LBR,CUP,STY,PRG,POP,CON,OAO,NAT
1,LIB,CUP,LBR,STY,POP,DSA,PRG,CON,OAO,NAT
2,DSA,LBR,STY,LIB,PRG,POP,CUP,CON,OAO,NAT
3,LBR,STY,DSA,POP,CON,LIB,CUP,OAO,PRG,NAT
4,STY,POP,CON,LBR,CUP,OAO,NAT,LIB,DSA,PRG
5,PRG,LIB,LBR,DSA,STY,CUP,POP,CON,OAO,NAT
6,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
7,NAT,POP,STY,CON,LBR,OAO,CUP,LIB,DSA,PRG
8,POP,STY,CON,NAT,LBR,CUP,OAO,LIB,DSA,PRG
9,STY,POP,CON,LBR,OAO,DSA,CUP,LIB,NAT,PRG
10,POP,STY,CON,LBR,OAO,CUP,NAT,LIB,DSA,PRG
11,NAT,CON,POP,STY,CUP,OAO,LBR,LIB,DSA,PRG
12,CUP,POP,CON,STY,LBR,OAO,NAT,LIB,DSA,PRG
13,POP,STY,CON,NAT,LBR,OAO,CUP,DSA,LIB,PRG
14,CON,POP,STY,NAT,LBR,OAO,CUP,LIB,DSA,PRG
15,CUP,CON,POP,STY,NAT,OAO,LBR,LIB,DSA,PRG
16,CON,STY,POP,CUP,OAO,LBR,NAT,LIB,DSA,PRG
17,CON,CUP,OAO,LBR,POP,STY,LIB,NAT,DSA,PRG
18,OAO,CON,STY,LBR,POP,CUP,LIB,NAT,DSA,PRG
19,LIB,LBR,DSA,PRG,CUP,STY,POP,CON,OAO,NAT
20,LBR,OAO,CON,STY,POP,LIB,PRG,CUP,DSA,NAT
21,PRG,DSA,LIB,LBR,STY,CUP,POP,CON,OAO,NAT
22,STY,LBR,POP,CON,DSA,OAO,CUP,LIB,NAT,PRG
23,NAT,CON,POP,STY,OAO,CUP,LBR,LIB,DSA,PRG
24,STY,POP,CON,LBR,OAO,CUP,NAT,LIB,DSA,PRG
25,PRG,DSA,LIB,LBR,STY,CUP,POP,CON,OAO,NAT
26,DSA,LBR,STY,PRG,LIB,CUP,POP,CON,OAO,NAT
27,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
28,CON,CUP,STY,POP,OAO,NAT,LBR,LIB,DSA,PRG
29,STY,LBR,DSA,POP,CUP,LIB,CON,OAO,PRG,NAT
30,STY,POP,LBR,CON,CUP,DSA,OAO,LIB,NAT,PRG
31,OAO,CUP,LBR,CON,LIB,STY,POP,NAT,PRG,DSA
32,CUP,LBR,LIB,STY,POP,CON,OAO,DSA,PRG,NAT
33,OAO,CUP,CON,LIB,LBR,STY,POP,NAT,DSA,PRG
34,LIB,CUP,LBR,STY,POP,OAO,CON,DSA,PRG,NAT
35,CUP,POP,STY,CON,NAT,LBR,OAO,LIB,DSA,PRG
36,CUP,OAO,STY,CON,POP,LBR,LIB,NAT,DSA,PRG
37,POP,STY,LBR,CUP,CON,OAO,LIB,NAT,DSA,PRG
38,POP,STY,CON,LBR,NAT,OAO,CUP,DSA,LIB,PRG
39,DSA,LBR,STY,LIB,PRG,CUP,POP,CON,OAO,NAT
40,STY,LBR,DSA,POP,CUP,LIB,CON,PRG,OAO,NAT
41,CON,NAT,POP,CUP,STY,LBR,OAO,LIB,DSA,PRG
42,LIB,DSA,LBR,STY,CUP,PRG,POP,CON,OAO,NAT
43,PRG,DSA,LIB,LBR,STY,CUP,POP,CON,OAO,NAT
44,LIB,LBR,PRG,DSA,STY,CUP,POP,CON,OAO,NAT
45,LBR,DSA,LIB,STY,CUP,PRG,POP,CON,OAO,NAT
46,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
47,STY,POP,CON,LBR,OAO,CUP,NAT,LIB,DSA,PRG
48,LBR,STY,DSA,LIB,CUP,POP,PRG,CON,OAO,NAT
49,NAT,POP,CON,STY,LBR,OAO,CUP,LIB,DSA,PRG
50,STY,DSA,LBR,POP,CON,CUP,LIB,OAO,PRG,NAT
51,DSA,LBR,STY,POP,LIB,CUP,CON,PRG,OAO,NAT
52,LBR,STY,PRG,LIB,DSA,POP,CUP,CON,OAO,NAT
53,POP,CON,STY,NAT,LBR,OAO,CUP,LIB,DSA,PRG
54,OAO,LIB,CUP,LBR,CON,STY,POP,PRG,DSA,NAT
55,STY,LBR,POP,CON,DSA,OAO,LIB,CUP,NAT,PRG
56,CON,CUP,POP,NAT,STY,OAO,LBR,LIB,DSA,PRG
57,DSA,STY,LBR,POP,CON,CUP,LIB,OAO,PRG,NAT
58,PRG,LIB,LBR,CUP,STY,DSA,POP,CON,OAO,NAT
59,LIB,LBR,STY,DSA,CUP,PRG,POP,CON,OAO,NAT
60,STY,LBR,POP,CON,OAO,DSA,CUP,LIB,NAT,PRG
61,LBR,CON,OAO,STY,POP,CUP,LIB,DSA,NAT,PRG
62,LIB,LBR,CUP,STY,POP,DSA,PRG,CON,OAO,NAT
63,POP,CON,STY,NAT,LBR,OAO,CUP,LIB,DSA,PRG
64,OAO,LIB,CUP,LBR,CON,STY,POP,DSA,NAT,PRG
65,NAT,POP,STY,CON,LBR,OAO,CUP,DSA,LIB,PRG
66,OAO,LBR,CON,STY,LIB,POP,CUP,PRG,DSA,NAT
67,NAT,CON,POP,CUP,STY,LBR,OAO,LIB,DSA,PRG
68,LBR,STY,POP,DSA,CON,LIB,PRG,CUP,OAO,NAT
69,STY,LBR,POP,CON,DSA,OAO,CUP,LIB,NAT,PRG
70,LBR,STY,POP,CON,CUP,OAO,LIB,DSA,NAT,PRG
71,CUP,STY,LBR,LIB,POP,CON,DSA,OAO,PRG,NAT
72,POP,STY,CON,NAT,LBR,OAO,DSA,CUP,LIB,PRG
73,OAO,LBR,CON,STY,POP,LIB,CUP,PRG,DSA,NAT
74,LIB,LBR,CUP,STY,POP,OAO,CON,PRG,DSA,NAT
75,LIB,CUP,LBR,STY,POP,DSA,PRG,CON,OAO,NAT
76,CON,STY,POP,OAO,LBR,CUP,NAT,LIB,DSA,PRG
77,CUP,STY,LBR,POP,LIB,CON,OAO,DSA,PRG,NAT
78,LIB,LBR,PRG,CUP,STY,DSA,POP,CON,OAO,NAT
79,NAT,CON,POP,STY,CUP,LBR,OAO,LIB,DSA,PRG
80,CON,POP,STY,OAO,LBR,CUP,NAT,LIB,DSA,PRG
81,POP,STY,CON,LBR,CUP,OAO,LIB,NAT,DSA,PRG
82,CON,OAO,POP,STY,CUP,LBR,LIB,NAT,DSA,PRG
83,CUP,OAO,CON,STY,POP,LBR,LIB,NAT,DSA,PRG
84,LBR,OAO,STY,CON,POP,LIB,CUP,PRG,DSA,NAT
85,POP,CUP,STY,LBR,CON,OAO,LIB,NAT,DSA,PRG
86,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
87,LIB,LBR,CUP,STY,POP,PRG,DSA,CON,OAO,NAT
88,LIB,CUP,LBR,STY,POP,OAO,CON,DSA,PRG,NAT
89,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
90,OAO,CUP,LIB,LBR,CON,STY,POP,PRG,DSA,NAT
91,OAO,CUP,LIB,LBR,CON,STY,POP,PRG,DSA,NAT
92,NAT,CON,POP,CUP,STY,OAO,LBR,LIB,DSA,PRG
93,POP,STY,CON,LBR,OAO,NAT,CUP,LIB,DSA,PRG
94,CUP,CON,POP,STY,OAO,LBR,NAT,LIB,DSA,PRG
95,NAT,POP,CON,STY,LBR,OAO,CUP,LIB,DSA,PRG
96,LBR,STY,DSA,POP,LIB,CUP,CON,PRG,OAO,NAT
97,POP,STY,CUP,LBR,CON,OAO,LIB,NAT,DSA,PRG
98,CON,POP,OAO,STY,LBR,CUP,NAT,LIB,DSA,PRG
99,CON,STY,POP,OAO,LBR,CUP,NAT,LIB,DSA,PRG
100,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
101,PRG,LIB,DSA,LBR,STY,CUP,POP,CON,OAO,NAT
102,STY,LBR,CUP,LIB,POP,DSA,CON,PRG,OAO,NAT
103,LBR,STY,POP,CUP,LIB,CON,DSA,OAO,PRG,NAT
104,CUP,POP,STY,CON,LBR,OAO,LIB,NAT,DSA,PRG
105,LIB,CUP,LBR,STY,POP,CON,OAO,PRG,DSA,NAT
106,CON,CUP,POP,NAT,STY,OAO,LBR,LIB,DSA,PRG
107,STY,LBR,POP,CON,OAO,CUP,DSA,LIB,NAT,PRG
108,LIB,OAO,CUP,LBR,CON,STY,POP,PRG,DSA,NAT
109,STY,CUP,POP,LBR,CON,LIB,OAO,NAT,DSA,PRG
110,PRG,DSA,LIB,LBR,STY,CUP,POP,CON,OAO,NAT
111,LIB,LBR,CUP,STY,POP,PRG,CON,OAO,DSA,NAT
112,POP,STY,CUP,CON,LBR,OAO,NAT,LIB,DSA,PRG
113,DSA,LBR,STY,LIB,POP,CUP,PRG,CON,OAO,NAT
114,LBR,CUP,POP,STY,CON,LIB,OAO,DSA,NAT,PRG
115,LIB,LBR,CUP,STY,POP,PRG,CON,DSA,OAO,NAT
116,CUP,OAO,CON,STY,POP,LBR,LIB,NAT,DSA,PRG
117,CON,OAO,CUP,STY,POP,LBR,LIB,NAT,DSA,PRG
118,DSA,LBR,STY,LIB,POP,CUP,PRG,CON,OAO,NAT
119,CON,POP,NAT,STY,CUP,OAO,LBR,LIB,DSA,PRG
120,POP,STY,CON,LBR,CUP,NAT,OAO,LIB,DSA,PRG
121,LIB,LBR,CUP,STY,PRG,POP,DSA,CON,OAO,NAT
122,NAT,CON,POP,STY,OAO,LBR,CUP,LIB,DSA,PRG
123,LIB,LBR,CUP,STY,PRG,DSA,POP,CON,OAO,NAT
124,LBR,STY,LIB,POP,CUP,CON,OAO,PRG,DSA,NAT
125,OAO,LIB,LBR,CUP,CON,STY,POP,PRG,DSA,NAT
126,DSA,STY,LBR,POP,CON,CUP,LIB,OAO,PRG,NAT
127,CON,STY,LBR,POP,OAO,CUP,NAT,LIB,DSA,PRG
128,STY,LBR,DSA,POP,CON,OAO,CUP,LIB,NAT,PRG
129,CON,CUP,NAT,POP,STY,OAO,LBR,LIB,DSA,PRG
130,DSA,LBR,STY,LIB,POP,CUP,PRG,CON,OAO,NAT
131,CON,POP,LBR,STY,OAO,NAT,CUP,LIB,DSA,PRG
132,CUP,LBR,POP,STY,CON,LIB,OAO,NAT,DSA,PRG
133,POP,STY,CON,NAT,LBR,OAO,CUP,LIB,DSA,PRG
