respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27
0,LIB_3,LIB_1,LIB_2,DSA_2,CTR_1,SD_1,DSA_1,DSA_3,SD_2,SD_3,STY_2,STY_1,STY_3,CTR_2,CTR_3,PRG_2,PRG_1,REF_2,PRG_3,REF_1,REF_3,NAT_2,CON_3,CON_1,NAT_1,CON_2,NAT_3
1,LIB_3,LIB_1,SD_2,CTR_3,CTR_1,STY_3,CTR_2,LIB_2,STY_1,SD_1,SD_3,STY_2,REF_2,REF_1,REF_3,DSA_2,DSA_1,DSA_3,PRG_3,PRG_1,CON_3,CON_1,PRG_2,NAT_3,CON_2,NAT_1,NAT_2
2,DSA_1,SD_2,DSA_2,DSA_3,SD_1,SD_3,STY_3,STY_1,STY_2,LIB_3,LIB_1,LIB_2,PRG_1,PRG_2,PRG_3,REF_3,REF_1,CTR_1,REF_2,CTR_2,CTR_3,NAT_2,CON_2,CON_1,CON_3,NAT_1,NAT_3
3,SD_3,SD_1,STY_2,STY_1,STY_3,SD_2,DSA_2,DSA_1,DSA_3,REF_3,REF_1,REF_2,CON_3,LIB_3,CTR_1,NAT_1,PRG_2,CON_1,NAT_2,CON_2,PRG_1,PRG_3,LIB_1,LIB_2,CTR_2,CTR_3,NAT_3
4,STY_2,REF_2,REF_1,REF_3,STY_1,STY_3,CON_3,CON_1,SD_2,CON_2,SD_1,SD_3,CTR_1,CTR_2,CTR_3,DSA_2,DSA_1,NAT_2,PRG_3,LIB_1,DSA_3,LIB_2,LIB_3,NAT_1,NAT_3,PRG_1,PRG_2
5,PRG_2,PRG_1,LIB_1,PRG_3,LIB_2,LIB_3,SD_1,SD_2,SD_3,DSA_2,DSA_1,DSA_3,STY_2,STY_1,STY_3,CTR_1,CTR_2,CTR_3,NAT_1,NAT_2,REF_2,NAT_3,REF_1,CON_3,REF_3,CON_1,CON_2
6,LIB_1,DSA_1,PRG_3,PRG_1,LIB_2,LIB_3,SD_2,DSA_2,SD_1,PRG_2,DSA_3,SD_3,STY_3,CTR_1,STY_1,STY_2,CTR_2,CTR_3,REF_2,CON_1,REF_1,REF_3,NAT_2,NAT_1,CON_2,CON_3,NAT_3
7,REF_1,NAT_1,NAT_2,REF_2,NAT_3,REF_3,STY_2,STY_1,STY_3,CON_3,CON_1,CON_2,SD_1,LIB_1,CTR_1,CTR_2,LIB_2,SD_2,LIB_3,DSA_2,SD_3,PRG_3,DSA_1,DSA_3,PRG_1,PRG_2,CTR_3
8,REF_1,REF_2,REF_3,STY_3,STY_1,STY_2,CON_3,CON_1,CON_2,CTR_3,PRG_1,SD_1,CTR_1,NAT_2,CTR_2,LIB_2,DSA_1,DSA_2,PRG_2,DSA_3,LIB_1,NAT_1,SD_2,PRG_3,LIB_3,SD_3,NAT_3
9,STY_1,STY_2,STY_3,SD_2,REF_1,REF_2,CON_3,CON_1,REF_3,SD_1,SD_3,CON_2,NAT_3,LIB_2,CTR_3,NAT_1,PRG_1,DSA_1,LIB_1,DSA_2,LIB_3,CTR_1,PRG_2,CTR_2,PRG_3,NAT_2,DSA_3
