winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,3251.56,surplus
After_Retail,CON_1,CON_1,CTR_1,CTR_1,691.98,surplus
After_Retail,CON_1,CON_1,REF_1,REF_1,487.09,surplus
After_Retail,CON_1,CON_1,NAT_1,NAT_1,438.74,surplus
After_Retail,CON_1,CON_1,STY_1,STY_1,258.41,surplus
After_Retail,CON_1,CON_1,SD_1,SD_1,199.48,surplus
After_Retail,CON_1,CON_1,LIB_1,LIB_1,9.31,surplus
After_Retail,SD_1,SD_1,SD_2,SD_2,2101.28,surplus
After_Retail,SD_1,SD_1,STY_1,STY_1,550.4,surplus
After_Retail,SD_1,SD_1,LIB_1,LIB_1,392.62,surplus
After_Retail,SD_1,SD_1,DSA_1,DSA_1,213.16,surplus
After_Retail,SD_1,SD_1,CTR_1,CTR_1,209.87,surplus
After_Retail,SD_1,SD_1,CON_2,CON_2,139.08,surplus
After_Retail,SD_1,SD_1,REF_1,REF_1,40.23,surplus
After_Retail,SD_1,SD_1,PRG_1,PRG_1,35.26,surplus
After_Retail,STY_1,STY_1,STY_2,STY_2,2641.06,surplus
After_Retail,STY_1,STY_1,SD_2,SD_2,485.51,surplus
After_Retail,STY_1,STY_1,REF_1,REF_1,418.45,surplus
After_Retail,STY_1,STY_1,CTR_1,CTR_1,239.27,surplus
After_Retail,STY_1,STY_1,CON_2,CON_2,217.4,surplus
After_Retail,STY_1,STY_1,DSA_1,DSA_1,62.28,surplus
After_Retail,STY_1,STY_1,LIB_1,LIB_1,33.63,surplus
After_Retail,STY_1,STY_1,PRG_1,PRG_1,2.0,surplus
After_Retail,STY_1,STY_1,NAT_1,NAT_1,0.26,surplus
After_Retail,CTR_1,CTR_1,CTR_2,CTR_2,1629.54,surplus
After_Retail,CTR_1,CTR_1,CON_2,CON_2,357.09,surplus
After_Retail,CTR_1,CTR_1,LIB_1,LIB_1,169.99,surplus
After_Retail,CTR_1,CTR_1,REF_1,REF_1,149.66,surplus
After_Retail,CTR_1,CTR_1,SD_2,SD_2,104.17,surplus
After_Retail,CTR_1,CTR_1,STY_2,STY_2,75.42,surplus
After_Retail,CTR_1,CTR_1,NAT_1,NAT_1,60.08,surplus
After_Retail,CTR_1,CTR_1,PRG_1,PRG_1,0.49,surplus
After_Retail,REF_1,REF_1,REF_2,REF_2,1561.12,surplus
After_Retail,REF_1,REF_1,CON_2,CON_2,337.07,surplus
After_Retail,REF_1,REF_1,STY_2,STY_2,200.24,surplus
After_Retail,REF_1,REF_1,CTR_2,CTR_2,115.08,surplus
After_Retail,REF_1,REF_1,NAT_1,NAT_1,99.97,surplus
After_Retail,REF_1,REF_1,SD_2,SD_2,33.66,surplus
After_Retail,REF_1,REF_1,LIB_1,LIB_1,0.73,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,1199.86,surplus
After_Retail,LIB_1,LIB_1,SD_2,SD_2,160.43,surplus
After_Retail,LIB_1,LIB_1,PRG_1,PRG_1,118.88,surplus
After_Retail,LIB_1,LIB_1,CTR_2,CTR_2,67.38,surplus
After_Retail,LIB_1,LIB_1,DSA_1,DSA_1,47.24,surplus
After_Retail,LIB_1,LIB_1,CON_2,CON_2,7.62,surplus
After_Retail,LIB_1,LIB_1,STY_2,STY_2,7.33,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,909.0,surplus
After_Retail,NAT_1,NAT_1,CON_2,CON_2,126.53,surplus
After_Retail,NAT_1,NAT_1,REF_2,REF_2,19.5,surplus
After_Retail,NAT_1,NAT_1,CTR_2,CTR_2,10.47,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,703.66,surplus
After_Retail,CON_2,CON_2,CTR_2,CTR_2,81.87,surplus
After_Retail,CON_2,CON_2,REF_2,REF_2,49.14,surplus
After_Retail,CON_2,CON_2,NAT_2,NAT_2,37.58,surplus
After_Retail,CON_2,CON_2,SD_2,SD_2,27.04,surplus
After_Retail,CON_2,CON_2,STY_2,STY_2,26.58,surplus
After_Retail,CON_2,CON_2,LIB_2,LIB_2,0.39,surplus
After_Retail,CON_3,CON_3,REF_2,REF_2,289.35,elimination
After_Retail,CON_3,CON_3,CTR_2,CTR_2,157.06,elimination
After_Retail,CON_3,CON_3,STY_2,STY_2,139.61,elimination
After_Retail,CON_3,CON_3,NAT_2,NAT_2,66.48,elimination
After_Retail,CON_3,CON_3,SD_2,SD_2,51.14,elimination
After_Retail,CON_3,CON_3,LIB_2,LIB_2,0.04,elimination
After_Retail,NAT_2,NAT_2,REF_2,REF_2,764.28,elimination
After_Retail,NAT_2,NAT_2,CTR_2,CTR_2,248.66,elimination
After_Retail,NAT_2,NAT_2,STY_2,STY_2,0.12,elimination
After_Retail,LIB_2,LIB_2,SD_2,SD_2,672.54,elimination
After_Retail,LIB_2,LIB_2,CTR_2,CTR_2,299.68,elimination
After_Retail,LIB_2,LIB_2,PRG_1,PRG_1,121.42,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,93.61,elimination
After_Retail,LIB_2,LIB_2,STY_2,STY_2,13.03,elimination
After_Retail,SD_2,SD_2,STY_2,STY_2,75.88,surplus
After_Retail,SD_2,SD_2,CTR_2,CTR_2,30.22,surplus
After_Retail,SD_2,SD_2,DSA_1,DSA_1,12.41,surplus
After_Retail,SD_2,SD_2,PRG_1,PRG_1,4.88,surplus
After_Retail,SD_2,SD_2,REF_2,REF_2,2.28,surplus
After_Retail,PRG_1,PRG_1,DSA_1,DSA_1,2368.01,elimination
After_Retail,PRG_1,PRG_1,CTR_2,CTR_2,68.67,elimination
After_Retail,PRG_1,PRG_1,STY_2,STY_2,39.58,elimination
After_Retail,DSA_1,DSA_1,STY_2,STY_2,1751.96,surplus
After_Retail,DSA_1,DSA_1,CTR_2,CTR_2,165.15,surplus
After_Retail,STY_2,STY_2,REF_2,REF_2,934.12,surplus
After_Retail,STY_2,STY_2,CTR_2,CTR_2,526.62,surplus
After_Retail,REF_2,REF_2,CTR_2,CTR_2,109.69,surplus
After_Retail,CTR_2,CTR_2,REF_1,REF_1,753.78,elimination
After_Retail,CTR_2,CTR_2,STY_1,STY_1,562.44,elimination
After_Retail,CTR_2,CTR_2,CON_1,CON_1,490.05,elimination
After_Retail,CTR_2,CTR_2,SD_1,SD_1,435.14,elimination
After_Retail,CTR_2,CTR_2,CON_2,CON_2,307.86,elimination
After_Retail,CTR_2,CTR_2,SD_2,SD_2,249.67,elimination
After_Retail,CTR_2,CTR_2,REF_2,REF_2,216.29,elimination
After_Retail,CTR_2,CTR_2,STY_2,STY_2,202.35,elimination
After_Retail,CTR_2,CTR_2,LIB_1,LIB_1,110.02,elimination
After_Retail,CTR_2,CTR_2,NAT_1,NAT_1,108.04,elimination
After_Retail,CTR_2,CTR_2,DSA_1,DSA_1,45.54,elimination
After_Pod_A,CON_1,CON_1,CON_2,CON_2,2609.96,surplus
After_Pod_A,CON_1,CON_1,CTR_1,CTR_1,555.44,surplus
After_Pod_A,CON_1,CON_1,REF_1,REF_1,390.98,surplus
After_Pod_A,CON_1,CON_1,NAT_1,NAT_1,352.16,surplus
After_Pod_A,CON_1,CON_1,STY_1,STY_1,207.42,surplus
After_Pod_A,CON_1,CON_1,SD_1,SD_1,160.12,surplus
After_Pod_A,CON_1,CON_1,LIB_1,LIB_1,7.47,surplus
After_Pod_A,SD_1,SD_1,SD_2,SD_2,1576.6,surplus
After_Pod_A,SD_1,SD_1,STY_1,STY_1,408.42,surplus
After_Pod_A,SD_1,SD_1,LIB_1,LIB_1,353.03,surplus
After_Pod_A,SD_1,SD_1,DSA_1,DSA_1,184.04,surplus
After_Pod_A,SD_1,SD_1,CTR_1,CTR_1,154.55,surplus
After_Pod_A,SD_1,SD_1,CON_2,CON_2,96.71,surplus
After_Pod_A,SD_1,SD_1,REF_1,REF_1,29.56,surplus
After_Pod_A,STY_1,STY_1,STY_2,STY_2,1864.89,surplus
After_Pod_A,STY_1,STY_1,SD_2,SD_2,317.2,surplus
After_Pod_A,STY_1,STY_1,REF_1,REF_1,295.87,surplus
After_Pod_A,STY_1,STY_1,CTR_1,CTR_1,168.91,surplus
After_Pod_A,STY_1,STY_1,CON_2,CON_2,141.51,surplus
After_Pod_A,STY_1,STY_1,DSA_1,DSA_1,45.02,surplus
After_Pod_A,STY_1,STY_1,LIB_1,LIB_1,24.92,surplus
After_Pod_A,STY_1,STY_1,NAT_1,NAT_1,0.18,surplus
After_Pod_A,LIB_1,LIB_1,SD_2,SD_2,613.63,surplus
After_Pod_A,LIB_1,LIB_1,CTR_1,CTR_1,460.63,surplus
After_Pod_A,LIB_1,LIB_1,DSA_1,DSA_1,426.86,surplus
After_Pod_A,LIB_1,LIB_1,STY_2,STY_2,10.87,surplus
After_Pod_A,LIB_1,LIB_1,CON_2,CON_2,7.55,surplus
After_Pod_A,LIB_1,LIB_1,REF_1,REF_1,0.95,surplus
After_Pod_A,CTR_1,CTR_1,CON_2,CON_2,622.17,surplus
After_Pod_A,CTR_1,CTR_1,SD_2,SD_2,476.94,surplus
After_Pod_A,CTR_1,CTR_1,REF_1,REF_1,296.83,surplus
After_Pod_A,CTR_1,CTR_1,STY_2,STY_2,248.27,surplus
After_Pod_A,CTR_1,CTR_1,NAT_1,NAT_1,45.57,surplus
After_Pod_A,CTR_1,CTR_1,DSA_1,DSA_1,2.03,surplus
After_Pod_A,REF_1,REF_1,REF_2,REF_2,859.43,surplus
After_Pod_A,REF_1,REF_1,CON_2,CON_2,171.39,surplus
After_Pod_A,REF_1,REF_1,STY_2,STY_2,110.74,surplus
After_Pod_A,REF_1,REF_1,NAT_1,NAT_1,51.57,surplus
After_Pod_A,REF_1,REF_1,SD_2,SD_2,20.46,surplus
After_Pod_A,REF_2,REF_2,STY_2,STY_2,567.11,elimination
After_Pod_A,REF_2,REF_2,CON_2,CON_2,217.21,elimination
After_Pod_A,REF_2,REF_2,NAT_1,NAT_1,62.44,elimination
After_Pod_A,REF_2,REF_2,SD_2,SD_2,12.67,elimination
After_Pod_A,STY_2,STY_2,SD_2,SD_2,1898.5,elimination
After_Pod_A,STY_2,STY_2,CON_2,CON_2,733.82,elimination
After_Pod_A,STY_2,STY_2,DSA_1,DSA_1,129.96,elimination
After_Pod_A,STY_2,STY_2,NAT_1,NAT_1,39.58,elimination
After_Pod_A,SD_2,SD_2,DSA_1,DSA_1,166.52,surplus
After_Pod_A,SD_2,SD_2,CON_2,CON_2,159.56,surplus
After_Pod_A,SD_2,SD_2,NAT_1,NAT_1,26.8,surplus
After_Pod_A,CON_2,CON_2,NAT_1,NAT_1,155.89,surplus
After_Pod_A,CON_2,CON_2,DSA_1,DSA_1,40.87,surplus
After_Pod_A,NAT_1,NAT_1,DSA_1,DSA_1,147.65,surplus
After_Pod_A,DSA_1,DSA_1,SD_1,SD_1,2397.74,elimination
After_Pod_A,DSA_1,DSA_1,LIB_1,LIB_1,1038.34,elimination
After_Pod_A,DSA_1,DSA_1,STY_1,STY_1,604.81,elimination
After_Pod_A,DSA_1,DSA_1,SD_2,SD_2,291.86,elimination
After_Pod_A,DSA_1,DSA_1,NAT_1,NAT_1,60.31,elimination
After_Pod_A,DSA_1,DSA_1,CTR_1,CTR_1,44.93,elimination
After_Pod_A,DSA_1,DSA_1,REF_1,REF_1,44.17,elimination
After_Pod_A,DSA_1,DSA_1,CON_1,CON_1,44.05,elimination
After_Pod_A,DSA_1,DSA_1,CON_2,CON_2,6.77,elimination
After_Pod_C,SD_1,SD_1,SD_2,SD_2,2162.4,surplus
After_Pod_C,SD_1,SD_1,STY_1,STY_1,515.38,surplus
After_Pod_C,SD_1,SD_1,LIB_1,LIB_1,443.37,surplus
After_Pod_C,SD_1,SD_1,CTR_1,CTR_1,138.41,surplus
After_Pod_C,SD_1,SD_1,CON_1,CON_1,137.59,surplus
After_Pod_C,SD_1,SD_1,REF_1,REF_1,27.41,surplus
After_Pod_C,CON_1,CON_1,CON_2,CON_2,2046.89,surplus
After_Pod_C,CON_1,CON_1,CTR_1,CTR_1,433.48,surplus
After_Pod_C,CON_1,CON_1,REF_1,REF_1,297.73,surplus
After_Pod_C,CON_1,CON_1,NAT_1,NAT_1,265.56,surplus
After_Pod_C,CON_1,CON_1,STY_1,STY_1,178.53,surplus
After_Pod_C,CON_1,CON_1,SD_2,SD_2,48.95,surplus
After_Pod_C,CON_1,CON_1,LIB_1,LIB_1,9.22,surplus
After_Pod_C,STY_1,STY_1,SD_2,SD_2,1137.9,surplus
After_Pod_C,STY_1,STY_1,REF_1,REF_1,781.94,surplus
After_Pod_C,STY_1,STY_1,CTR_1,CTR_1,239.49,surplus
After_Pod_C,STY_1,STY_1,CON_2,CON_2,158.35,surplus
After_Pod_C,STY_1,STY_1,LIB_1,LIB_1,26.75,surplus
After_Pod_C,STY_1,STY_1,NAT_1,NAT_1,0.14,surplus
After_Pod_C,LIB_1,LIB_1,SD_2,SD_2,1034.26,surplus
After_Pod_C,LIB_1,LIB_1,CTR_1,CTR_1,381.46,surplus
After_Pod_C,LIB_1,LIB_1,CON_2,CON_2,6.0,surplus
After_Pod_C,LIB_1,LIB_1,REF_1,REF_1,0.74,surplus
After_Pod_C,CTR_1,CTR_1,CON_2,CON_2,155.85,surplus
After_Pod_C,CTR_1,CTR_1,SD_2,SD_2,142.31,surplus
After_Pod_C,CTR_1,CTR_1,REF_1,REF_1,95.53,surplus
After_Pod_C,CTR_1,CTR_1,NAT_1,NAT_1,10.65,surplus
After_Pod_C,REF_1,REF_1,CON_2,CON_2,164.77,surplus
After_Pod_C,REF_1,REF_1,SD_2,SD_2,65.62,surplus
After_Pod_C,REF_1,REF_1,NAT_1,NAT_1,31.58,surplus
After_Pod_C,CON_2,CON_2,SD_2,SD_2,1366.37,elimination
After_Pod_C,CON_2,CON_2,NAT_1,NAT_1,1165.49,elimination
After_Pod_C,SD_2,SD_2,NAT_1,NAT_1,253.92,surplus
After_Pod_C,NAT_1,NAT_1,CON_1,CON_1,2407.76,elimination
After_Pod_C,NAT_1,NAT_1,REF_1,REF_1,1873.36,elimination
After_Pod_C,NAT_1,NAT_1,CTR_1,CTR_1,535.94,elimination
After_Pod_C,NAT_1,NAT_1,SD_1,SD_1,396.47,elimination
After_Pod_C,NAT_1,NAT_1,STY_1,STY_1,227.19,elimination
After_Pod_C,NAT_1,NAT_1,LIB_1,LIB_1,66.8,elimination
After_Pod_C,NAT_1,NAT_1,SD_2,SD_2,60.58,elimination
