phase,party_code,vote_total,vote_pct,n_candidates,n_active,status
After_Pod_A,CTR,2349.1866,19.7312,2,2,active
After_Pod_A,PRG,1647.627,13.8387,2,1,active
After_Pod_A,CON,1627.1068,13.6663,3,1,active
After_Pod_A,LIB,1356.1058,11.3901,2,1,active
After_Pod_A,STY,1323.7658,11.1185,3,1,active
After_Pod_A,NAT,1316.2462,11.0553,2,1,active
After_Pod_A,SD,1193.2077,10.0219,3,1,active
After_Pod_A,REF,1092.7227,9.1779,2,1,active
After_Pod_A,DSA,0.0,0.0,2,0,eliminated
After_Pod_BD,LIB,12906.706,28.2849,2,1,active
After_Pod_BD,REF,8705.5751,19.0781,2,1,active
After_Pod_BD,CTR,8335.3962,18.2669,2,1,active
After_Pod_BD,CON,8179.3991,17.925,3,1,active
After_Pod_BD,STY,7504.066,16.4451,3,1,active
After_Pod_BD,DSA,0.0,0.0,2,0,eliminated
After_Pod_BD,NAT,0.0,0.0,2,0,eliminated
After_Pod_BD,PRG,0.0,0.0,2,0,eliminated
After_Pod_BD,SD,0.0,0.0,3,0,eliminated
After_Pod_C,REF,3871.1478,18.3593,2,1,active
After_Pod_C,CTR,3719.983,17.6424,2,1,active
After_Pod_C,CON,3715.6419,17.6218,3,1,active
After_Pod_C,PRG,2805.254,13.3042,2,1,active
After_Pod_C,LIB,2513.3751,11.9199,2,1,active
After_Pod_C,STY,2236.2519,10.6056,3,1,active
After_Pod_C,SD,2223.845,10.5468,3,1,active
After_Pod_C,DSA,0.0,0.0,2,0,eliminated
After_Pod_C,NAT,0.0,0.0,2,0,eliminated
After_Retail_Six,CTR,378.6692,18.2033,2,2,active
After_Retail_Six,CON,317.9347,15.2837,3,2,active
After_Retail_Six,NAT,237.4889,11.4165,2,1,active
After_Retail_Six,REF,236.5514,11.3714,2,2,active
After_Retail_Six,PRG,193.6097,9.3071,2,1,active
After_Retail_Six,STY,193.5906,9.3062,3,1,active
After_Retail_Six,LIB,184.658,8.8768,2,1,active
After_Retail_Six,SD,181.9424,8.7463,3,1,active
After_Retail_Six,DSA,155.7835,7.4888,2,1,active
