state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_POP_1_pct,finalist_SD_1_pct,finalist_STY_1_pct,finalist_SD_2_pct,finalist_LIB_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_CON_2_pct,finalist_PRG_1_pct
1,AL,STY_1,STY_1,STY,pure,2,,726.21,17,5,35.3209,10.5181,11.4757,19.3788,23.3066,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,130.64,20,5,21.656,21.0084,,27.3011,30.0344,0.0,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,1160.11,22,5,29.0024,,22.2625,17.1568,16.7666,,14.8117,,,,
5,AR,STY_1,STY_1,STY,pure,2,,412.18,20,5,27.2342,9.3439,17.3177,34.2732,11.831,,,,,,
6,CA,STY_1,STY_1,STY,pure,2,,3966.17,20,5,20.7772,,14.3515,26.967,20.5652,,17.3392,,,,
8,CO,STY_1,STY_1,STY,pure,2,,827.29,20,5,26.8056,,19.6339,22.6731,12.2477,,18.6397,,,,
9,CT,SD_1,SD_1,SD,pure,1,,484.15,20,5,28.0875,,13.7394,23.9968,9.7065,,24.4697,,,,
10,DE,SD_1,SD_1,SD,pure,1,,216.95,18,5,22.1431,9.9594,11.5207,43.9906,12.3862,,,,,,
11,DC,SD_1,SD_1,SD,pure,1,,117.36,18,5,,20.143,,23.5572,13.251,,31.8513,11.1975,,,
12,FL,STY_1,STY_1,STY,pure,2,,3184.13,21,5,27.4538,17.8043,8.5577,25.9828,20.2014,,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1472.39,19,5,26.8779,12.6161,10.3741,32.0377,18.0942,,,,,,
15,HI,STY_1,STY_1,STY,pure,2,,203.15,18,5,25.2131,,13.6198,21.9769,16.6631,,22.527,,,,
16,ID,POP_1,POP_1,POP,pure,5,,325.33,19,5,23.0001,,23.5273,26.8649,13.7211,,,,12.8865,,
17,IL,SD_1,SD_1,SD,pure,1,,1460.33,20,5,26.4067,,12.8615,28.0813,13.3852,,19.2653,,,,
18,IN,STY_1,STY_1,STY,pure,2,,994.99,20,5,29.5214,16.9399,11.3165,26.6328,15.5894,,,,,,
19,IA,STY_1,STY_1,STY,pure,2,,446.79,21,5,27.1449,21.3823,11.8366,24.8107,14.8256,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,372.7,19,5,33.5284,,11.9301,17.6651,20.1854,,16.691,,,,
21,KY,STY_1,STY_1,STY,pure,2,,717.93,20,5,31.2106,13.6794,14.4335,27.4106,13.2659,,,,,,
22,LA,STY_1,STY_1,STY,pure,2,,508.41,18,5,30.551,21.4872,9.5919,19.4214,18.9485,,,,,,
23,ME,SD_1,SD_1,SD,pure,1,,243.16,22,5,22.219,,19.2384,25.2687,11.9227,,21.3512,,,,
24,MD,STY_1,STY_1,STY,pure,2,,782.14,20,5,24.1873,10.2543,,24.8291,22.213,,18.5164,,,,
25,MA,SD_1,SD_1,SD,pure,1,,790.97,21,5,27.2989,,9.4668,27.5331,11.7013,,23.9999,,,,
