state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CTR_1_pct,finalist_REF_2_pct,finalist_SD_1_pct,finalist_STY_1_pct,finalist_REF_1_pct,finalist_LIB_1_pct,finalist_SD_2_pct,finalist_STY_2_pct,finalist_CON_2_pct,finalist_CTR_2_pct,finalist_DSA_1_pct,finalist_SD_3_pct,finalist_NAT_1_pct,finalist_STY_3_pct,finalist_LIB_2_pct,finalist_PRG_3_pct
1,AL,STY_1,STY_1,STY,pure,2,,726.21,17,5,31.8776,12.4189,13.1131,25.6401,16.9502,,,,,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,130.64,20,5,19.9374,12.4888,,36.0569,17.349,14.1679,,,,,,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,1160.11,22,5,27.548,,,18.9706,14.0035,22.9312,16.5467,,,,,,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,412.18,20,5,25.9899,17.5152,,,17.1603,14.1404,,25.1942,,,,,,,,,
6,CA,STY_1,STY_1,STY,pure,2,,3966.17,20,5,18.6118,,,23.3394,20.6941,16.6421,20.7126,,,,,,,,,,
8,CO,STY_2,STY_2,STY,pure,2,,827.29,20,5,28.2828,,,22.2129,,18.7891,21.0434,,9.6718,,,,,,,,
9,CT,SD_1,SD_1,SD,pure,1,,484.15,20,5,20.4458,,,24.5031,,,22.1989,,16.5646,16.2876,,,,,,,
10,DE,SD_1,SD_1,SD,pure,1,,216.95,18,5,17.1247,,,15.2401,,,,24.9926,,19.2117,23.4309,,,,,,
11,DC,SD_1,SD_1,SD,pure,1,,117.36,18,5,,16.2524,,20.8083,,,27.5739,20.6324,,,,14.733,,,,,
12,FL,STY_1,STY_1,STY,pure,2,,3184.13,21,5,18.6415,16.5636,,24.7143,26.3833,,,,,13.6973,,,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1472.39,19,5,23.404,21.1595,,27.2403,16.1551,12.0411,,,,,,,,,,,
15,HI,SD_1,SD_1,SD,pure,1,,203.15,18,5,,,,20.4206,22.5052,,19.6504,,,26.0725,,,11.3514,,,,
16,ID,REF_1,REF_1,REF,pure,5,,325.33,19,5,28.1287,,,24.5664,13.03,18.4331,,,,,15.8418,,,,,,
17,IL,STY_1,STY_1,STY,pure,2,,1460.33,20,5,23.285,,,24.6398,15.2663,15.6656,21.1432,,,,,,,,,,
18,IN,STY_1,STY_1,STY,pure,2,,994.99,20,5,22.3977,17.208,,27.0132,19.1021,,,,,14.2789,,,,,,,
19,IA,STY_1,STY_1,STY,pure,2,,446.79,21,5,,19.2093,,,18.7657,,,28.5855,,19.8465,,,,13.593,,,
20,KS,STY_1,STY_1,STY,pure,2,,372.7,19,5,33.5952,,,,14.7378,15.7585,16.7577,19.1509,,,,,,,,,
21,KY,STY_1,STY_1,STY,pure,2,,717.93,20,5,26.1189,,,25.9842,17.9782,15.0837,,,,14.8349,,,,,,,
22,LA,STY_1,STY_1,STY,pure,2,,508.41,18,5,23.0957,16.5092,,23.3849,24.216,,,,,12.7942,,,,,,,
23,ME,SD_1,SD_1,SD,pure,1,,243.16,22,5,25.2575,,13.9135,24.1012,,,24.1889,,12.5388,,,,,,,,
24,MD,SD_1,SD_1,SD,pure,1,,782.14,20,5,,14.7448,,24.4378,15.6146,24.3255,20.8772,,,,,,,,,,
25,MA,SD_1,SD_1,SD,pure,1,,790.97,21,5,22.0584,,,21.5727,,19.3774,23.6018,13.3897,,,,,,,,,
26,MI,STY_1,STY_1,STY,pure,2,,1329.58,19,5,32.232,,,19.3564,14.986,16.0445,17.381,,,,,,,,,,
27,MN,STY_1,STY_1,STY,pure,2,,714.01,21,5,22.8555,,15.972,19.7879,14.8783,,26.5063,,,,,,,,,,
28,MS,STY_1,STY_1,STY,pure,2,,444.25,17,5,25.4836,17.9909,,,28.4571,12.7479,,,15.3205,,,,,,,,
29,MO,STY_1,STY_1,STY,pure,2,,950.73,20,5,,,,21.0676,20.228,15.0701,12.6879,,,30.9464,,,,,,,
30,MT,STY_1,STY_1,STY,pure,2,,257.38,21,5,29.0535,,13.1394,,15.6273,,,25.2933,,,16.8865,,,,,,
31,NE,SD_1,SD_1,SD,pure,1,,295.91,21,5,24.688,14.1112,,26.3087,,19.0656,,15.8265,,,,,,,,,
32,NV,SD_1,SD_1,SD,pure,1,,707.53,20,5,15.3959,,,27.65,,22.5027,,20.8464,,13.6049,,,,,,,
33,NH,SD_1,SD_1,SD,pure,1,,264.7,20,5,,21.3979,,29.9001,14.282,16.944,17.476,,,,,,,,,,
34,NJ,STY_1,STY_1,STY,pure,2,,1162.21,20,5,24.1237,,,24.4353,11.8065,17.1297,22.5048,,,,,,,,,,
35,NM,STY_1,STY_1,STY,pure,2,,415.1,20,5,26.3317,,,,17.7476,19.4409,17.8506,18.6292,,,,,,,,,
36,NY,STY_1,STY_1,STY,pure,2,,2314.44,21,5,23.5025,,,24.5403,17.0011,15.3321,19.6241,,,,,,,,,,
37,NC,STY_1,STY_1,STY,pure,2,,1455.35,21,5,32.8317,,,20.4443,15.1396,16.096,15.4884,,,,,,,,,,
38,ND,REF_1,REF_1,REF,pure,5,,112.02,20,5,,15.0004,,,9.5805,34.1509,,23.5733,,17.695,,,,,,,
39,OH,STY_1,STY_1,STY,pure,2,,1727.15,21,5,27.5088,16.5645,,,14.6383,16.9689,,24.3195,,,,,,,,,
40,OK,STY_2,STY_2,STY,pure,2,,606.2,21,5,23.7501,,,,,,,21.3259,24.4023,16.2536,14.2682,,,,,,
41,OR,SD_2,SD_2,SD,pure,1,,861.73,22,5,21.4618,,,,,21.8162,22.5448,18.5792,,,,15.5981,,,,,
42,PA,STY_1,STY_1,STY,pure,2,,2189.53,20,5,29.7643,,,20.7878,12.747,16.7058,19.995,,,,,,,,,,
44,RI,SD_1,SD_1,SD,pure,1,,163.32,22,5,,,,20.2399,,,21.8419,15.8873,,26.1416,,,,,15.8892,,
45,SC,STY_1,STY_1,STY,pure,2,,730.29,20,5,23.8073,,,25.9831,24.1987,13.8085,,,,12.2024,,,,,,,
46,SD,STY_1,STY_1,STY,pure,2,,141.48,20,5,29.5539,14.5582,,25.9746,15.0074,14.9059,,,,,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,1143.42,18,5,29.1703,15.0193,,19.0404,18.2716,,,,,18.4984,,,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,3555.07,20,5,24.2981,16.784,,25.8809,21.2468,11.7902,,,,,,,,,,,
49,UT,STY_2,STY_2,STY,pure,2,,462.14,21,5,23.3865,,,31.7787,,14.9369,,,17.1558,,,,,,12.7421,,
50,VT,SD_2,SD_2,SD,pure,1,,107.67,21,5,14.9527,,,,,,,25.9808,,18.7721,,,,,,18.4753,21.8191
51,VA,STY_1,STY_1,STY,pure,2,,1326.72,21,5,30.1897,,,24.2144,13.1807,14.1249,18.2904,,,,,,,,,,
53,WA,SD_1,SD_1,SD,pure,1,,1221.78,20,5,18.5649,,,27.7596,13.4162,17.0901,23.1693,,,,,,,,,,
54,WV,STY_1,STY_1,STY,pure,2,,360.26,19,5,32.5332,,15.771,21.6453,14.6902,,,,,,15.3603,,,,,,
55,WI,STY_1,STY_1,STY,pure,2,,969.41,20,5,,,,21.5783,14.4406,21.5935,17.391,,,24.9966,,,,,,,
56,WY,REF_1,REF_1,REF,pure,5,,98.3,19,5,24.2335,,15.0034,31.5079,,13.3714,,,,,,,,15.8838,,,
