state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_DSA,inc_PRG
1,AL,CON_1,CON,23.88,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,0.0,7.08,3.54,5.55,1.6,2.81,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.77,0.0,0.0,1.58,3.11,5.59,0.0,0.53,0.0,0.0,0.0
1,AL,LBR_1,LBR,6.57,0.0,0.0,0.6,1.48,0.0,0.0,2.5,0.9,11.94,0.0
1,AL,STY_1,STY,18.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,13.46,7.35,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,19.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,POP_1,POP,5.5,2.0,4.33,0.0,0.0,0.0,0.64,13.67,1.23,2.91,0.0
2,AK,STY_1,STY,17.06,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0
4,AZ,CON_1,CON,19.74,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.93,0.0,0.0,1.34,0.0,0.0,3.6,0.0,0.0,6.52,0.0
4,AZ,LIB_1,LIB,7.87,0.0,0.0,0.89,0.0,1.68,0.55,0.0,0.0,2.39,3.98
4,AZ,POP_1,POP,11.66,8.06,1.49,0.0,0.0,0.0,0.71,0.85,2.2,0.0,0.0
4,AZ,STY_1,STY,10.62,0.0,0.0,0.0,0.0,3.99,2.2,0.0,0.0,1.87,0.0
5,AR,CON_1,CON,21.14,9.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,9.83,0.0,0.91,3.63,0.0,0.0,0.0,10.13,0.0,0.0,0.0
5,AR,LBR_1,LBR,17.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,11.63,0.0,0.94,0.0,0.0,0.0,7.74,0.0,1.42,0.0,0.0
5,AR,STY_1,STY,8.86,0.0,1.44,1.45,0.0,0.0,0.0,0.0,0.0,7.18,0.0
6,CA,CON_1,CON,12.48,2.67,0.0,2.74,0.0,0.0,3.52,0.0,0.0,0.0,0.0
6,CA,LBR_1,LBR,17.26,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0
6,CA,LIB_1,LIB,12.17,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,2.04,7.34
6,CA,POP_1,POP,8.31,6.23,0.94,0.0,0.0,0.0,0.91,0.0,0.0,1.48,0.0
6,CA,STY_1,STY,16.58,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,15.59,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,4.31,0.0
8,CO,LIB_1,LIB,11.73,0.0,0.0,2.57,0.0,0.81,0.0,0.0,8.03,0.0,8.82
8,CO,POP_1,POP,12.01,8.79,3.41,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0
8,CO,STY_1,STY,7.79,0.0,0.0,4.11,8.15,2.96,1.02,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
