district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,7,394,13,CON,STY,NAT,STY,CON,CUP,LIB
01-02,1,AL,SUBURBAN,6,267,13,CON,POP,STY,CON,SD,CUP,
02-01,2,AK,SUBURBAN,2,105,10,SD,CON,,,,,
04-01,4,AZ,URBAN,7,613,13,CON,NAT,SD,DSA,LIB,CON,POP
04-02,4,AZ,URBAN,7,546,14,CON,NAT,STY,POP,SD,CON,LIB
04-03,4,AZ,SUBURBAN,5,1159,11,CON,SD,STY,LIB,POP,,
05-01,5,AR,URBAN,4,211,11,CON,SD,CON,POP,,,
05-02,5,AR,SUBURBAN,4,179,10,SD,STY,CUP,CON,,,
06-01,6,CA,URBAN,7,874,12,STY,SD,STY,LIB,CUP,CON,POP
06-02,6,CA,URBAN,7,303,12,STY,SD,CON,STY,LIB,POP,NAT
06-03,6,CA,URBAN,7,268,12,SD,WFP,STY,CON,CUP,NAT,LIB
06-04,6,CA,URBAN,7,475,13,SD,CON,STY,POP,SD,LIB,CUP
06-05,6,CA,URBAN,7,251,13,SD,LIB,PRG,CON,STY,SD,WFP
06-06,6,CA,URBAN,7,346,14,CON,LIB,SD,STY,NAT,SD,CON
06-07,6,CA,URBAN,7,308,12,SD,LIB,SD,STY,POP,PRG,CON
06-08,6,CA,URBAN,7,284,13,STY,SD,LIB,CON,POP,STY,SD
06-09,6,CA,URBAN,7,305,14,CON,NAT,STY,SD,POP,LIB,WFP
06-10,6,CA,URBAN,7,84,14,CUP,LIB,CON,SD,CUP,POP,PRG
06-11,6,CA,SUBURBAN,7,75,13,POP,NAT,POP,STY,CON,CUP,SD
06-12,6,CA,SUBURBAN,7,10,15,STY,STY,STY,SD,CUP,PRG,STY
06-13,6,CA,SUBURBAN,7,27,14,NAT,POP,CON,LIB,NAT,POP,STY
06-14,6,CA,SUBURBAN,7,12,15,STY,STY,SD,STY,LIB,POP,SD
06-15,6,CA,RURAL,6,3625,12,SD,STY,LIB,SD,CON,POP,
08-01,8,CO,URBAN,5,352,11,SD,CON,POP,STY,LIB,,
08-02,8,CO,URBAN,5,342,11,CON,SD,LIB,POP,CON,,
08-03,8,CO,SUBURBAN,5,91,11,CON,LIB,SD,CON,STY,,
09-01,9,CT,URBAN,5,327,11,CON,LIB,SD,STY,POP,,
09-02,9,CT,SUBURBAN,4,138,10,SD,POP,LIB,CUP,,,
10-01,10,DE,URBAN,3,164,10,CON,SD,STY,,,,
11-01,11,DC,URBAN,2,122,10,LIB,SD,,,,,
12-01,12,FL,URBAN,7,477,13,CON,SD,STY,POP,CUP,LIB,CON
12-02,12,FL,URBAN,7,422,13,STY,CON,LIB,CUP,STY,SD,DSA
12-03,12,FL,URBAN,7,505,13,CON,STY,SD,CON,CUP,LIB,POP
12-04,12,FL,URBAN,7,591,13,CON,STY,CUP,SD,CON,STY,DSA
12-05,12,FL,URBAN,7,686,13,CON,CUP,SD,STY,CON,POP,NAT
12-06,12,FL,URBAN,7,458,14,CON,SD,POP,CUP,STY,SD,CON
12-07,12,FL,SUBURBAN,5,171,11,STY,STY,CUP,CON,SD,,
12-08,12,FL,SUBURBAN,5,38,12,CON,POP,CON,NAT,SD,,
12-09,12,FL,SUBURBAN,5,3350,12,CON,STY,SD,CUP,POP,,
13-01,13,GA,URBAN,7,548,13,SD,STY,CON,LIB,SD,CUP,POP
13-02,13,GA,URBAN,7,398,14,CON,STY,SD,CUP,LIB,STY,POP
13-03,13,GA,SUBURBAN,7,470,14,CON,CON,STY,SD,CUP,POP,LIB
13-04,13,GA,RURAL,7,73,14,CON,POP,CON,SD,CUP,NAT,POP
15-01,15,HI,URBAN,4,153,11,SD,CON,LIB,STY,,,
16-01,16,ID,SUBURBAN,5,244,12,CON,POP,SD,LIB,CUP,,
17-01,17,IL,URBAN,7,708,12,CON,POP,SD,STY,CUP,LIB,PRG
17-02,17,IL,URBAN,7,135,14,SD,LIB,STY,WFP,PRG,SD,CON
17-03,17,IL,URBAN,7,376,13,CON,LIB,SD,CUP,STY,POP,WFP
17-04,17,IL,SUBURBAN,7,387,12,CON,CUP,SD,POP,LIB,CON,DSA
17-05,17,IL,SUBURBAN,6,152,12,CON,CON,SD,STY,LIB,NAT,
18-01,18,IN,URBAN,7,452,13,CON,SD,NAT,STY,CON,LIB,CUP
18-02,18,IN,SUBURBAN,6,405,13,CON,SD,STY,POP,CUP,LIB,
18-03,18,IN,RURAL,5,121,11,CON,CUP,CON,SD,STY,,
