round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,CON_1,CON_1,14612.298,32.0226,False,False
1,LIB_1,LIB_1,7729.6067,16.9393,False,False
1,POP_1,POP_1,6129.0199,13.4317,True,False
1,SD_1,SD_1,10138.6759,22.2188,False,False
1,STY_1,STY_1,7021.5418,15.3876,False,False
2,CON_1,CON_1,17115.0172,37.5073,False,False
2,LIB_1,LIB_1,7729.6067,16.9393,True,False
2,SD_1,SD_1,10243.4721,22.4484,False,False
2,STY_1,STY_1,10543.0463,23.1049,False,False
3,CON_1,CON_1,17204.6964,37.7038,False,False
3,SD_1,SD_1,17796.1612,39.0,False,False
3,STY_1,STY_1,10630.2847,23.2961,True,False
4,CON_1,CON_1,20763.2883,45.5025,False,False
4,SD_1,SD_1,24867.854,54.4975,False,True
