respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30
0,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,CUP_1,CUP_2,CUP_3,STY_1,STY_2,STY_3,PRG_1,PRG_2,PRG_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
1,LIB_1,LIB_2,LIB_3,CUP_1,CUP_2,CUP_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,POP_1,POP_2,POP_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
2,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,DSA_1,DSA_2,DSA_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LIB_1,LIB_2,LIB_3,CUP_1,CUP_2,CUP_3,WFP_1,WFP_2,WFP_3,PRG_1,PRG_2,PRG_3,NAT_1,NAT_2,NAT_3
4,STY_1,STY_2,STY_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,CUP_1,CUP_2,CUP_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
5,PRG_1,PRG_2,PRG_3,LIB_1,LIB_2,LIB_3,SD_1,SD_2,SD_3,DSA_1,DSA_2,DSA_3,STY_1,STY_2,STY_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
6,PRG_1,PRG_2,PRG_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
7,NAT_1,NAT_2,NAT_3,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
8,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,CUP_1,CUP_2,CUP_3,WFP_1,WFP_2,WFP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
9,STY_1,STY_2,STY_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,DSA_1,DSA_2,DSA_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,PRG_1,PRG_2,PRG_3
10,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,CUP_1,CUP_2,CUP_3,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
11,NAT_1,NAT_2,NAT_3,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CUP_1,CUP_2,CUP_3,WFP_1,WFP_2,WFP_3,SD_1,SD_2,SD_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
12,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
13,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,CUP_1,CUP_2,CUP_3,DSA_1,DSA_2,DSA_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3
14,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
