district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,429.658,51.0926,0.0,0
01-02,1,6,296.5501,47.6068,0.0,0
02-01,2,2,130.6383,62.897,36.5886,0
04-01,4,7,586.6281,110.0865,0.0,0
04-02,4,7,573.4772,114.2195,0.0,0
04-03,4,5,1160.1052,297.8602,0.0,0
05-01,5,4,217.274,73.8426,0.0,0
05-02,5,4,194.9079,65.7852,0.0,0
06-01,6,7,1002.725,161.3647,0.0,0
06-02,6,7,298.899,49.2461,0.0,0
06-03,6,7,244.344,52.6391,0.0,0
06-04,6,7,635.8695,133.4469,0.0,0
06-05,6,7,254.4831,61.3639,0.0,0
06-06,6,7,342.2918,62.9283,0.0,0
06-07,6,7,321.2411,81.7646,0.0,0
06-08,6,7,262.2903,44.4903,0.0,0
06-09,6,7,339.1496,27.5162,0.0,0
06-10,6,7,94.2691,11.0496,0.0,0
06-11,6,7,114.6763,9.8038,0.0,0
06-12,6,7,11.9858,0.0,0.0,3
06-13,6,7,26.2077,0.2909,0.0,4
06-14,6,7,16.4078,0.2222,0.0,3
06-15,6,6,3966.0951,1052.3017,0.0,0
08-01,8,5,380.579,111.0006,0.0,0
08-02,8,5,367.1835,128.9929,0.0,0
08-03,8,5,79.5228,27.1381,0.0,1
09-01,9,5,312.1519,84.2625,0.0,0
09-02,9,4,172.0026,71.5147,0.0,0
10-01,10,3,216.9502,90.7834,0.0,0
11-01,11,2,117.3573,60.7655,37.6587,0
12-01,12,7,549.4862,106.1629,0.0,0
12-02,12,7,346.593,47.6805,0.0,0
12-03,12,7,468.6151,98.725,0.0,0
12-04,12,7,564.808,117.8295,0.0,0
12-05,12,7,647.7414,108.2579,0.0,0
12-06,12,7,393.4076,71.8316,0.0,0
12-07,12,5,176.8414,38.7904,0.0,0
12-08,12,5,36.6399,6.3376,0.0,1
12-09,12,5,3184.1333,727.6163,0.0,0
13-01,13,7,542.4193,89.8176,0.0,0
13-02,13,7,432.1692,84.8723,0.0,0
13-03,13,7,425.4781,79.1723,0.0,0
13-04,13,7,72.3243,4.5563,0.0,1
15-01,15,4,203.1471,72.5894,0.0,0
16-01,16,5,325.3257,69.129,0.0,0
17-01,17,7,578.427,124.4554,0.0,0
17-02,17,7,124.7103,19.2593,0.0,0
17-03,17,7,268.7767,27.0208,0.0,0
17-04,17,7,371.6644,65.0146,0.0,0
17-05,17,6,116.7534,20.3525,0.0,0
18-01,18,7,515.3449,127.3245,0.0,0
18-02,18,6,380.0003,55.2411,0.0,0
18-03,18,5,99.6439,37.8042,0.0,0
19-01,19,4,273.0543,111.2191,0.0,0
19-02,19,4,173.7369,76.0257,5.7793,0
20-01,20,4,179.9073,68.0317,0.0,0
20-02,20,4,192.7923,49.791,0.0,0
21-01,21,7,429.3181,95.1411,0.0,0
21-02,21,5,288.6072,52.747,0.0,0
22-01,22,7,328.6197,55.1622,0.0,0
22-02,22,5,179.7889,14.8946,0.0,0
23-01,23,4,243.1583,82.6425,0.0,0
24-01,24,6,376.625,94.6183,0.0,0
24-02,24,5,234.4869,71.4896,0.0,0
24-03,24,5,171.0273,42.9045,0.0,0
25-01,25,7,351.6683,74.3337,0.0,0
25-02,25,6,320.3811,73.1782,0.0,0
25-03,25,5,118.9183,24.4403,0.0,0
26-01,26,7,438.636,89.7504,0.0,0
26-02,26,7,467.5662,51.8569,0.0,0
26-03,26,7,393.6299,59.1869,0.0,0
26-04,26,6,29.7521,1.3012,0.0,3
27-01,27,5,299.1535,85.6328,0.0,0
27-02,27,5,277.8178,69.3551,0.0,0
27-03,27,5,137.0434,27.4582,0.0,0
28-01,28,4,249.8686,61.0038,0.0,0
28-02,28,4,194.3816,39.1861,0.0,0
29-01,29,6,397.2495,107.7947,0.0,0
29-02,29,5,332.897,71.0165,0.0,0
29-03,29,5,220.5836,38.0396,0.0,0
30-01,30,3,257.3811,116.9456,9.4054,0
31-01,31,5,295.9094,77.3006,0.0,0
32-01,32,4,563.7401,158.2692,0.0,0
32-02,32,4,143.7949,44.9361,0.0,0
33-01,33,4,264.7018,122.0472,0.0,0
34-01,34,7,538.4013,85.5527,0.0,0
34-02,34,7,327.0079,40.7296,0.0,0
34-03,34,5,154.2038,52.8294,0.0,0
34-04,34,5,142.5992,42.7079,0.0,1
35-01,35,6,415.0974,78.7116,0.0,0
36-01,36,7,423.0293,83.6578,0.0,0
36-02,36,7,464.2007,62.1018,0.0,0
36-03,36,7,296.2893,73.8495,0.0,0
36-04,36,7,421.594,84.6302,0.0,0
36-05,36,7,368.5775,69.5436,0.0,0
36-06,36,7,268.2579,46.6352,0.0,0
36-07,36,6,47.9438,8.7542,0.0,1
36-08,36,5,24.5437,4.496,0.0,2
37-01,37,7,523.8144,114.4941,0.0,0
37-02,37,7,404.5325,39.8654,0.0,0
37-03,37,7,517.1297,71.0389,0.0,0
37-04,37,6,9.8778,0.0003,0.0,4
38-01,38,2,112.019,63.5603,32.3112,0
39-01,39,7,399.4924,86.8775,0.0,0
39-02,39,7,589.3461,83.5852,0.0,0
39-03,39,7,467.9957,75.4844,0.0,0
39-04,39,5,262.8195,72.1804,0.0,0
39-05,39,5,7.4917,1.2698,0.0,4
40-01,40,5,337.4123,87.3951,0.0,0
40-02,40,5,268.791,45.5169,0.0,0
41-01,41,6,589.4254,136.9046,0.0,0
41-02,41,5,272.3001,48.4463,0.0,0
42-01,42,7,505.0247,96.433,0.0,0
42-02,42,7,555.3405,122.2074,0.0,0
42-03,42,7,566.9685,72.9934,0.0,0
42-04,42,7,529.9388,98.3099,0.0,0
42-05,42,6,32.2529,3.92,0.0,2
44-01,44,3,163.3235,80.5351,0.0,0
45-01,45,7,416.7717,98.3947,0.0,0
45-02,45,6,313.5157,77.9422,0.0,0
46-01,46,2,141.4797,99.5615,33.8252,0
47-01,47,7,372.9616,67.7686,0.0,0
47-02,47,6,509.5783,100.6731,0.0,0
47-03,47,5,260.8844,51.6435,0.0,0
48-01,48,7,515.0053,94.7291,0.0,0
48-02,48,7,518.9046,117.2581,0.0,0
48-03,48,7,454.4841,89.9257,0.0,0
48-04,48,7,445.2435,66.4888,0.0,0
48-05,48,7,425.6765,55.5854,0.0,0
48-06,48,7,384.1325,48.896,0.0,0
48-07,48,7,377.1925,56.195,0.0,0
48-08,48,7,379.0954,80.1042,0.0,0
48-09,48,7,3555.0724,877.3183,0.0,0
48-10,48,7,29.2674,2.8229,0.0,3
48-11,48,7,15.7393,0.6711,0.0,3
49-01,49,5,296.0422,64.0689,0.0,0
49-02,49,4,166.0982,39.9832,0.0,0
50-01,50,2,107.6698,77.207,38.2897,0
51-01,51,7,525.2261,121.8216,0.0,0
51-02,51,6,394.5815,110.299,0.0,0
51-03,51,5,378.0965,102.5056,0.0,0
51-04,51,5,28.8113,8.5792,0.0,2
53-01,53,7,513.1557,134.4707,0.0,0
53-02,53,7,432.1172,94.2178,0.0,0
53-03,53,6,276.5029,73.3982,0.0,0
54-01,54,5,360.2593,83.7767,0.0,0
55-01,55,6,422.0943,94.7626,0.0,0
55-02,55,5,322.8967,99.1368,0.0,0
55-03,55,5,224.419,77.1608,0.0,0
56-01,56,2,98.2982,59.579,21.3713,0
