candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,22354.40284112985,23276.739432778668,922.34,2.0213,True,10,LBR_1
CON_1,LBR_1,20763.288268624936,24867.85400528358,4104.57,8.9951,True,7,LBR_1
CON_1,LIB_1,28221.67775286516,17409.464521043355,10812.21,23.6948,True,4,LBR_1
CON_1,POP_1,17792.147347095182,27838.994926813335,10046.85,22.0175,True,6,LBR_1
CUP_1,LBR_1,17479.1214082113,28152.020865697214,10672.9,23.3895,True,5,LBR_1
CUP_1,LIB_1,30931.50961412726,14699.632659781255,16231.88,35.5719,True,3,LBR_1
CUP_1,POP_1,22140.014153069533,23491.12812083898,1351.11,2.9609,True,9,LBR_1
LBR_1,LIB_1,37728.71937591216,7902.422897996356,29826.3,65.3639,True,1,LBR_1
LBR_1,POP_1,24407.037451997818,21224.104821910696,3182.93,6.9754,True,8,LBR_1
LIB_1,POP_1,14002.232656810831,31628.909617097685,17626.68,38.6286,True,2,LBR_1
