state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1
1,AL,CON_1,POP_1,POP_1,661,4,38.75,10.48,27.33,6.99,16.44
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.81,19.47,37.28,11.57,10.87
4,AZ,CON_1,POP_1,POP_1,1159,4,27.97,7.53,24.81,15.13,24.56
5,AR,CON_1,POP_1,POP_1,390,4,32.59,12.9,29.27,9.14,16.09
6,CA,LBR_1,LIB_1,LBR_1,3626,4,17.19,10.15,30.74,20.62,21.3
8,CO,LBR_1,LIB_1,LBR_1,785,4,26.78,7.35,24.78,21.68,19.4
9,CT,LBR_1,LIB_1,LBR_1,465,4,24.07,9.09,23.15,25.05,18.63
10,DE,LBR_1,LIB_1,LBR_1,164,4,28.27,12.67,30.24,19.78,9.04
11,DC,LBR_1,POP_1,LBR_1,122,4,9.64,5.85,32.0,38.41,14.1
12,FL,LBR_1,CUP_1,LBR_1,3350,4,29.19,16.08,29.04,10.1,15.59
13,GA,LBR_1,CUP_1,LBR_1,1489,4,29.93,15.46,27.31,13.57,13.73
15,HI,LBR_1,LIB_1,LBR_1,153,4,23.44,11.03,29.66,21.42,14.46
16,ID,CON_1,POP_1,POP_1,244,4,34.83,13.0,21.23,11.72,19.23
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.08,15.83,24.67,19.96,13.47
18,IN,CON_1,CUP_1,POP_1,978,4,33.04,14.93,24.57,13.41,14.06
19,IA,LBR_1,CUP_1,LBR_1,490,4,34.41,13.46,26.11,11.63,14.38
20,KS,LBR_1,POP_1,POP_1,385,4,33.68,11.2,22.93,17.87,14.33
21,KY,CON_1,POP_1,POP_1,674,4,32.06,14.51,24.26,9.56,19.61
22,LA,CON_1,CUP_1,POP_1,493,4,35.21,18.7,15.96,9.9,20.22
23,ME,LBR_1,LIB_1,LBR_1,236,4,19.45,7.3,25.17,27.19,20.89
24,MD,LBR_1,LIB_1,LBR_1,791,4,19.05,10.08,30.69,21.3,18.88
25,MA,LBR_1,LIB_1,LBR_1,906,4,24.98,6.39,31.69,24.91,12.03
26,MI,CON_1,POP_1,POP_1,1531,4,32.75,9.76,23.68,16.84,16.96
27,MN,CON_1,LBR_1,LBR_1,811,4,22.22,10.93,18.42,28.29,20.14
28,MS,LBR_1,POP_1,POP_1,349,4,27.94,15.07,31.48,4.49,21.02
29,MO,LBR_1,POP_1,POP_1,1047,4,33.36,10.62,28.25,11.22,16.55
30,MT,LBR_1,POP_1,POP_1,185,4,31.7,10.8,23.07,17.36,17.07
31,NE,LBR_1,POP_1,LBR_1,286,4,24.68,15.28,29.64,11.72,18.67
32,NV,LBR_1,POP_1,LBR_1,573,4,26.08,7.06,29.04,16.88,20.93
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.28,12.12,32.33,20.06,12.22
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,23.53,12.4,24.78,22.51,16.77
35,NM,LBR_1,LIB_1,LBR_1,309,3,19.63,15.75,34.77,14.98,14.86
36,NY,LBR_1,LIB_1,LBR_1,2585,4,22.06,11.52,30.09,19.45,16.88
37,NC,CON_1,POP_1,POP_1,1444,4,32.34,11.33,24.12,15.24,16.97
38,ND,CON_1,CUP_1,POP_1,90,4,27.56,17.44,24.02,14.42,16.56
39,OH,CON_1,POP_1,POP_1,1978,4,33.22,14.04,23.42,12.91,16.42
40,OK,CON_1,CUP_1,POP_1,537,4,37.22,15.71,20.2,11.07,15.8
41,OR,LBR_1,LIB_1,LBR_1,810,4,19.69,6.7,27.16,28.9,17.56
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.68,9.88,25.71,21.38,14.35
44,RI,LBR_1,LIB_1,LBR_1,176,4,22.05,9.1,25.93,25.56,17.37
45,SC,LBR_1,POP_1,POP_1,736,4,32.9,10.69,31.99,9.75,14.66
46,SD,CON_1,POP_1,CUP_1,137,4,29.96,17.61,17.89,12.09,22.44
47,TN,CON_1,POP_1,CON_1,1065,3,46.75,13.45,19.83,6.66,13.32
48,TX,LBR_1,CUP_1,LBR_1,3392,4,30.4,15.89,30.16,9.26,14.29
49,UT,LBR_1,CUP_1,LBR_1,387,3,23.32,11.42,36.33,9.53,19.41
50,VT,LIB_1,LBR_1,LBR_1,105,4,24.52,8.37,21.3,38.68,7.13
51,VA,LBR_1,LIB_1,LBR_1,1234,4,29.84,9.83,27.93,17.54,14.87
53,WA,LBR_1,LIB_1,LBR_1,1112,4,19.29,11.76,28.61,24.16,16.17
54,WV,CON_1,POP_1,POP_1,335,4,33.07,15.69,27.23,6.91,17.11
55,WI,LBR_1,POP_1,LBR_1,1088,4,30.81,10.29,22.3,17.42,19.18
56,WY,LBR_1,POP_1,CUP_1,70,4,37.11,12.09,14.5,12.91,23.38
