respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25
0,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,LBR_1,LBR_2,LBR_3,CUP_1,CUP_2,CUP_3,PRG_1,PRG_2,PRG_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
1,LIB_1,LIB_2,LIB_3,CUP_1,CUP_2,CUP_3,LBR_1,LBR_2,LBR_3,POP_1,POP_2,POP_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
2,DSA_1,DSA_2,DSA_3,LBR_1,LBR_2,LBR_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
3,LBR_1,LBR_2,LBR_3,DSA_1,DSA_2,DSA_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LIB_1,LIB_2,LIB_3,CUP_1,CUP_2,CUP_3,OAO_1,PRG_1,PRG_2,PRG_3,NAT_1,NAT_2,NAT_3
4,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,CUP_1,CUP_2,CUP_3,OAO_1,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
5,PRG_1,PRG_2,PRG_3,LIB_1,LIB_2,LIB_3,LBR_1,LBR_2,LBR_3,DSA_1,DSA_2,DSA_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
6,PRG_1,PRG_2,PRG_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,LBR_1,LBR_2,LBR_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
7,NAT_1,NAT_2,NAT_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,OAO_1,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
8,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,LBR_1,LBR_2,LBR_3,CUP_1,CUP_2,CUP_3,OAO_1,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
9,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,OAO_1,DSA_1,DSA_2,DSA_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,PRG_1,PRG_2,PRG_3
10,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,OAO_1,CUP_1,CUP_2,CUP_3,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
11,NAT_1,NAT_2,NAT_3,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,OAO_1,LBR_1,LBR_2,LBR_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
12,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,OAO_1,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
13,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,LBR_1,LBR_2,LBR_3,OAO_1,CUP_1,CUP_2,CUP_3,DSA_1,DSA_2,DSA_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3
14,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,NAT_1,NAT_2,NAT_3,LBR_1,LBR_2,LBR_3,OAO_1,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
15,CUP_1,CUP_2,CUP_3,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,NAT_1,NAT_2,NAT_3,OAO_1,LBR_1,LBR_2,LBR_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
16,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,OAO_1,LBR_1,LBR_2,LBR_3,NAT_1,NAT_2,NAT_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
17,CON_1,CON_2,CON_3,CUP_1,CUP_2,CUP_3,OAO_1,LBR_1,LBR_2,LBR_3,POP_1,POP_2,POP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
18,OAO_1,CON_1,CON_2,CON_3,LBR_1,LBR_2,LBR_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
19,LIB_1,LIB_2,LIB_3,LBR_1,LBR_2,LBR_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
20,LBR_1,LBR_2,LBR_3,OAO_1,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3,CUP_1,CUP_2,CUP_3,DSA_1,DSA_2,DSA_3,NAT_1,NAT_2,NAT_3
21,PRG_1,PRG_2,PRG_3,DSA_1,DSA_2,DSA_3,LIB_1,LIB_2,LIB_3,LBR_1,LBR_2,LBR_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,OAO_1,NAT_1,NAT_2,NAT_3
22,LBR_1,LBR_2,LBR_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,DSA_1,DSA_2,DSA_3,OAO_1,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,PRG_1,PRG_2,PRG_3
