district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,242.3062,36.2679,0.0,0
01-02,1,6,166.3266,33.7832,0.0,0
02-01,2,2,72.5722,41.7747,14.5265,0
04-01,4,7,357.8815,69.9075,0.0,0
04-02,4,7,347.3554,39.8813,0.0,0
04-03,4,5,705.237,184.4474,0.0,0
05-01,5,4,127.8166,47.6846,0.0,0
05-02,5,4,113.2017,47.4224,0.0,0
06-01,6,7,564.4207,107.2075,0.0,0
06-02,6,7,169.2567,21.472,0.0,0
06-03,6,7,148.1554,19.1187,0.0,1
06-04,6,7,364.385,92.164,0.0,0
06-05,6,7,159.6237,28.7767,0.0,0
06-06,6,7,207.2018,40.4264,0.0,0
06-07,6,7,197.0244,51.6947,0.0,0
06-08,6,7,150.8066,21.3449,0.0,0
06-09,6,7,201.6016,19.2044,0.0,0
06-10,6,7,59.7684,2.8341,0.0,2
06-11,6,7,65.3434,6.2127,0.0,2
06-12,6,7,4.9868,0.0,0.0,6
06-13,6,7,16.0213,0.2368,0.0,4
06-14,6,7,7.4103,0.1417,0.0,5
06-15,6,6,2316.7064,633.7318,0.0,0
08-01,8,5,232.7668,43.9364,0.0,0
08-02,8,5,223.8434,84.555,0.0,0
08-03,8,5,51.1853,13.4439,0.0,1
09-01,9,5,191.4789,57.3266,0.0,0
09-02,9,4,108.4822,42.2073,0.0,0
10-01,10,3,129.7108,49.6009,7.0277,0
11-01,11,2,73.8917,37.1188,23.0238,0
12-01,12,7,309.3334,72.6858,0.0,0
12-02,12,7,194.2073,13.9735,0.0,0
12-03,12,7,268.9267,45.1973,0.0,0
12-04,12,7,312.8452,55.3272,0.0,0
12-05,12,7,371.481,53.9618,0.0,0
12-06,12,7,224.4554,52.7656,0.0,0
12-07,12,5,90.6758,27.3135,0.0,1
12-08,12,5,22.269,3.8008,0.0,3
12-09,12,5,1794.1941,486.8919,0.0,0
13-01,13,7,315.7647,50.2255,0.0,0
13-02,13,7,242.1974,56.1437,0.0,0
13-03,13,7,248.1352,27.2098,0.0,0
13-04,13,7,42.2466,2.9551,0.0,2
15-01,15,4,123.6799,30.7657,0.0,0
16-01,16,5,195.1591,48.7565,0.0,0
17-01,17,7,347.144,79.4071,0.0,0
17-02,17,7,76.3376,10.3369,0.0,0
17-03,17,7,168.2123,20.0954,0.0,2
17-04,17,7,224.0752,47.3035,0.0,0
17-05,17,6,71.6097,11.5752,0.0,0
18-01,18,7,307.9104,58.8069,0.0,0
18-02,18,6,218.6051,35.1258,0.0,0
18-03,18,5,59.9261,22.1522,0.0,0
19-01,19,4,161.6041,81.6807,0.0,0
19-02,19,4,102.3247,29.0491,4.1414,0
20-01,20,4,112.7011,43.4111,0.0,0
20-02,20,4,108.9208,33.0657,0.0,0
21-01,21,7,244.2527,36.1855,0.0,0
21-02,21,5,167.5909,47.1892,0.0,0
22-01,22,7,189.7716,37.8953,0.0,0
22-02,22,5,102.7448,21.4977,0.0,0
23-01,23,4,148.6334,54.7447,0.0,0
24-01,24,6,226.7718,62.7381,0.0,0
24-02,24,5,137.3782,39.7878,0.0,0
24-03,24,5,100.6064,25.6388,0.0,0
25-01,25,7,222.7878,37.0766,0.0,0
25-02,25,6,196.0645,50.407,0.0,0
25-03,25,5,68.6509,17.4636,0.0,0
26-01,26,7,259.3908,34.7836,0.0,0
26-02,26,7,286.4575,54.2092,0.0,0
26-03,26,7,245.727,52.7054,0.0,0
26-04,26,6,18.393,0.8106,0.0,4
27-01,27,5,195.533,53.6912,0.0,0
27-02,27,5,167.1455,49.7826,0.0,0
27-03,27,5,85.0737,17.2502,0.0,0
28-01,28,4,135.1925,39.472,0.0,0
28-02,28,4,101.3363,26.5651,0.0,0
29-01,29,6,223.9912,48.8319,0.0,0
29-02,29,5,195.9137,70.3485,0.0,1
29-03,29,5,130.3735,26.4576,0.0,1
30-01,30,3,156.0771,68.7234,7.5837,0
31-01,31,5,169.294,50.866,0.0,0
32-01,32,4,326.3929,104.5033,0.0,0
32-02,32,4,89.6867,25.4029,0.0,0
33-01,33,4,162.0512,80.4519,0.0,0
34-01,34,7,323.7485,27.8118,0.0,0
34-02,34,7,202.2968,37.2958,0.0,0
34-03,34,5,92.7686,36.3226,0.0,0
34-04,34,5,89.9698,18.6275,0.0,0
35-01,35,6,236.1522,55.7334,0.0,0
36-01,36,7,243.6641,59.3321,0.0,0
36-02,36,7,255.9572,41.127,0.0,1
36-03,36,7,178.5482,26.7425,0.0,0
36-04,36,7,266.2107,49.0003,0.0,0
36-05,36,7,226.1779,45.4561,0.0,0
36-06,36,7,168.4719,22.9614,0.0,0
36-07,36,6,26.7181,2.6445,0.0,2
36-08,36,5,14.8821,2.0965,0.0,4
37-01,37,7,302.2951,58.4413,0.0,0
37-02,37,7,248.9432,23.6079,0.0,0
37-03,37,7,307.2187,45.621,0.0,0
37-04,37,6,6.1259,0.0001,0.0,5
38-01,38,2,65.1663,37.5325,19.0282,0
39-01,39,7,237.1771,30.2133,0.0,0
39-02,39,7,341.9311,54.3183,0.0,0
39-03,39,7,275.5112,38.9928,0.0,0
39-04,39,5,157.8899,50.062,0.0,0
39-05,39,5,4.4784,0.3185,0.0,4
40-01,40,5,199.2807,59.0538,0.0,0
40-02,40,5,159.3305,41.9579,0.0,0
41-01,41,6,372.5859,63.4836,0.0,0
41-02,41,5,177.8849,34.4976,0.0,0
42-01,42,7,299.7485,80.5463,0.0,0
42-02,42,7,340.4644,72.788,0.0,0
42-03,42,7,352.9365,77.1713,0.0,0
42-04,42,7,328.7073,48.6644,0.0,0
42-05,42,6,18.6364,1.2056,0.0,4
44-01,44,3,99.3929,47.842,0.0,0
45-01,45,7,241.7045,35.5589,0.0,0
45-02,45,6,182.7283,37.846,0.0,0
46-01,46,2,81.7833,56.7825,20.1138,0
47-01,47,7,215.8741,39.7997,0.0,0
47-02,47,6,307.3067,65.0369,0.0,0
47-03,47,5,155.8549,40.096,0.0,0
48-01,48,7,276.6578,32.7269,0.0,0
48-02,48,7,288.862,75.6638,0.0,0
48-03,48,7,260.5079,47.2559,0.0,0
48-04,48,7,262.0335,40.7015,0.0,0
48-05,48,7,247.0148,40.6762,0.0,0
48-06,48,7,216.3253,33.9531,0.0,0
48-07,48,7,206.068,34.1989,0.0,0
48-08,48,7,213.8165,27.4063,0.0,0
48-09,48,7,2004.2696,348.1298,0.0,0
48-10,48,7,18.8218,1.6994,0.0,3
48-11,48,7,8.018,0.0,0.0,5
49-01,49,5,167.3989,46.7607,0.0,1
49-02,49,4,93.045,27.8927,0.0,0
50-01,50,2,70.5956,39.541,25.2494,1
51-01,51,7,318.2693,61.0153,0.0,0
51-02,51,6,235.0482,49.1897,0.0,0
51-03,51,5,225.4906,55.2967,0.0,1
51-04,51,5,18.8997,5.3697,0.0,2
53-01,53,7,314.1221,53.5242,0.0,0
53-02,53,7,264.4859,27.6231,0.0,0
53-03,53,6,173.8919,50.3661,0.0,0
54-01,54,5,201.2876,53.3249,0.0,0
55-01,55,6,263.1201,50.9727,0.0,0
55-02,55,5,187.2069,47.3543,0.0,0
55-03,55,5,135.4807,49.2569,0.0,0
56-01,56,2,58.5973,29.528,20.1668,0
