district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,7,394,11,CON,NAT,CON,DSA,LBR,POP,CUP
01-02,1,AL,SUBURBAN,6,267,11,CON,POP,LBR,CON,CUP,DSA,
02-01,2,AK,SUBURBAN,2,105,9,LBR,CON,,,,,
04-01,4,AZ,URBAN,7,613,12,CON,NAT,POP,LBR,CON,LIB,DSA
04-02,4,AZ,URBAN,7,546,12,NAT,CON,POP,LBR,LIB,PRG,CON
04-03,4,AZ,SUBURBAN,5,1159,10,CON,NAT,POP,LBR,LIB,,
05-01,5,AR,URBAN,4,211,10,CON,LBR,CON,POP,,,
05-02,5,AR,SUBURBAN,4,179,9,LBR,CUP,CON,POP,,,
06-01,6,CA,URBAN,7,874,10,LBR,LIB,POP,LBR,CUP,CON,PRG
06-02,6,CA,URBAN,7,303,10,LBR,CON,POP,LIB,LBR,PRG,NAT
06-03,6,CA,URBAN,7,268,11,LBR,LIB,OAO,CON,CUP,NAT,PRG
06-04,6,CA,URBAN,7,475,11,LBR,CON,POP,LBR,LIB,CUP,CON
06-05,6,CA,URBAN,7,251,11,LBR,LIB,PRG,CON,LBR,OAO,LIB
06-06,6,CA,URBAN,7,346,12,LBR,CON,LIB,NAT,LBR,LIB,POP
06-07,6,CA,URBAN,7,308,11,LIB,LBR,LBR,LIB,POP,CON,PRG
06-08,6,CA,URBAN,7,284,11,LBR,POP,LIB,LBR,CON,CUP,NAT
06-09,6,CA,URBAN,7,305,12,NAT,CON,LBR,POP,OAO,LIB,CUP
06-10,6,CA,URBAN,7,84,13,LIB,CON,CUP,LBR,NAT,OAO,PRG
06-11,6,CA,SUBURBAN,7,75,11,POP,NAT,LBR,POP,CON,CUP,LIB
06-12,6,CA,SUBURBAN,7,10,11,POP,CON,CUP,LBR,OAO,POP,PRG
06-13,6,CA,SUBURBAN,7,27,13,NAT,POP,NAT,CON,LBR,LIB,POP
06-14,6,CA,SUBURBAN,7,12,11,POP,LBR,CUP,LBR,LIB,NAT,POP
06-15,6,CA,RURAL,6,3625,10,LBR,LIB,CON,LBR,CUP,POP,
08-01,8,CO,URBAN,5,352,10,LBR,CON,LIB,POP,LBR,,
08-02,8,CO,URBAN,5,342,10,CON,LBR,LIB,POP,CON,,
08-03,8,CO,SUBURBAN,5,91,10,CON,LIB,LBR,CON,PRG,,
09-01,9,CT,URBAN,5,327,10,CON,LIB,LBR,CON,POP,,
09-02,9,CT,SUBURBAN,4,138,9,LBR,POP,LIB,NAT,,,
10-01,10,DE,URBAN,3,164,9,CON,LBR,OAO,,,,
11-01,11,DC,URBAN,2,122,9,LIB,LBR,,,,,
12-01,12,FL,URBAN,7,477,11,CON,LBR,POP,LIB,LBR,CON,CUP
12-02,12,FL,URBAN,7,422,11,CON,LBR,LIB,DSA,CUP,POP,NAT
12-03,12,FL,URBAN,7,505,11,CON,LBR,CON,CUP,LIB,POP,DSA
12-04,12,FL,URBAN,7,591,11,CON,LBR,CON,POP,DSA,LIB,CUP
12-05,12,FL,URBAN,7,686,12,CON,LBR,NAT,CON,CUP,POP,LIB
12-06,12,FL,URBAN,7,458,12,CON,LBR,POP,CUP,CON,LBR,LIB
12-07,12,FL,SUBURBAN,5,171,9,LBR,CUP,CON,DSA,POP,,
12-08,12,FL,SUBURBAN,5,38,11,CON,CON,LBR,NAT,POP,,
12-09,12,FL,SUBURBAN,5,3350,10,CON,LBR,CUP,POP,LIB,,
13-01,13,GA,URBAN,7,548,11,LBR,LIB,CON,LBR,POP,CUP,NAT
13-02,13,GA,URBAN,7,398,12,CON,LBR,CUP,LIB,LBR,POP,CON
13-03,13,GA,SUBURBAN,7,470,12,CON,CON,LBR,CUP,LIB,POP,NAT
13-04,13,GA,RURAL,7,73,13,CON,CON,POP,LBR,CON,CUP,NAT
15-01,15,HI,URBAN,4,153,10,LBR,CON,LIB,POP,,,
16-01,16,ID,SUBURBAN,5,244,11,CON,POP,NAT,LBR,LIB,,
17-01,17,IL,URBAN,7,708,11,CON,LBR,POP,LIB,CUP,PRG,CON
17-02,17,IL,URBAN,7,135,12,LBR,LIB,PRG,OAO,LBR,LIB,CON
17-03,17,IL,URBAN,7,376,12,CON,LIB,LBR,CUP,NAT,OAO,POP
17-04,17,IL,SUBURBAN,7,387,11,CON,LBR,LIB,CUP,POP,CON,DSA
17-05,17,IL,SUBURBAN,6,152,11,CON,CON,LBR,LIB,CUP,NAT,
18-01,18,IN,URBAN,7,452,11,CON,LBR,NAT,CON,CUP,LBR,LIB
18-02,18,IN,SUBURBAN,6,405,12,CON,POP,NAT,LBR,CUP,LIB,
18-03,18,IN,RURAL,5,121,10,CON,CUP,LBR,CON,OAO,,
19-01,19,IA,URBAN,4,308,9,LBR,CON,CUP,DSA,,,
