state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_LBR_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_CUP_1_pct,finalist_LBR_2_pct,finalist_LIB_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,435.63,16,5,35.8432,0.0,34.3794,15.3628,14.4147,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,77.69,17,5,32.5042,,33.8731,,,18.2391,0.0,15.3836,,,
4,AZ,POP_1,POP_1,POP,pure,5,,746.51,20,5,23.3019,,24.6531,18.5966,14.2413,,,19.2071,,,
5,AR,POP_1,POP_1,POP,pure,5,,256.4,20,5,36.2853,,26.9381,,13.6652,11.4923,,11.6191,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2465.3,19,5,22.2041,,29.8549,,21.0687,,0.0,26.8723,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,537.49,19,5,26.111,,23.7509,9.7229,13.2646,,,27.1505,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,317.18,20,5,24.9884,,19.8982,,16.9373,7.8375,,30.3386,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,137.71,18,5,37.9936,0.0,30.0231,,,,,17.5039,14.4794,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,78.06,17,5,,,31.2719,,22.0278,,,32.1993,,0.0,14.501
12,FL,LBR_1,LBR_1,LBR,pure,1,,1915.25,20,5,33.2553,,26.1073,,12.9067,14.699,,13.0316,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,904.3,17,5,33.3571,,24.3064,,11.8369,13.139,,17.3606,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,131.26,18,5,29.3704,,28.9961,,12.9285,,0.0,28.7051,,,
