state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_NAT,inc_PRG
1,AL,CON_1,CON,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,10.15,3.95,4.85,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,LBR_1,LBR,12.12,0.0,0.66,3.82,3.27,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.36,0.0,0.0,0.0,0.0,1.14,15.7,0.0,0.0,0.0
1,AL,POP_1,POP,12.54,2.15,0.0,1.82,0.0,0.0,0.0,2.0,0.0,0.0
2,AK,CON_1,CON,15.06,0.0,0.0,0.0,0.0,5.28,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.55,1.02,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_2,LBR,0.0,0.68,0.0,1.21,0.0,1.44,4.35,10.12,12.89,0.0
2,AK,LIB_1,LIB,13.12,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,1.53
4,AZ,CON_1,CON,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,12.19,1.53,2.33,1.36,0.0,4.16,8.63,0.0,0.0,0.0
4,AZ,LIB_1,LIB,9.58,0.0,1.19,0.0,0.0,0.0,3.08,3.81,0.0,5.37
4,AZ,NAT_1,NAT,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,13.19,5.79,0.0,1.06,0.0,0.0,0.0,0.0,0.94,0.0
5,AR,CON_1,CON,22.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49,0.0
5,AR,CUP_1,CUP,8.74,1.23,4.0,0.0,1.23,1.24,1.66,0.0,0.0,0.0
5,AR,LBR_1,LBR,18.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LIB_1,LIB,5.51,0.0,1.1,0.0,0.0,0.0,6.8,0.0,0.0,4.47
5,AR,POP_1,POP,13.13,3.13,1.66,0.0,0.0,0.0,0.0,0.71,0.54,0.0
6,CA,CON_1,CON,13.63,0.0,3.63,1.61,0.0,0.0,0.0,0.0,3.33,0.0
6,CA,LBR_1,LBR,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_2,LBR,0.0,0.61,1.95,2.64,1.03,0.0,3.57,4.51,0.0,9.65
6,CA,LIB_1,LIB,15.34,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,POP_1,POP,11.71,1.32,0.0,1.6,0.0,0.0,0.0,7.25,7.76,0.0
8,CO,CON_1,CON,22.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,16.29,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LIB_1,LIB,14.17,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,11.22
8,CO,NAT_1,NAT,9.72,0.7,6.14,0.0,0.0,1.15,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,12.45,4.4,0.0,0.82,0.0,0.0,1.59,0.0,0.0,0.0
9,CT,CON_1,CON,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,5.67,0.0,4.65,0.0,0.0,6.95,0.0,0.55,1.66,0.0
9,CT,LBR_1,LBR,15.75,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.83
9,CT,LIB_1,LIB,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.21
9,CT,POP_1,POP,10.67,1.09,1.88,0.0,0.0,0.0,0.0,1.65,8.66,0.0
10,DE,CON_1,CON,25.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.78,0.0,0.0,0.0,3.95,0.0,0.0,6.54,0.0
10,DE,LBR_1,LBR,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.83,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,5.19
10,DE,OAO_1,OAO,14.25,0.0,0.0,1.48,0.0,0.0,0.0,14.65,0.0,0.0
11,DC,LBR_1,LBR,19.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,1.31,12.8,0.0,3.11,0.0,0.0,0.0
11,DC,POP_1,POP,11.43,12.91,0.0,1.54,0.53,0.0,0.0,0.0,0.0,1.19
11,DC,PRG_1,PRG,13.76,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
12,FL,CON_1,CON,23.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0
12,FL,CUP_1,CUP,10.85,3.23,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LIB_1,LIB,8.57,0.0,1.25,0.0,0.0,0.0,9.17,0.0,0.0,1.67
12,FL,POP_1,POP,12.41,3.64,0.0,1.09,0.0,0.0,0.0,0.52,0.0,0.0
13,GA,CON_1,CON,23.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0
13,GA,CUP_1,CUP,10.78,3.0,3.3,0.0,2.27,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LIB_1,LIB,13.02,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,2.43
13,GA,POP_1,POP,10.59,4.92,0.0,2.69,0.0,0.0,2.1,1.07,1.25,0.0
15,HI,CON_1,CON,21.35,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,24.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,2.46,2.21,0.7,1.5,6.65,0.0,3.5
15,HI,LIB_1,LIB,19.81,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,10.21,3.23,0.0,0.0,0.0,0.0,0.0,0.0,4.78,0.0
16,ID,CON_1,CON,22.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,11.58,0.89,1.42,0.0,0.0,0.0,5.87,0.0,0.0,0.0
16,ID,LIB_1,LIB,8.7,0.0,1.18,14.94,0.0,0.0,2.83,1.96,0.0,1.79
16,ID,NAT_1,NAT,16.26,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,15.85,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,21.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.48,0.82,5.15,0.0,0.0,5.37,0.0,0.52,0.93,0.0
17,IL,LBR_1,LBR,14.63,0.71,0.0,0.0,0.0,0.0,5.04,0.0,0.0,1.49
17,IL,LIB_1,LIB,13.59,0.0,2.33,0.0,0.0,0.0,0.0,1.0,0.0,8.85
17,IL,POP_1,POP,8.56,2.18,1.23,0.0,0.0,0.0,0.0,1.85,8.34,0.0
18,IN,CON_1,CON,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,10.05,0.79,5.45,0.0,0.0,0.0,0.0,0.0,9.05,0.0
18,IN,LBR_1,LBR,15.37,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0
18,IN,LIB_1,LIB,9.21,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,6.26
18,IN,POP_1,POP,10.34,2.18,2.41,0.0,0.0,0.0,0.0,1.66,7.11,0.0
19,IA,CON_1,CON,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.25,1.73,4.2,0.0,1.82,10.28,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,14.32,0.0,1.69,0.0,0.0,0.0,8.4,0.0,0.0,0.0
19,IA,LIB_1,LIB,7.56,0.0,1.69,0.0,0.0,0.0,2.23,4.52,0.0,2.89
19,IA,NAT_1,NAT,15.82,0.74,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0
20,KS,CUP_1,CUP,7.41,3.77,1.3,0.0,6.32,0.0,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,13.1,0.0,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0
20,KS,LIB_1,LIB,14.29,0.0,0.52,0.0,0.0,0.0,0.51,1.07,0.0,7.14
