state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_LBR_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_CUP_1_pct,finalist_LBR_2_pct,finalist_LIB_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_DSA_1_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,508.27,16,5,35.0218,0.0,35.493,14.1304,15.3548,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,90.93,17,5,31.25,,35.7988,,,18.936,0.0,14.0151,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,849.91,20,5,23.2076,,25.7286,17.5293,15.5481,,,17.9865,,,,
5,AR,CON_1,CON_1,CON,pure,0,,295.35,20,5,34.9969,,27.7524,,14.5127,11.9848,,10.7532,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2840.52,19,5,21.769,,31.4197,,21.8542,,0.0,24.9571,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,609.94,19,5,26.0607,,24.9034,9.1949,14.3104,,,25.5307,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,358.92,20,5,24.6792,,20.9958,,17.5086,8.2599,,28.5565,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,157.52,18,5,39.6473,0.0,36.306,,,,0.0,24.0467,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,87.88,17,5,,,32.6443,,23.1097,,,30.6556,0.0,13.5904,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2232.47,20,5,31.8052,,27.153,,13.865,15.1902,,11.9866,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1046.32,17,5,32.1504,,25.3626,,12.5042,13.955,,16.0278,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,149.23,18,5,29.0354,,30.1647,,13.5247,,0.0,27.2752,,,,
16,ID,CON_1,CON_1,CON,pure,0,,236.6,18,5,26.1415,,22.2539,15.265,22.5284,,,13.8111,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1069.69,20,5,26.963,,22.8406,,12.8592,14.4522,,22.8851,,,,
18,IN,CON_1,CON_1,CON,pure,0,,715.93,19,5,35.6209,,22.5922,,12.3925,13.751,,15.6434,,,,
19,IA,CON_1,CON_1,CON,pure,0,,321.93,20,5,36.8183,,24.2317,,12.8707,12.6597,,13.4196,,,,
20,KS,CON_1,CON_1,CON,pure,0,,269.53,17,5,35.6074,,20.633,,13.3655,9.5706,,20.8235,,,,
21,KY,CON_1,CON_1,CON,pure,0,,508.58,19,5,24.3417,,32.1631,13.5104,14.8639,15.1209,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,360.63,16,5,23.7805,,25.2717,16.2042,15.5855,19.1581,,,,,,
23,ME,CON_1,CON_1,CON,pure,0,,178.83,22,5,24.2994,,23.0213,,20.4511,,,22.6651,,9.5632,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,565.93,19,5,25.0422,,30.8891,,18.3395,,0.0,25.7292,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,584.28,21,5,28.1852,,22.6463,,11.9637,,,24.993,,,12.2118,
26,MI,CON_1,CON_1,CON,pure,0,,975.61,18,5,34.505,,22.0055,,15.4212,8.7588,,19.3096,,,,
27,MN,CON_1,CON_1,CON,pure,0,,533.03,21,5,22.6957,,20.2341,10.3213,13.9655,,,32.7834,,,,
28,MS,CON_1,CON_1,CON,pure,0,,301.62,16,5,34.2996,,33.1211,,20.2367,,0.0,,,,,12.3425
29,MO,LBR_1,LBR_1,LBR,pure,1,,676.82,18,5,35.8246,,26.4466,,14.6832,9.7597,,13.2858,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,188.37,19,5,21.0037,,24.1916,22.8523,11.897,,,20.0553,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,209.31,19,5,26.7247,,27.8387,,17.7146,14.0781,,13.6438,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,508.7,18,5,31.1983,,27.996,,20.1769,,0.0,20.6288,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,194.7,20,5,27.5572,,34.4356,,12.8164,,,12.704,,12.4868,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,853.22,20,5,24.4237,,22.9878,,15.8731,10.9299,,25.7855,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,292.87,18,5,28.1359,,35.9607,,17.5351,,0.0,18.3683,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1677.3,20,5,23.1627,,28.3074,,15.3263,10.5917,,22.6119,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1051.98,20,5,33.9629,,22.0924,,15.8295,10.3329,,17.7822,,,,
38,ND,CON_1,CON_1,CON,pure,0,,80.07,20,5,29.275,,22.5399,,15.4464,16.0135,,16.7252,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1242.09,19,5,35.5595,,21.663,,14.6838,13.0445,,15.0492,,,,
40,OK,CON_1,CON_1,CON,pure,0,,437.01,20,5,24.8003,,29.2161,17.5163,12.2566,16.2107,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,650.07,21,5,23.0201,,17.7063,16.7218,,,,25.8389,,,16.713,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1611.25,20,5,29.6954,,23.3072,,13.481,9.0259,,24.4904,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,119.78,21,5,21.8115,,27.1264,,15.6232,,,27.6356,,,,7.8033
45,SC,CON_1,CON_1,CON,pure,0,,521.26,18,5,35.4784,,29.3548,,13.8276,9.8652,,11.474,,,,
46,SD,CON_1,CON_1,CON,pure,0,,100.62,19,5,20.1711,,29.7523,14.4894,17.0475,18.5397,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,825.9,17,5,38.9134,0.0,27.281,18.1084,,15.6972,,,,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,2493.0,19,5,32.9002,,28.0235,,13.0048,15.0258,,11.0456,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,324.23,19,5,25.6661,,33.8933,,18.2419,10.7669,,11.4318,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,82.47,21,5,27.8141,,21.1736,,6.3415,,,15.1437,,29.5271,,
51,VA,LBR_1,LBR_1,LBR,pure,1,,966.14,19,5,31.4518,,25.8919,,13.2886,8.9118,,20.456,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,901.91,20,5,32.9081,,27.3705,,,11.3043,,15.4882,,12.9288,,
