state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1
1,AL,CON_1,POP_1,POP_1,661,4,40.89,10.12,25.68,7.61,15.7
2,AK,LBR_1,CUP_1,LBR_1,105,4,22.23,18.75,35.47,12.99,10.55
4,AZ,CON_1,POP_1,POP_1,1159,4,28.8,7.08,23.68,16.54,23.9
5,AR,CON_1,POP_1,POP_1,390,4,34.01,12.36,28.38,10.09,15.16
6,CA,LBR_1,LIB_1,LBR_1,3626,4,17.75,9.65,29.26,22.74,20.6
8,CO,LBR_1,LIB_1,LBR_1,785,4,27.26,7.01,23.53,23.58,18.61
9,CT,LBR_1,LIB_1,LBR_1,465,4,24.43,8.59,21.86,27.15,17.96
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.07,12.13,29.16,21.2,8.44
11,DC,LBR_1,POP_1,LBR_1,122,4,9.64,5.41,30.54,41.38,13.03
12,FL,LBR_1,CUP_1,LBR_1,3350,4,30.72,15.56,27.94,11.2,14.58
13,GA,LBR_1,CUP_1,LBR_1,1489,4,31.23,14.58,26.17,15.01,13.01
15,HI,LBR_1,LIB_1,LBR_1,153,4,23.83,10.86,28.49,23.03,13.78
16,ID,CON_1,POP_1,POP_1,244,4,36.25,12.31,20.31,12.8,18.33
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.6,15.01,23.58,21.7,13.11
18,IN,CON_1,CUP_1,POP_1,978,4,34.56,14.24,23.4,14.73,13.08
19,IA,LBR_1,CUP_1,LBR_1,490,4,35.83,12.99,25.0,12.69,13.49
20,KS,LBR_1,LIB_1,POP_1,385,4,34.82,10.23,21.57,19.61,13.76
21,KY,CON_1,POP_1,POP_1,674,4,33.64,14.1,23.12,10.59,18.54
22,LA,CON_1,CUP_1,POP_1,493,4,37.15,17.87,15.54,11.07,18.37
23,ME,LBR_1,LIB_1,LBR_1,236,4,19.9,6.85,24.06,29.34,19.85
24,MD,LBR_1,LIB_1,LBR_1,791,4,19.71,9.54,29.59,23.39,17.77
25,MA,LBR_1,LIB_1,LBR_1,906,4,25.51,6.14,29.97,26.99,11.39
26,MI,CON_1,POP_1,POP_1,1531,3,33.79,9.17,22.69,18.31,16.05
27,MN,CON_1,LBR_1,LBR_1,811,4,22.44,10.18,17.6,30.45,19.33
28,MS,CON_1,POP_1,POP_1,349,4,30.18,15.05,30.1,5.08,19.59
29,MO,LBR_1,POP_1,POP_1,1047,4,34.81,10.12,27.19,12.43,15.45
30,MT,LBR_1,LIB_1,POP_1,185,4,33.06,10.01,21.73,18.9,16.3
31,NE,LBR_1,CUP_1,LBR_1,286,4,25.88,14.58,28.59,12.85,18.11
32,NV,LBR_1,POP_1,LBR_1,573,4,27.04,6.76,27.71,18.53,19.96
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.66,11.32,31.41,21.77,11.84
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,24.06,11.53,23.71,24.46,16.24
35,NM,LBR_1,LIB_1,LBR_1,309,3,20.46,15.02,33.51,16.65,14.36
36,NY,LBR_1,LIB_1,LBR_1,2585,4,22.71,10.97,29.03,21.32,15.96
37,NC,CON_1,POP_1,POP_1,1444,4,33.3,10.74,22.92,16.74,16.3
38,ND,CON_1,CUP_1,POP_1,90,4,28.57,16.6,23.15,15.78,15.91
39,OH,CON_1,POP_1,POP_1,1978,4,34.6,13.45,22.38,14.17,15.4
40,OK,CON_1,CUP_1,CON_1,537,4,38.97,15.04,19.0,12.02,14.97
41,OR,LIB_1,LBR_1,LBR_1,810,4,19.95,6.13,25.59,31.05,17.29
42,PA,LBR_1,LIB_1,LBR_1,2418,4,29.29,9.37,24.28,23.23,13.83
44,RI,LBR_1,LIB_1,LBR_1,176,4,22.58,8.72,24.92,27.73,16.05
45,SC,LBR_1,POP_1,POP_1,736,4,34.42,10.21,30.44,10.77,14.17
46,SD,CON_1,POP_1,CUP_1,137,4,31.62,17.05,17.77,13.19,20.37
47,TN,CON_1,POP_1,CON_1,1065,3,48.59,12.93,18.73,7.32,12.43
48,TX,LBR_1,CUP_1,LBR_1,3392,4,31.86,15.38,28.91,10.3,13.54
49,UT,LBR_1,POP_1,LBR_1,387,4,24.69,11.04,34.91,10.64,18.73
50,VT,LIB_1,LBR_1,LBR_1,105,4,24.46,7.82,19.64,41.62,6.46
51,VA,LBR_1,LIB_1,LBR_1,1234,4,30.79,9.28,26.72,19.27,13.93
53,WA,LBR_1,LIB_1,LBR_1,1112,4,19.52,11.05,27.23,26.27,15.94
54,WV,CON_1,CUP_1,POP_1,335,4,35.11,15.22,26.19,7.75,15.73
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.62,9.84,21.39,19.05,18.11
56,WY,CON_1,POP_1,CUP_1,70,4,38.39,11.43,14.12,14.08,21.97
