winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,4602.54,surplus
After_Retail,LBR_1,LBR_1,LBR_2,LBR_2,4001.8,surplus
After_Retail,POP_1,POP_1,POP_2,POP_2,1878.11,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,1745.89,surplus
After_Retail,LBR_2,LBR_2,LBR_3,LBR_3,1145.15,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,1087.54,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,892.52,surplus
After_Retail,CUP_1,CUP_1,CUP_2,CUP_2,452.9,surplus
After_Retail,CUP_2,CUP_2,CON_3,CON_3,137.42,elimination
After_Retail,CUP_2,CUP_2,LBR_3,LBR_3,134.51,elimination
After_Retail,CUP_2,CUP_2,POP_2,POP_2,126.22,elimination
After_Retail,CUP_2,CUP_2,OAO_1,OAO_1,33.33,elimination
After_Retail,CUP_2,CUP_2,LIB_2,LIB_2,21.26,elimination
After_Retail,CUP_2,CUP_2,NAT_2,NAT_2,0.15,elimination
After_Retail,LIB_2,LIB_2,LBR_3,LBR_3,730.42,elimination
After_Retail,LIB_2,LIB_2,PRG_1,PRG_1,83.86,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,64.27,elimination
After_Retail,LIB_2,LIB_2,OAO_1,OAO_1,35.12,elimination
After_Retail,LIB_2,LIB_2,CON_3,CON_3,0.11,elimination
After_Retail,NAT_2,NAT_2,CON_3,CON_3,759.39,elimination
After_Retail,NAT_2,NAT_2,POP_2,POP_2,328.3,elimination
After_Retail,LBR_3,LBR_3,POP_2,POP_2,1093.45,elimination
After_Retail,LBR_3,LBR_3,DSA_1,DSA_1,480.69,elimination
After_Retail,LBR_3,LBR_3,PRG_1,PRG_1,267.72,elimination
After_Retail,LBR_3,LBR_3,CON_3,CON_3,99.52,elimination
After_Retail,LBR_3,LBR_3,OAO_1,OAO_1,68.71,elimination
After_Retail,POP_2,POP_2,CON_3,CON_3,481.15,surplus
After_Retail,POP_2,POP_2,DSA_1,DSA_1,65.31,surplus
After_Retail,POP_2,POP_2,PRG_1,PRG_1,14.9,surplus
After_Retail,POP_2,POP_2,OAO_1,OAO_1,8.08,surplus
After_Retail,CON_3,CON_3,OAO_1,OAO_1,359.65,surplus
After_Retail,CON_3,CON_3,DSA_1,DSA_1,6.18,surplus
After_Retail,CON_3,CON_3,PRG_1,PRG_1,1.01,surplus
After_Retail,DSA_1,DSA_1,PRG_1,PRG_1,117.66,surplus
After_Retail,DSA_1,DSA_1,OAO_1,OAO_1,29.96,surplus
After_Retail,OAO_1,OAO_1,PRG_1,PRG_1,29.91,surplus
After_Retail,PRG_1,PRG_1,LIB_1,LIB_1,1408.3,elimination
After_Retail,PRG_1,PRG_1,DSA_1,DSA_1,1007.76,elimination
After_Retail,PRG_1,PRG_1,LBR_1,LBR_1,141.25,elimination
After_Retail,PRG_1,PRG_1,POP_1,POP_1,113.46,elimination
After_Retail,PRG_1,PRG_1,CUP_1,CUP_1,94.19,elimination
After_Retail,PRG_1,PRG_1,CON_1,CON_1,45.55,elimination
After_Retail,PRG_1,PRG_1,OAO_1,OAO_1,27.6,elimination
After_Retail,PRG_1,PRG_1,NAT_1,NAT_1,4.5,elimination
After_Pod_A,CON_1,CON_1,CON_2,CON_2,3745.55,surplus
After_Pod_A,LBR_1,LBR_1,LBR_2,LBR_2,3215.26,surplus
After_Pod_A,LIB_1,LIB_1,LBR_2,LBR_2,871.08,surplus
After_Pod_A,LIB_1,LIB_1,DSA_1,DSA_1,349.27,surplus
After_Pod_A,LIB_1,LIB_1,CUP_1,CUP_1,170.46,surplus
After_Pod_A,LIB_1,LIB_1,OAO_1,OAO_1,37.62,surplus
After_Pod_A,POP_1,POP_1,POP_2,POP_2,1021.12,surplus
After_Pod_A,LBR_2,LBR_2,CUP_1,CUP_1,136.92,surplus
After_Pod_A,LBR_2,LBR_2,POP_2,POP_2,111.74,surplus
After_Pod_A,LBR_2,LBR_2,DSA_1,DSA_1,99.82,surplus
After_Pod_A,LBR_2,LBR_2,CON_2,CON_2,17.09,surplus
After_Pod_A,LBR_2,LBR_2,OAO_1,OAO_1,7.14,surplus
After_Pod_A,NAT_1,NAT_1,CON_2,CON_2,159.99,surplus
After_Pod_A,NAT_1,NAT_1,POP_2,POP_2,69.59,surplus
After_Pod_A,NAT_1,NAT_1,CUP_1,CUP_1,0.95,surplus
After_Pod_A,CON_2,CON_2,CON_3,CON_3,208.98,surplus
After_Pod_A,DSA_1,DSA_1,CUP_1,CUP_1,0.87,surplus
After_Pod_A,DSA_1,DSA_1,POP_2,POP_2,0.63,surplus
After_Pod_A,CON_3,CON_3,POP_2,POP_2,119.62,elimination
After_Pod_A,CON_3,CON_3,CUP_1,CUP_1,68.24,elimination
After_Pod_A,CON_3,CON_3,OAO_1,OAO_1,21.12,elimination
After_Pod_A,POP_2,POP_2,CUP_1,CUP_1,704.06,elimination
After_Pod_A,POP_2,POP_2,OAO_1,OAO_1,618.64,elimination
After_Pod_A,CUP_1,CUP_1,OAO_1,OAO_1,677.4,surplus
After_Pod_A,OAO_1,OAO_1,CUP_1,CUP_1,1394.61,elimination
After_Pod_A,OAO_1,OAO_1,LIB_1,LIB_1,637.56,elimination
After_Pod_A,OAO_1,OAO_1,CON_1,CON_1,598.31,elimination
After_Pod_A,OAO_1,OAO_1,LBR_1,LBR_1,523.78,elimination
After_Pod_A,OAO_1,OAO_1,NAT_1,NAT_1,254.69,elimination
After_Pod_A,OAO_1,OAO_1,DSA_1,DSA_1,234.32,elimination
After_Pod_A,OAO_1,OAO_1,POP_1,POP_1,70.37,elimination
After_Pod_C,CON_1,CON_1,CON_2,CON_2,3360.24,surplus
After_Pod_C,LBR_1,LBR_1,LBR_2,LBR_2,2630.61,surplus
After_Pod_C,LIB_1,LIB_1,LBR_2,LBR_2,590.72,surplus
