state_fips,state_abbr,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,rp_winner_overall
1,AL,CON_1,CON_2,580.9168123790007,0.0,580.92,100.0,True,1,POP_1
1,AL,CON_1,LBR_1,330.33822100864575,250.57859137035487,79.76,13.73,True,6,POP_1
1,AL,CON_1,NAT_1,503.0230662624816,77.89374611651904,425.13,73.1825,True,2,POP_1
1,AL,CON_1,POP_1,278.96487373141207,301.95193864758863,22.99,3.957,True,9,POP_1
1,AL,CON_2,LBR_1,330.33822100864575,250.57859137035487,79.76,13.73,True,7,POP_1
1,AL,CON_2,NAT_1,503.0230662624816,77.89374611651904,425.13,73.1825,True,3,POP_1
1,AL,CON_2,POP_1,278.96487373141207,301.95193864758863,22.99,3.957,True,10,POP_1
1,AL,LBR_1,NAT_1,419.1940240899945,161.72278828900608,257.47,44.3215,True,5,POP_1
1,AL,LBR_1,POP_1,270.34736971052564,310.56944266847506,40.22,6.9239,True,8,POP_1
1,AL,NAT_1,POP_1,101.90157466810474,479.0152377108959,377.11,64.917,True,4,POP_1
2,AK,CON_1,CUP_1,32.50745006539832,71.6578371826351,39.15,37.5849,True,4,LBR_1
2,AK,CON_1,LBR_1,46.960768235032404,57.204519013001025,10.24,9.8341,True,8,LBR_1
2,AK,CON_1,LBR_2,46.960768235032404,57.204519013001025,10.24,9.8341,True,9,LBR_1
2,AK,CON_1,LIB_1,51.360436841426626,52.804850406606796,1.44,1.3867,True,10,LBR_1
2,AK,CUP_1,LBR_1,40.38690363847457,63.77838360955884,23.39,22.4561,True,6,LBR_1
2,AK,CUP_1,LBR_2,40.38690363847457,63.77838360955884,23.39,22.4561,True,7,LBR_1
2,AK,CUP_1,LIB_1,71.3497298466723,32.815557401361104,38.53,36.9933,True,5,LBR_1
2,AK,LBR_1,LBR_2,104.16528724803341,0.0,104.17,100.0,True,1,LBR_1
2,AK,LBR_1,LIB_1,89.87837005934537,14.28691718868805,75.59,72.5688,True,2,LBR_1
2,AK,LBR_2,LIB_1,89.87837005934537,14.28691718868805,75.59,72.5688,True,3,LBR_1
4,AZ,CON_1,LBR_1,485.2630461401435,468.04653058895383,17.22,1.806,True,10,POP_1
4,AZ,CON_1,LIB_1,600.9122861194232,352.39729060967403,248.51,26.0687,True,6,POP_1
4,AZ,CON_1,NAT_1,775.0968915352801,178.2126851938172,596.88,62.6118,True,2,POP_1
4,AZ,CON_1,POP_1,340.84947330689556,612.4601034222019,271.61,28.4913,True,5,POP_1
4,AZ,LBR_1,LIB_1,790.5430136048356,162.76656312426178,627.78,65.8523,True,1,POP_1
4,AZ,LBR_1,NAT_1,600.0934746708595,353.216102058238,246.88,25.8969,True,7,POP_1
4,AZ,LBR_1,POP_1,441.06732364541153,512.2422530836858,71.17,7.4661,True,9,POP_1
4,AZ,LIB_1,NAT_1,518.2508330401238,435.05874368897366,83.19,8.7267,True,8,POP_1
4,AZ,LIB_1,POP_1,293.07661273153536,660.2329639975619,367.16,38.5139,True,4,POP_1
4,AZ,NAT_1,POP_1,191.3794104938681,761.9301662352293,570.55,59.8495,True,3,POP_1
5,AR,CON_1,CUP_1,165.79724647372515,168.4947246895739,2.7,0.8069,False,9,POP_1
5,AR,CON_1,LBR_1,176.37442728910173,157.91754387419735,18.46,5.5212,True,7,POP_1
5,AR,CON_1,LIB_1,226.92030099275252,107.37167017054651,119.55,35.7617,True,4,POP_1
5,AR,CON_1,POP_1,145.44171264405526,188.85025851924377,43.41,12.9852,True,6,POP_1
5,AR,CUP_1,LBR_1,139.5060137775758,194.7859573857233,55.28,16.5364,True,5,POP_1
5,AR,CUP_1,LIB_1,247.5457807051102,86.74619045818886,160.8,48.1015,True,3,POP_1
5,AR,CUP_1,POP_1,166.09852753198513,168.19344363131395,2.09,0.6267,True,10,POP_1
5,AR,LBR_1,LIB_1,297.6244815579854,36.66748960531362,260.96,78.0626,True,1,POP_1
5,AR,LBR_1,POP_1,162.47530019975505,171.816670963544,9.34,2.7944,True,8,POP_1
5,AR,LIB_1,POP_1,82.79445086795766,251.49752029534142,168.7,50.4658,True,2,POP_1
6,CA,CON_1,LBR_1,1195.911685508939,2019.8268348179445,823.92,25.6213,True,5,LBR_1
6,CA,CON_1,LBR_2,1195.911685508939,2019.8268348179445,823.92,25.6213,True,6,LBR_1
6,CA,CON_1,LIB_1,1744.241327846932,1471.4971924799513,272.74,8.4815,True,10,LBR_1
6,CA,CON_1,POP_1,903.9674659683035,2311.77105435858,1407.8,43.7785,True,4,LBR_1
6,CA,LBR_1,LBR_2,3215.738520326883,0.0,3215.74,100.0,True,1,LBR_1
6,CA,LBR_1,LIB_1,2450.793226649144,764.9452936777395,1685.85,52.4249,True,2,LBR_1
6,CA,LBR_1,POP_1,1978.9025957856593,1236.835924541224,742.07,23.0761,True,7,LBR_1
6,CA,LBR_2,LIB_1,2450.793226649144,764.9452936777395,1685.85,52.4249,True,3,LBR_1
6,CA,LBR_2,POP_1,1978.9025957856593,1236.835924541224,742.07,23.0761,True,8,LBR_1
6,CA,LIB_1,POP_1,1252.750226771272,1962.988293555611,710.24,22.0863,True,9,LBR_1
8,CO,CON_1,LBR_1,305.47800321847643,376.91148724297545,71.43,10.4681,True,9,LBR_1
8,CO,CON_1,LIB_1,368.4783407816823,313.91114967976966,54.57,7.9965,True,10,LBR_1
8,CO,CON_1,NAT_1,615.126222612941,67.26326784851089,547.86,80.286,True,1,LBR_1
8,CO,CON_1,POP_1,234.12076277551648,448.2687276859354,214.15,31.3821,True,5,LBR_1
8,CO,LBR_1,LIB_1,515.558059253038,166.83143120841385,348.73,51.1038,True,3,LBR_1
8,CO,LBR_1,NAT_1,504.54400250816434,177.84548795328755,326.7,47.8757,True,4,LBR_1
8,CO,LBR_1,POP_1,378.3112318151174,304.0782586463344,74.23,10.8784,True,8,LBR_1
8,CO,LIB_1,NAT_1,413.6597636097292,268.72972685172266,144.93,21.2386,True,7,LBR_1
8,CO,LIB_1,POP_1,259.02515541525406,423.36433504619777,164.34,24.0829,True,6,LBR_1
8,CO,NAT_1,POP_1,79.87515584680453,602.5143346146473,522.64,76.5896,True,2,LBR_1
9,CT,CON_1,CUP_1,173.90102812981735,226.76619818709153,52.87,13.1943,True,8,LBR_1
9,CT,CON_1,LBR_1,158.94132957259222,241.72589674431663,82.78,20.6617,True,6,LBR_1
9,CT,CON_1,LIB_1,214.7068890842728,185.96033723263608,28.75,7.1747,True,9,LBR_1
9,CT,CON_1,POP_1,131.86239072802078,268.80483558888807,136.94,34.1786,True,3,LBR_1
9,CT,CUP_1,LBR_1,111.20627039369231,289.4609559232166,178.25,44.4895,True,1,LBR_1
9,CT,CUP_1,LIB_1,230.2663996395106,170.40082667739827,59.87,14.9415,True,7,LBR_1
