state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_LBR_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_CUP_1_pct,finalist_LBR_2_pct,finalist_LIB_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_DSA_1_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,580.92,16,5,34.4059,0.0,36.328,13.2062,16.0598,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,104.17,17,5,30.3145,,37.2352,,,19.4558,0.0,12.9945,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,953.31,20,5,23.1337,,26.5707,16.6935,16.5713,,,17.0308,,,,
5,AR,CON_1,CON_1,CON,pure,0,,334.29,20,5,34.0087,,28.377,,15.1627,12.3625,,10.0891,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3215.74,19,5,21.4354,,32.6194,,22.4564,,0.0,23.4888,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,682.39,19,5,26.021,,25.8111,8.779,15.1341,,,24.2548,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,400.67,20,5,24.4344,,21.8647,,17.9609,8.5943,,27.1457,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,177.33,18,5,39.4341,0.0,37.4302,,,,0.0,23.1357,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,97.71,17,5,,,33.7406,,23.974,,,29.4224,0.0,12.8629,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2549.69,20,5,30.7158,,27.9385,,14.5848,15.5591,,11.2017,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1188.35,17,5,31.2321,,26.1664,,13.012,14.576,,15.0135,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,167.2,18,5,28.7725,,31.082,,13.9928,,0.0,26.1527,,,,
16,ID,CON_1,CON_1,CON,pure,0,,266.18,18,5,22.8039,,32.1553,14.4941,17.3817,13.165,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1199.9,20,5,26.6032,,23.5827,,13.1052,15.0119,,21.697,,,,
18,IN,CON_1,CON_1,CON,pure,0,,808.95,19,5,34.5612,,23.4014,,13.0752,14.2355,,14.7266,,,,
19,IA,LBR_1,LBR_1,LBR,pure,1,,363.55,20,5,22.1278,,35.2582,13.9817,13.2134,15.419,,,,,,
20,KS,LBR_1,LBR_1,LBR,pure,1,,303.92,17,5,34.8176,,21.5738,,13.759,10.235,,19.6146,,,,
21,KY,CON_1,CON_1,CON,pure,0,,578.36,19,5,23.8541,,32.3096,12.6902,15.7947,15.3514,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,409.89,16,5,23.3033,,24.8599,15.2288,16.9824,19.6256,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,200.27,22,5,24.1628,,23.9,,21.2575,,,21.7358,,8.9439,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,638.0,19,5,24.6998,,31.7909,,19.1885,,0.0,24.3209,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,653.18,21,5,27.8898,,23.7311,,12.4494,,,23.8697,,,12.06,
26,MI,CON_1,CON_1,CON,pure,0,,1093.6,18,5,33.7946,,22.6855,,16.0462,9.1656,,18.3081,,,,
27,MN,CON_1,CON_1,CON,pure,0,,593.36,21,5,26.8825,,19.8224,,20.733,,,19.2266,,13.3355,,
28,MS,CON_1,CON_1,CON,pure,0,,349.17,16,5,32.7806,,33.9847,,21.3998,,0.0,,,,,11.8348
29,MO,LBR_1,LBR_1,LBR,pure,1,,768.12,18,5,34.8066,,27.1917,,15.4522,10.115,,12.4345,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,211.37,19,5,21.075,,25.3561,21.7536,12.8058,,,19.0096,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,238.17,19,5,25.8787,,28.5852,,18.1113,14.5757,,12.8491,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,574.98,18,5,30.6223,,28.9685,,20.8959,,0.0,19.5134,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,218.04,20,5,27.4625,,25.3493,,13.1655,,,15.7952,,,18.2274,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,956.22,20,5,24.0627,,23.7138,,16.2369,11.5262,,24.4604,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,333.61,18,5,27.7588,,37.0115,,18.0525,,0.0,17.1772,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1889.68,20,5,22.7134,,29.0347,,15.9595,10.9694,,21.323,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1186.44,20,5,33.2985,,22.9211,,16.2952,10.7415,,16.7437,,,,
38,ND,CON_1,CON_1,CON,pure,0,,90.72,20,5,28.5697,,23.1511,,15.9051,16.5987,,15.7755,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1403.78,19,5,34.5989,,22.382,,15.3978,13.4507,,14.1706,,,,
40,OK,CON_1,CON_1,CON,pure,0,,493.41,20,5,24.4183,,29.4515,16.5718,12.9479,16.6105,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,720.62,21,5,23.6837,,27.084,16.2342,,,,16.8747,,16.1235,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1804.01,20,5,29.2854,,24.2796,,13.8319,9.3721,,23.231,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,134.3,21,5,21.5049,,27.9733,,16.547,,,26.1724,,,,7.8024
45,SC,LBR_1,LBR_1,LBR,pure,1,,590.93,18,5,34.4176,,30.4417,,14.1691,10.2063,,10.7654,,,,
46,SD,CON_1,CON_1,CON,pure,0,,114.24,19,5,31.6244,,17.7672,,20.3728,17.0474,,13.1882,,,,
47,TN,CON_1,CON_1,CON,pure,0,,931.74,17,5,38.7625,0.0,27.9901,17.1868,,16.0606,,,,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,2847.02,19,5,31.8593,,28.9146,,13.5386,15.3843,,10.3032,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,370.2,19,5,24.6908,,44.8624,,18.7275,11.7193,0.0,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,90.87,21,5,28.0001,,22.4359,,6.8056,,,14.6915,,28.0669,,
51,VA,LBR_1,LBR_1,LBR,pure,1,,1086.33,19,5,30.7947,,26.7208,,13.9317,9.2847,,19.2681,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,1008.53,20,5,21.6263,,29.2227,11.063,,11.8228,,26.2653,,,,
54,WV,CON_1,CON_1,CON,pure,0,,287.69,18,5,35.1053,,26.1926,,15.733,15.2171,,7.752,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,795.06,20,5,31.6167,,21.388,,18.1103,9.8357,,19.0493,,,,
56,WY,CON_1,CON_1,CON,pure,0,,80.28,19,5,38.3943,0.0,27.1372,,21.974,12.4945,,,,,,
