state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_LBR,inc_PRG,inc_NAT
1,AL,CON_1,CON,25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,8.79,4.0,6.09,2.32,0.0,0.0,0.0,0.0,0.0
1,AL,LBR_1,LBR,14.28,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,13.21,3.53,0.0,0.0,0.0,0.0,15.88,0.0,0.0,0.0
1,AL,POP_1,POP,14.02,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.06,0.0,0.0,0.59,8.06,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,31.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_2,LBR,0.0,0.0,0.0,0.0,0.0,0.0,4.26,13.59,0.0,0.0
2,AK,LIB_1,LIB,11.14,0.78,0.0,0.0,0.9,0.0,0.6,0.0,1.26,14.7
4,AZ,CON_1,CON,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,13.61,0.0,1.67,7.71,0.0,0.0,9.01,0.0,0.0,0.0
4,AZ,LIB_1,LIB,8.54,0.0,0.9,0.53,0.0,0.0,2.66,5.73,4.44,0.0
4,AZ,NAT_1,NAT,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,15.21,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1
5,AR,CUP_1,CUP,9.73,1.08,5.54,0.0,1.01,0.0,0.0,0.56,0.0,0.0
5,AR,LBR_1,LBR,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LIB_1,LIB,4.81,0.0,1.37,0.71,0.0,0.0,8.7,0.65,3.78,0.0
5,AR,POP_1,POP,14.69,2.76,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0
6,CA,CON_1,CON,13.2,0.0,1.62,3.69,3.56,0.0,0.0,0.0,0.0,2.92
6,CA,LBR_1,LBR,23.6,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_2,LBR,0.0,0.0,1.53,0.0,0.0,5.19,3.7,6.9,0.0,0.0
6,CA,LIB_1,LIB,13.39,0.0,1.42,0.75,0.0,0.0,0.0,0.0,7.67,0.0
