district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,382.8201,47.3865,0.0,0
01-02,1,6,263.9942,44.1509,0.0,0
02-01,2,2,116.1218,57.3651,33.502,0
04-01,4,7,529.4414,100.0418,0.0,0
04-02,4,7,516.9467,78.3873,0.0,0
04-03,4,5,1046.3882,269.507,0.0,0
05-01,5,4,194.9097,67.3031,0.0,0
05-02,5,4,174.4814,61.1945,0.0,0
06-01,6,7,893.1489,147.8254,0.0,0
06-02,6,7,266.4884,45.2077,0.0,0
06-03,6,7,220.2969,49.0196,0.0,0
06-04,6,7,567.9984,123.1262,0.0,0
06-05,6,7,230.7683,33.9583,0.0,0
06-06,6,7,308.5193,57.3028,0.0,0
06-07,6,7,290.1869,75.2528,0.0,0
06-08,6,7,234.4194,41.1159,0.0,0
06-09,6,7,304.7626,25.4383,0.0,0
06-10,6,7,85.644,9.9354,0.0,0
06-11,6,7,102.3431,9.0224,0.0,1
06-12,6,7,10.236,0.0,0.0,4
06-13,6,7,23.6611,0.2774,0.0,4
06-14,6,7,14.1585,0.202,0.0,4
06-15,6,6,3553.7479,975.188,0.0,0
08-01,8,5,343.626,102.6933,0.0,0
08-02,8,5,331.3485,117.8834,0.0,0
08-03,8,5,72.4384,24.9861,0.0,1
09-01,9,5,281.9837,77.5285,0.0,0
09-02,9,4,156.1225,66.5333,0.0,0
10-01,10,3,195.1404,81.5761,0.0,0
11-01,11,2,106.4909,54.8538,34.0,0
12-01,12,7,489.448,97.7936,0.0,0
12-02,12,7,308.4966,44.3016,0.0,0
12-03,12,7,418.693,90.434,0.0,0
12-04,12,7,501.8173,109.7498,0.0,0
12-05,12,7,578.6763,98.8114,0.0,0
12-06,12,7,351.1695,69.1071,0.0,0
12-07,12,5,155.3,35.9212,0.0,0
12-08,12,5,33.0472,5.7034,0.0,2
12-09,12,5,2836.6485,667.4352,0.0,0
13-01,13,7,485.7557,83.0774,0.0,0
13-02,13,7,384.6762,77.6902,0.0,0
13-03,13,7,381.1424,73.1611,0.0,0
13-04,13,7,64.8048,4.156,0.0,0
15-01,15,4,183.2803,43.3296,0.0,0
16-01,16,5,292.7841,63.7559,0.0,0
17-01,17,7,520.6062,112.4209,0.0,0
17-02,17,7,112.6172,17.6271,0.0,0
17-03,17,7,243.6356,25.2895,0.0,0
17-04,17,7,334.7671,60.5868,0.0,0
17-05,17,6,105.4675,18.1555,0.0,1
18-01,18,7,463.4863,114.4091,0.0,0
18-02,18,6,339.6515,50.2123,0.0,0
18-03,18,5,89.7144,22.4828,0.0,0
19-01,19,4,245.1918,102.6771,0.0,0
19-02,19,4,155.8838,68.9372,5.3698,0
20-01,20,4,163.1058,62.1768,0.0,0
20-02,20,4,171.8245,46.5171,0.0,0
21-01,21,7,383.0517,88.048,0.0,0
21-02,21,5,258.3531,48.3535,0.0,0
22-01,22,7,293.9077,50.8454,0.0,0
22-02,22,5,160.5279,13.8199,0.0,0
23-01,23,4,219.5271,75.668,0.0,0
24-01,24,6,339.1617,86.6483,0.0,0
24-02,24,5,210.2097,65.7343,0.0,0
24-03,24,5,153.4221,40.1486,0.0,0
25-01,25,7,319.4482,35.1333,0.0,0
25-02,25,6,289.3019,67.4854,0.0,0
25-03,25,5,106.3514,22.6961,0.0,0
26-01,26,7,393.8247,83.8746,0.0,0
26-02,26,7,422.289,94.5017,0.0,0
26-03,26,7,356.6542,54.367,0.0,0
26-04,26,6,26.9123,1.1786,0.0,3
27-01,27,5,273.2483,77.6474,0.0,0
27-02,27,5,250.1497,64.462,0.0,0
27-03,27,5,124.051,24.9062,0.0,0
28-01,28,4,221.1995,55.6208,0.0,0
28-02,28,4,171.1203,36.0308,0.0,0
29-01,29,6,353.9349,99.182,0.0,0
29-02,29,5,298.6512,65.3802,0.0,0
29-03,29,5,198.031,35.1441,0.0,0
30-01,30,3,232.0551,104.89,8.95,0
31-01,31,5,264.2556,70.6919,0.0,0
32-01,32,4,504.4033,144.8277,0.0,0
32-02,32,4,130.2678,41.1461,0.0,0
33-01,33,4,239.0392,112.2967,0.0,0
34-01,34,7,484.7381,78.4473,0.0,0
34-02,34,7,295.8301,57.7883,0.0,0
34-03,34,5,138.845,48.9294,0.0,0
34-04,34,5,129.4419,40.2178,0.0,1
35-01,35,6,370.3611,72.967,0.0,0
36-01,36,7,378.188,77.5764,0.0,0
36-02,36,7,412.1398,56.8357,0.0,0
36-03,36,7,266.854,50.4919,0.0,0
36-04,36,7,382.7482,85.0506,0.0,0
36-05,36,7,332.9776,64.3003,0.0,0
36-06,36,7,243.3114,30.089,0.0,0
36-07,36,6,42.6374,8.0129,0.0,1
36-08,36,5,22.1283,4.1135,0.0,2
37-01,37,7,468.4346,106.0023,0.0,0
37-02,37,7,365.6351,35.801,0.0,0
37-03,37,7,464.652,64.6844,0.0,0
37-04,37,6,8.9398,0.0003,0.0,4
38-01,38,2,100.3058,57.0534,28.9904,0
39-01,39,7,358.9136,40.4969,0.0,0
39-02,39,7,527.4923,135.9794,0.0,0
39-03,39,7,419.8746,70.5605,0.0,0
39-04,39,5,236.5871,67.1201,0.0,0
39-05,39,5,6.7383,1.1984,0.0,4
40-01,40,5,302.8794,80.3098,0.0,0
40-02,40,5,241.4259,66.8003,0.0,0
41-01,41,6,535.2155,124.1933,0.0,0
41-02,41,5,248.6963,44.9591,0.0,0
42-01,42,7,453.7056,107.4133,0.0,0
42-02,42,7,501.6215,114.0681,0.0,0
42-03,42,7,513.4605,65.8864,0.0,0
42-04,42,7,479.6309,90.1124,0.0,0
42-05,42,6,28.8488,3.6217,0.0,2
44-01,44,3,147.3409,72.3618,0.0,0
45-01,45,7,373.0049,90.7221,0.0,0
45-02,45,6,280.8188,34.3918,0.0,0
46-01,46,2,126.5556,88.8668,30.3974,0
47-01,47,7,333.6897,60.7764,0.0,0
47-02,47,6,459.0104,91.7641,0.0,0
47-03,47,5,234.627,46.2278,0.0,0
48-01,48,7,455.4184,86.6827,0.0,0
48-02,48,7,461.3939,107.6833,0.0,0
48-03,48,7,405.99,83.0219,0.0,0
48-04,48,7,399.441,62.1506,0.0,0
48-05,48,7,381.011,51.8581,0.0,0
48-06,48,7,342.1807,45.1603,0.0,0
48-07,48,7,334.4114,52.7073,0.0,0
48-08,48,7,337.7757,35.5466,0.0,0
48-09,48,7,3167.3717,804.2664,0.0,0
48-10,48,7,26.656,2.5217,0.0,3
48-11,48,7,13.809,0.5953,0.0,4
49-01,49,5,263.8813,59.9968,0.0,0
49-02,49,4,147.8349,36.9605,0.0,0
50-01,50,2,98.4013,71.3509,36.2301,0
51-01,51,7,473.4869,111.5365,0.0,0
51-02,51,6,354.6982,101.6441,0.0,0
51-03,51,5,339.945,95.096,0.0,0
51-04,51,5,26.3334,7.7768,0.0,2
53-01,53,7,463.3973,71.8876,0.0,0
53-02,53,7,390.2094,76.5733,0.0,2
53-03,53,6,250.8501,68.0303,0.0,0
54-01,54,5,320.5163,77.0067,0.0,0
55-01,55,6,382.3507,87.7043,0.0,0
55-02,55,5,288.9743,90.2821,0.0,0
55-03,55,5,202.1844,70.1848,0.0,0
56-01,56,2,88.373,53.5085,18.9636,0
