district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,7,394,11,CON,NAT,DSA,LBR,CON,POP,CUP
01-02,1,AL,SUBURBAN,6,267,11,CON,POP,LBR,CON,CUP,DSA,
02-01,2,AK,SUBURBAN,2,105,9,LBR,CUP,,,,,
04-01,4,AZ,URBAN,7,613,12,CON,POP,NAT,LBR,CON,DSA,LIB
04-02,4,AZ,URBAN,7,546,12,CON,NAT,POP,LBR,LIB,CON,CUP
04-03,4,AZ,SUBURBAN,5,1159,10,CON,POP,NAT,LBR,LIB,,
05-01,5,AR,URBAN,4,211,10,CON,LBR,POP,CON,,,
05-02,5,AR,SUBURBAN,4,179,9,LBR,CUP,POP,CON,,,
06-01,6,CA,URBAN,7,874,10,LBR,POP,LBR,LIB,CUP,CON,PRG
06-02,6,CA,URBAN,7,303,10,LBR,LBR,CON,POP,LIB,CUP,PRG
06-03,6,CA,URBAN,7,268,11,LBR,OAO,LIB,LBR,CUP,CON,POP
06-04,6,CA,URBAN,7,475,11,LBR,LBR,POP,CON,LIB,CUP,CON
06-05,6,CA,URBAN,7,251,11,LBR,LIB,PRG,LBR,CON,CUP,OAO
06-06,6,CA,URBAN,7,346,12,LBR,CON,LIB,NAT,LBR,POP,CON
06-07,6,CA,URBAN,7,310,11,LBR,LIB,LBR,POP,LIB,CON,OAO
06-08,6,CA,URBAN,7,281,11,POP,LBR,LIB,CON,LBR,CUP,NAT
06-09,6,CA,URBAN,7,306,12,LBR,CON,NAT,POP,LIB,CUP,OAO
06-10,6,CA,URBAN,7,84,13,CUP,LIB,CON,LBR,CUP,NAT,PRG
06-11,6,CA,SUBURBAN,7,75,11,POP,NAT,LBR,POP,CON,CUP,OAO
06-12,6,CA,SUBURBAN,7,10,11,POP,POP,LBR,CON,CUP,LBR,PRG
06-13,6,CA,SUBURBAN,7,27,13,POP,NAT,POP,CON,LBR,LIB,NAT
06-14,6,CA,SUBURBAN,7,12,11,POP,POP,LBR,CUP,LBR,LIB,NAT
06-15,6,CA,RURAL,6,3625,10,LBR,POP,LBR,CON,LIB,CUP,
08-01,8,CO,URBAN,5,356,10,LBR,POP,CON,LBR,LIB,,
08-02,8,CO,URBAN,5,338,10,CON,LBR,LIB,POP,CON,,
08-03,8,CO,SUBURBAN,5,91,10,CON,LIB,LBR,CON,POP,,
09-01,9,CT,URBAN,5,327,10,CON,LBR,POP,LIB,CON,,
09-02,9,CT,SUBURBAN,4,138,9,LBR,POP,LIB,CUP,,,
10-01,10,DE,URBAN,3,164,9,LBR,CON,LIB,,,,
11-01,11,DC,URBAN,2,122,9,LBR,LIB,,,,,
12-01,12,FL,URBAN,7,477,11,LBR,POP,CON,CUP,CON,LBR,LIB
12-02,12,FL,URBAN,7,422,11,LBR,CON,LIB,DSA,POP,CUP,LBR
12-03,12,FL,URBAN,7,505,11,CON,LBR,CON,CUP,POP,LBR,LIB
12-04,12,FL,URBAN,7,591,11,CON,LBR,POP,CON,CUP,LBR,DSA
12-05,12,FL,URBAN,7,686,12,CON,CUP,LBR,POP,CON,CUP,NAT
12-06,12,FL,URBAN,7,458,12,CON,LBR,POP,CUP,CON,LBR,LIB
12-07,12,FL,SUBURBAN,5,171,9,LBR,CUP,CON,POP,DSA,,
12-08,12,FL,SUBURBAN,5,38,11,CON,POP,CON,LBR,NAT,,
12-09,12,FL,SUBURBAN,5,3350,10,CON,LBR,POP,CUP,LIB,,
13-01,13,GA,URBAN,7,548,11,LBR,CON,LIB,LBR,CUP,POP,PRG
13-02,13,GA,URBAN,7,417,12,LBR,CON,CUP,POP,LBR,LIB,CON
13-03,13,GA,SUBURBAN,7,451,12,CON,LBR,CON,CUP,POP,LBR,LIB
13-04,13,GA,RURAL,7,73,13,CON,POP,CON,LBR,CUP,NAT,POP
15-01,15,HI,URBAN,4,153,10,LBR,CON,LIB,POP,,,
16-01,16,ID,SUBURBAN,5,244,11,CON,POP,LBR,CUP,NAT,,
17-01,17,IL,URBAN,7,708,11,CON,LBR,CUP,POP,CON,LIB,PRG
17-02,17,IL,URBAN,7,135,12,LBR,LBR,LIB,OAO,PRG,POP,CUP
17-03,17,IL,URBAN,7,377,12,CON,LBR,LIB,POP,CUP,OAO,NAT
17-04,17,IL,SUBURBAN,7,386,11,CON,LBR,POP,CUP,LIB,CON,DSA
