candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,20283.596107599107,21100.197155074035,816.6,1.9732,True,9,LBR_1
CON_1,LBR_1,18953.173931749512,22430.619330923626,3477.45,8.4029,True,7,LBR_1
CON_1,LIB_1,25455.402135340886,15928.391127332256,9527.01,23.0211,True,5,LBR_1
CON_1,POP_1,16301.402350735365,25082.39091193778,8780.99,21.2184,True,6,LBR_1
CUP_1,LBR_1,15899.002433423757,25484.790829249385,9585.79,23.1631,True,4,LBR_1
CUP_1,LIB_1,27805.559898362088,13578.233364311052,14227.33,34.379,True,3,LBR_1
CUP_1,POP_1,20293.15243477747,21090.640827895673,797.49,1.9271,True,10,LBR_1
LBR_1,LIB_1,33925.27467494426,7458.518587728879,26466.76,63.9544,True,1,LBR_1
LBR_1,POP_1,22169.90379646198,19213.889466211163,2956.01,7.1429,True,8,LBR_1
LIB_1,POP_1,12951.475411913663,28432.31785075948,15480.84,37.408,True,2,LBR_1
