winnowing_point,candidate_code,candidate_name,party_code,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size,first_choice_total,first_choice_pct
Initial_Slate,CON_1,CON_1,CON,8229.2164,19.89,surviving,0.0,41383.7933,,
Initial_Slate,LBR_1,LBR_1,LBR,7904.3454,19.1,surviving,0.0,41383.7933,,
Initial_Slate,POP_1,POP_1,POP,5517.0339,13.33,surviving,0.0,41383.7933,,
Initial_Slate,NAT_1,NAT_1,NAT,4195.9221,10.14,surviving,0.0,41383.7933,,
Initial_Slate,LIB_1,LIB_1,LIB,3976.9759,9.61,surviving,0.0,41383.7933,,
Initial_Slate,CUP_1,CUP_1,CUP,3836.4504,9.27,surviving,0.0,41383.7933,,
Initial_Slate,DSA_1,DSA_1,DSA,2690.7632,6.5,surviving,0.0,41383.7933,,
Initial_Slate,OAO_1,OAO_1,OAO,2585.5725,6.25,surviving,0.0,41383.7933,,
Initial_Slate,PRG_1,PRG_1,PRG,2447.5135,5.91,surviving,0.0,41383.7933,,
Initial_Slate,CON_2,CON_2,CON,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,CON_3,CON_3,CON,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,CUP_2,CUP_2,CUP,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,CUP_3,CUP_3,CUP,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,DSA_2,DSA_2,DSA,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,DSA_3,DSA_3,DSA,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,LBR_2,LBR_2,LBR,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,LBR_3,LBR_3,LBR,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,LIB_2,LIB_2,LIB,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,LIB_3,LIB_3,LIB,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,NAT_2,NAT_2,NAT,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,NAT_3,NAT_3,NAT,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,POP_2,POP_2,POP,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,POP_3,POP_3,POP,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,PRG_2,PRG_2,PRG,0.0,0.0,surviving,0.0,41383.7933,,
Initial_Slate,PRG_3,PRG_3,PRG,0.0,0.0,surviving,0.0,41383.7933,,
After_Retail,CON_1,CON_1,CON,3183.3687,7.69,surviving,3183.3687,41383.7933,8229.2164,19.89
After_Retail,CON_2,CON_2,CON,3183.3687,7.69,surviving,3183.3687,41383.7933,0.0,0.0
After_Retail,CON_3,CON_3,CON,3183.3687,7.69,surviving,3183.3687,41383.7933,0.0,0.0
After_Retail,CUP_1,CUP_1,CUP,3183.3687,7.69,surviving,3183.3687,41383.7933,3836.4504,9.27
After_Retail,CUP_2,CUP_2,CUP,0.0,0.0,eliminated_this_round,3183.3687,41383.7933,0.0,0.0
After_Retail,CUP_3,CUP_3,CUP,0.0,0.0,eliminated_this_round,3183.3687,41383.7933,0.0,0.0
