state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_NAT,inc_LBR,inc_PRG
1,AL,CON_1,CON,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,8.34,3.92,6.16,3.23,0.0,0.0,0.0,0.0,0.0
1,AL,LBR_1,LBR,15.01,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,12.49,3.85,0.0,0.0,0.0,0.0,16.34,0.0,0.0,0.0
1,AL,POP_1,POP,14.51,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,13.73,0.0,0.0,0.85,0.0,0.0,0.0,7.71,0.0,0.0
2,AK,CUP_1,CUP,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_2,LBR,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,14.73,0.0
2,AK,POP_1,POP,8.63,4.78,0.0,0.57,0.0,12.63,0.0,2.1,1.21,0.0
4,AZ,CON_1,CON,20.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,14.11,0.0,1.64,7.81,0.0,0.0,9.14,0.0,0.0,0.0
4,AZ,LIB_1,LIB,8.17,0.0,0.9,0.54,0.0,0.0,2.51,0.0,6.27,4.19
4,AZ,NAT_1,NAT,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,15.92,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,21.77,0.0,0.0,0.0,0.0,0.0,0.0,9.62,0.0,0.0
5,AR,CUP_1,CUP,10.07,1.02,5.59,0.0,1.39,0.0,0.0,0.0,0.65,0.0
5,AR,LBR_1,LBR,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LIB_1,LIB,4.57,0.0,1.35,1.34,0.0,0.0,8.82,0.0,0.75,3.55
5,AR,POP_1,POP,15.22,2.64,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0
6,CA,CON_1,CON,13.06,0.0,1.59,3.73,3.82,0.0,0.0,2.79,0.0,0.0
6,CA,LBR_1,LBR,24.42,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_2,LBR,0.0,0.0,1.5,0.0,0.0,4.18,3.74,0.0,7.73,0.0
6,CA,LIB_1,LIB,12.72,0.0,1.4,0.76,0.0,0.0,0.0,0.0,0.0,7.19
6,CA,POP_1,POP,14.49,0.0,0.0,1.95,0.0,0.0,0.0,6.5,0.0,0.0
8,CO,CON_1,CON,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LIB_1,LIB,12.19,0.0,0.0,0.75,0.0,0.0,5.13,0.0,0.0,9.24
8,CO,NAT_1,NAT,8.44,2.88,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,14.75,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.74,0.0,2.96,0.0,1.02,1.0,0.0,9.73,0.0,0.0
9,CT,LBR_1,LBR,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
9,CT,LIB_1,LIB,15.08,0.0,1.66,0.0,0.0,0.0,1.03,0.0,0.0,9.24
9,CT,POP_1,POP,12.84,1.17,2.0,0.0,0.0,0.0,2.14,0.0,0.73,0.0
10,DE,CON_1,CON,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.05,0.0,1.16,7.78,0.0,0.0,4.21,0.0,0.0
10,DE,LBR_1,LBR,24.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_2,LBR,0.0,2.06,0.0,2.63,3.4,0.0,2.8,0.0,7.69,0.0
10,DE,LIB_1,LIB,9.14,0.0,15.56,1.71,0.0,0.0,0.0,0.0,0.73,4.16
11,DC,LBR_1,LBR,21.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.33,1.91,0.0,9.35,3.39,0.0,1.65,0.0
11,DC,POP_1,POP,13.61,13.14,0.0,1.85,0.0,0.0,0.5,0.0,0.82,0.0
11,DC,PRG_1,PRG,11.48,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.0,0.0
12,FL,CON_1,CON,21.69,0.0,0.0,0.0,0.0,0.0,0.0,7.24,0.0,0.0
12,FL,CUP_1,CUP,12.33,1.89,4.95,0.0,0.74,0.0,0.0,0.0,0.7,0.0
12,FL,LBR_1,LBR,20.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LIB_1,LIB,6.91,0.0,2.05,2.92,0.0,0.0,9.39,0.0,0.79,1.25
12,FL,POP_1,POP,14.74,1.93,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
13,GA,CON_1,CON,22.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,12.87,2.27,2.2,0.0,0.0,2.5,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,21.71,0.0,0.0,0.0,0.0,11.68,0.0,0.0,0.0,0.0
13,GA,LBR_2,LBR,0.0,1.15,1.13,0.0,7.31,0.0,3.9,0.0,4.97,0.0
13,GA,POP_1,POP,12.38,2.01,0.0,0.0,0.0,0.0,0.0,9.39,0.0,0.0
15,HI,CON_1,CON,20.85,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,26.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,3.15,0.0,0.0,1.56,0.0,9.43,2.71
15,HI,LIB_1,LIB,16.95,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,11.96,1.99,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0
16,ID,CON_1,CON,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,11.18,2.34,1.41,0.0,0.0,0.0,0.0,0.0,1.79,0.0
16,ID,LBR_1,LBR,13.37,1.15,1.36,0.0,0.0,0.0,6.09,0.0,0.0,0.0
16,ID,NAT_1,NAT,13.88,2.47,0.0,0.0,0.0,15.54,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,17.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.64,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,11.34,0.75,4.13,0.0,2.24,5.75,0.0,0.81,0.0,0.0
17,IL,LBR_1,LBR,16.79,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,LIB_1,LIB,11.59,0.0,1.87,0.0,0.87,0.0,1.47,0.0,0.0,8.76
17,IL,POP_1,POP,9.87,2.31,0.0,0.0,0.0,0.0,3.74,7.2,0.0,0.0
18,IN,CON_1,CON,19.89,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.0,0.0
18,IN,CUP_1,CUP,11.71,0.62,3.73,0.0,1.48,1.28,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LIB_1,LIB,7.68,0.0,2.03,0.0,0.0,0.0,4.98,0.0,0.0,2.82
18,IN,POP_1,POP,12.6,1.78,1.63,0.0,0.0,0.0,2.53,0.95,0.0,0.0
19,IA,CON_1,CON,20.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,9.46,1.52,3.98,0.0,0.0,7.33,0.0,0.0,0.0,0.0
19,IA,LBR_1,LBR,15.78,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,NAT_1,NAT,13.35,0.65,0.0,0.0,2.24,0.0,15.77,0.0,0.0,0.0
19,IA,POP_1,POP,13.72,1.26,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_1,CON,24.89,0.0,0.0,0.0,0.0,0.0,0.0,8.65,0.0,0.0
20,KS,CUP_1,CUP,9.52,3.45,1.24,0.0,1.87,3.85,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,15.92,0.0,0.0,0.0,0.0,0.0,5.98,0.0,0.0,0.0
20,KS,LIB_1,LIB,11.99,0.0,0.0,0.0,0.0,0.0,1.74,0.0,2.33,4.42
20,KS,POP_1,POP,12.48,5.03,0.0,0.0,0.0,0.0,0.0,1.6,2.37,0.0
21,KY,CON_1,CON,22.87,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0,0.0
21,KY,CUP_1,CUP,10.45,4.71,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,18.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,LIB_1,LIB,6.05,0.0,0.8,1.56,0.0,0.0,5.75,0.0,0.0,1.91
