district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,5,282.6083,112.6335,2.1973,0
01-02,1,5,173.6608,61.9858,0.821,0
02-01,2,2,81.2821,53.4864,22.9029,0
04-01,4,5,205.2725,59.2212,2.5058,1
04-02,4,5,309.4271,91.0794,0.0673,1
04-03,4,5,258.7676,71.0385,14.6456,2
05-01,5,4,141.2352,56.8642,5.1208,2
05-02,5,4,125.4576,62.8547,9.5142,3
06-01,6,7,630.1663,103.4559,0.0,3
06-02,6,7,188.7031,22.6654,0.0,3
06-03,6,7,162.5837,30.136,0.0,3
06-04,6,7,405.1077,83.7581,0.0,1
06-05,6,7,173.8526,30.5711,0.0,2
06-06,6,7,227.4653,43.5679,0.0,3
06-07,6,7,215.6569,67.934,0.0,2
06-08,6,7,176.2891,23.3822,0.0,3
06-09,6,7,64.9435,3.4331,0.0,3
06-10,6,7,240.5664,35.203,0.0,1
06-11,6,7,72.7434,12.6197,0.6838,4
06-12,6,6,6.0366,0.0,0.0,5
08-01,8,7,383.0652,70.6081,0.3066,3
08-02,8,5,172.6538,51.5122,0.0,1
09-01,9,4,209.5799,73.7686,0.3311,1
09-02,9,4,118.0103,48.8273,4.5227,1
10-01,10,3,142.7967,62.7372,2.2444,1
11-01,11,2,80.4115,41.7161,27.1471,0
12-01,12,7,345.3563,77.7073,0.0,2
12-02,12,7,241.4899,35.1474,0.0,2
12-03,12,7,298.88,67.1384,0.0,2
12-04,12,7,376.4102,76.5977,0.0,2
12-05,12,7,297.0597,74.6836,9.8669,2
12-06,12,6,402.3786,83.0745,9.1273,3
12-07,12,5,41.1104,9.5357,0.959,2
13-01,13,7,349.7629,82.1632,0.0,3
13-02,13,5,222.608,63.4491,0.0,1
13-03,13,5,186.9422,64.1992,5.5814,1
13-04,13,5,182.6378,68.9034,0.0,2
15-01,15,4,135.6,37.7574,0.0,1
16-01,16,5,214.6841,62.1046,0.0,1
17-01,17,7,381.8365,107.6569,0.0,1
17-02,17,7,83.5935,10.4649,0.0,3
17-03,17,7,214.7871,33.6314,0.0,3
17-04,17,6,293.1048,83.6011,0.0,1
18-01,18,7,356.2978,77.1006,0.0,2
18-02,18,7,291.4258,52.235,0.0,1
19-01,19,4,178.3216,86.5507,0.002,1
19-02,19,4,113.0365,35.2611,14.9133,2
20-01,20,4,122.7821,48.3778,0.708,1
20-02,20,4,121.5015,34.7277,0.4587,2
21-01,21,5,210.6752,69.345,0.0,1
21-02,21,5,247.0806,82.2892,7.6866,2
22-01,22,5,164.7888,52.8946,5.432,2
22-02,22,5,160.1114,45.3607,17.012,1
23-01,23,4,162.8122,66.8646,0.0,0
24-01,24,7,401.1943,102.5492,0.0,1
24-02,24,6,111.1695,23.8533,0.0,3
25-01,25,7,242.1199,34.6295,0.0,3
25-02,25,7,290.903,93.2767,3.1814,2
26-01,26,7,286.2776,59.3526,0.0,3
26-02,26,5,275.8519,119.2848,4.5408,0
26-03,26,5,251.3519,58.9073,0.0,1
26-04,26,5,74.4293,12.9905,0.0,2
27-01,27,7,254.102,43.2416,0.0,1
27-02,27,5,233.5896,65.8661,0.0208,1
28-01,28,4,152.3939,62.969,11.5413,1
28-02,28,4,115.2931,32.458,0.1918,2
29-01,29,7,318.2722,71.3406,0.0,1
29-02,29,6,292.074,93.5764,0.0,1
30-01,30,3,171.2727,82.2362,14.051,2
31-01,31,5,188.2863,67.7726,0.0,2
32-01,32,4,361.995,148.4212,0.0,0
32-02,32,4,97.8029,33.2915,2.1512,1
33-01,33,4,177.4488,80.1145,8.304,2
34-01,34,7,392.9272,66.2203,0.0,2
34-02,34,7,286.0065,53.7375,0.0,2
34-03,34,5,97.8642,21.4238,1.3442,2
35-01,35,6,262.994,73.9381,0.0,2
36-01,36,7,270.5689,57.0475,0.0,4
36-02,36,7,317.0957,46.5834,0.0,3
36-03,36,7,196.2093,40.2578,0.0,4
36-04,36,7,252.0447,35.3892,0.0,2
36-05,36,7,265.7848,46.8955,0.0,2
36-06,36,7,218.9978,32.0918,0.0,3
37-01,37,7,321.2286,81.0991,0.0,3
37-02,37,5,262.8901,93.7071,9.2105,1
37-03,37,5,233.3389,73.6442,4.9067,2
37-04,37,5,135.7408,48.7057,0.0,1
38-01,38,2,72.1942,45.2509,30.2733,0
39-01,39,7,261.5244,47.5535,0.0,1
39-02,39,7,383.9737,57.4898,0.0,1
39-03,39,6,267.0974,73.4957,0.0,1
39-04,39,5,210.9158,71.2233,8.2276,2
40-01,40,4,210.2093,96.1927,14.7239,0
40-02,40,4,185.5406,49.1801,3.9028,1
41-01,41,5,320.3758,96.4942,9.2391,2
41-02,41,4,276.7832,102.5107,1.0543,1
42-01,42,7,330.5399,84.5657,0.0,1
42-02,42,7,367.6403,87.4155,0.0,3
42-03,42,7,391.387,64.7866,0.0,3
42-04,42,6,378.2808,106.0991,15.5817,2
44-01,44,3,108.9825,54.7439,2.484,0
45-01,45,5,191.5043,60.9144,0.0,1
45-02,45,5,278.8067,96.876,7.835,2
46-01,46,2,90.7377,63.5238,35.7069,0
47-01,47,7,269.0012,62.4114,0.0,3
47-02,47,7,479.6927,108.7988,6.3369,3
48-01,48,7,312.4099,75.6175,0.0,3
48-02,48,7,323.3684,73.786,0.0,2
48-03,48,7,289.6043,40.7132,0.0,1
48-04,48,7,288.2807,60.9398,0.0,2
48-05,48,7,272.1318,66.3387,0.0,1
48-06,48,7,208.6621,45.6579,0.0,3
48-07,48,7,214.4241,31.7715,0.0,2
48-08,48,7,262.3269,60.8721,3.4512,1
48-09,48,6,65.6818,11.8213,2.8055,2
49-01,49,4,161.6816,67.4776,0.3593,0
49-02,49,4,129.0168,38.1537,2.8038,1
50-01,50,2,76.1567,44.9236,30.0336,1
51-01,51,7,341.9383,54.8492,0.0,3
51-02,51,6,258.3121,61.2399,0.0,2
51-03,51,5,276.8085,73.2916,0.0,1
53-01,53,6,343.9771,105.8623,0.0,2
53-02,53,5,220.5993,67.0284,0.0,0
53-03,53,5,258.3148,88.9853,0.0,1
54-01,54,5,225.1334,65.434,5.3752,1
55-01,55,7,347.5424,86.1074,0.0,3
55-02,55,6,295.8057,84.1585,0.0,2
56-01,56,2,64.5525,34.011,23.8588,1
