district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,5,302.0132,120.2423,0.0,0
01-02,1,5,186.0134,64.9202,0.0,0
02-01,2,2,87.0887,57.4926,24.4295,0
04-01,4,5,216.8631,67.1074,0.0,1
04-02,4,5,326.6984,112.168,0.0,0
04-03,4,5,275.3926,115.0542,0.0,0
05-01,5,4,150.181,60.3133,0.0,0
05-02,5,4,133.6282,65.6924,0.0,0
06-01,6,7,673.9968,166.9115,0.0,0
06-02,6,7,201.6673,44.0979,0.0,0
06-03,6,7,172.2026,31.6753,0.0,0
06-04,6,7,432.2561,99.2995,0.0,0
06-05,6,7,183.3385,47.6175,0.0,0
06-06,6,7,240.9743,45.7811,0.0,0
06-07,6,7,228.0786,74.6548,0.0,0
06-08,6,7,188.3372,42.0111,0.0,0
06-09,6,7,68.3936,3.705,0.0,1
06-10,6,7,255.3954,37.2421,0.0,0
06-11,6,7,77.6767,11.4209,0.0,3
06-12,6,6,6.7365,0.0015,0.0,4
08-01,8,7,404.9221,74.5334,0.0,0
08-02,8,5,182.7459,79.2922,0.0,0
09-01,9,4,221.6472,78.4283,0.0,0
09-02,9,4,124.3623,51.6857,0.7288,0
10-01,10,3,151.5207,66.9367,2.6002,0
11-01,11,2,84.7581,44.2473,28.8769,0
12-01,12,7,369.3716,81.0551,0.0,0
12-02,12,7,258.1655,37.3487,0.0,0
12-03,12,7,318.8488,73.4397,0.0,0
12-04,12,7,403.2289,80.1794,0.0,0
12-05,12,7,317.2453,87.191,0.0,0
12-06,12,6,430.5607,86.789,0.0,0
12-07,12,5,44.2582,10.0538,0.0,1
13-01,13,7,372.4283,85.395,0.0,0
13-02,13,5,238.3406,66.7017,0.0,0
13-03,13,5,199.107,70.0973,0.0,0
13-04,13,5,194.4797,79.4193,0.0,0
15-01,15,4,143.5467,40.1427,0.0,0
16-01,16,5,227.7007,66.8733,0.0,0
17-01,17,7,404.9648,115.4907,0.0,0
17-02,17,7,88.4308,11.0408,0.0,2
17-03,17,7,226.83,44.115,0.0,0
17-04,17,6,310.3915,88.0658,0.0,0
18-01,18,7,378.1035,80.7647,0.0,0
18-02,18,7,310.4749,54.8574,0.0,0
19-01,19,4,189.4666,91.4576,0.0,0
19-02,19,4,120.1777,48.0908,3.2991,0
20-01,20,4,129.5027,54.0944,0.0,0
20-02,20,4,129.8887,47.0013,0.0,0
21-01,21,5,225.6294,72.5621,0.0,0
