district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,5,253.501,101.2203,2.0777,0
01-02,1,5,155.1319,57.5841,0.7694,0
02-01,2,2,72.5722,47.4771,20.613,0
04-01,4,5,187.8866,54.8794,4.164,0
04-02,4,5,283.5203,81.8344,0.0583,1
04-03,4,5,233.8301,65.856,14.1037,2
05-01,5,4,127.8166,51.6906,4.8401,2
05-02,5,4,113.2017,46.863,9.1988,1
06-01,6,7,564.4207,93.1122,0.0,3
06-02,6,7,169.2567,20.3698,0.0,3
06-03,6,7,148.1554,22.6598,0.0,2
06-04,6,7,364.385,76.7394,0.0,2
06-05,6,7,159.6237,27.7348,0.0,3
06-06,6,7,207.2018,26.2698,0.0,3
06-07,6,7,197.0244,62.0093,0.0,3
06-08,6,7,158.2169,21.0376,0.0,3
06-09,6,7,59.7684,6.7839,0.0,3
06-10,6,7,218.3231,32.1442,0.0,2
06-11,6,7,65.3434,10.6424,0.5272,4
06-12,6,6,4.9868,0.0,0.0,5
08-01,8,7,350.2798,61.2881,0.2825,2
08-02,8,5,157.5158,46.0569,0.0,1
09-01,9,4,191.4789,66.7789,0.3051,1
09-02,9,4,108.4822,44.5395,4.1532,1
10-01,10,3,129.7108,56.4379,1.7107,0
11-01,11,2,73.8917,37.9193,24.5525,0
12-01,12,7,309.3334,72.6858,0.0,2
12-02,12,7,216.4764,31.8454,0.0,2
12-03,12,7,268.9267,62.088,0.0,2
12-04,12,7,336.1823,71.2251,0.0,2
12-05,12,7,266.7814,65.9001,9.3821,2
12-06,12,6,360.1055,77.5027,8.8171,2
12-07,12,5,36.3886,8.7586,0.8919,2
13-01,13,7,315.7647,73.6976,0.0,2
13-02,13,5,199.0091,58.5703,0.0,1
13-03,13,5,168.6949,51.3809,5.3913,2
13-04,13,5,164.8751,60.6861,0.0,3
15-01,15,4,123.6799,34.1794,0.0,1
16-01,16,5,195.1591,54.9516,0.0,1
17-01,17,7,347.144,95.9062,0.0,2
17-02,17,7,76.3376,9.6011,0.0,2
17-03,17,7,196.7226,30.6632,0.0,3
17-04,17,6,267.1746,72.7892,0.0,1
18-01,18,7,323.5893,71.6045,0.0,2
18-02,18,7,262.8522,43.7733,3.0213,1
19-01,19,4,161.6041,79.1903,0.0017,1
19-02,19,4,102.3247,31.2707,13.0335,2
20-01,20,4,112.7011,43.6486,0.5529,1
20-02,20,4,108.9208,31.8696,0.4226,1
21-01,21,5,188.244,64.5193,0.0,0
21-02,21,5,223.5996,72.5525,7.1658,2
22-01,22,5,148.3886,48.8663,5.2381,2
22-02,22,5,144.1279,41.9293,16.4246,1
23-01,23,4,148.6334,60.7928,0.0,0
24-01,24,7,364.15,93.8768,0.0,1
24-02,24,6,100.6064,21.124,0.0,3
25-01,25,7,222.7878,31.1637,0.0,3
25-02,25,7,264.7154,77.3571,24.8463,4
26-01,26,7,259.3908,52.0537,0.0,2
26-02,26,5,250.4029,105.9855,1.2465,1
26-03,26,5,231.6581,53.039,0.0,1
26-04,26,5,68.5164,11.9872,0.0,2
27-01,27,7,234.9946,39.0283,0.0,1
27-02,27,5,212.7575,57.8102,0.018,1
28-01,28,4,135.1925,53.4443,1.1011,1
28-02,28,4,101.3363,30.1742,0.1854,2
29-01,29,7,285.7539,66.398,0.0,1
29-02,29,6,264.5246,77.4232,0.4015,1
30-01,30,3,156.0771,73.5095,12.9944,2
31-01,31,5,169.294,60.7298,0.0,2
32-01,32,4,326.3929,131.83,0.0,0
32-02,32,4,89.6867,29.3618,1.8522,2
33-01,33,4,162.0512,83.0446,0.0,1
34-01,34,7,357.1485,54.689,0.7315,2
34-02,34,7,261.6654,48.8085,0.0,2
34-03,34,5,89.9698,19.0154,1.0245,2
35-01,35,6,236.1522,68.7428,0.0,2
36-01,36,7,243.6641,52.3717,0.0,4
36-02,36,7,282.6753,42.8337,0.0,2
36-03,36,7,178.5482,32.0773,0.0,3
36-04,36,7,230.6046,52.0938,16.5038,4
36-05,36,7,243.2386,40.3686,0.0,2
36-06,36,7,201.8994,14.3817,0.0,3
37-01,37,7,289.1807,72.0482,0.2789,2
37-02,37,5,240.2841,81.6613,8.3089,1
37-03,37,5,211.239,62.0176,0.0,2
37-04,37,5,123.879,44.122,0.0,1
38-01,38,2,65.1663,40.8858,27.1766,0
39-01,39,7,237.1771,60.5515,0.0,2
39-02,39,7,346.4094,53.4825,0.0,1
39-03,39,6,242.4287,64.4513,0.0,1
39-04,39,5,190.9724,64.3654,7.3423,2
40-01,40,4,190.5859,86.5904,12.8162,0
40-02,40,4,168.0252,63.1203,8.8845,1
41-01,41,5,294.4226,86.0402,7.8596,2
41-02,41,4,256.0482,93.3579,0.9004,1
42-01,42,7,299.7485,77.1706,0.0,2
42-02,42,7,335.8066,75.4858,0.0,2
42-03,42,7,358.7318,56.8196,0.0,2
42-04,42,6,346.2063,92.2477,12.9119,2
44-01,44,3,99.3929,49.3648,2.1853,0
45-01,45,5,173.4151,54.9126,0.0,1
45-02,45,5,251.0177,88.0853,7.4103,1
46-01,46,2,81.7833,57.0298,31.2965,0
47-01,47,7,242.7864,56.3538,0.0,3
47-02,47,7,436.2492,96.4995,6.1231,3
48-01,48,7,276.6578,42.3197,0.0,4
48-02,48,7,288.862,68.9885,0.0,2
48-03,48,7,260.5079,57.7911,17.6667,2
48-04,48,7,260.8791,52.4316,0.0,1
48-05,48,7,245.5538,58.9807,4.9518,2
48-06,48,7,185.21,29.9542,0.0,3
48-07,48,7,192.1165,29.3054,0.0,1
48-08,48,7,235.2218,50.6936,4.3085,2
48-09,48,6,59.2608,7.6285,0.3456,2
49-01,49,4,144.4948,61.9853,0.3311,0
49-02,49,4,115.9491,32.8875,2.6781,1
50-01,50,2,70.5956,40.9991,27.5249,2
51-01,51,7,311.6434,49.6752,0.0,3
51-02,51,6,234.2645,54.2753,0.0,2
51-03,51,5,251.7999,64.8064,0.0,2
53-01,53,6,314.1221,76.3878,7.4636,2
53-02,53,5,202.5047,60.6706,0.0,0
53-03,53,5,235.8731,81.0219,0.0,0
54-01,54,5,201.2876,60.1179,5.1877,1
55-01,55,7,318.1198,74.7548,0.0,3
55-02,55,6,267.688,73.7963,0.0,2
56-01,56,2,58.5973,30.9327,21.7784,1
