district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,182.8326,47.1043,0.0,0
01-02,1,7,221.5535,37.643,0.0,0
01-03,1,7,217.4541,44.7454,0.0,0
01-04,1,5,104.3678,27.6361,0.0,0
02-01,2,4,130.6383,41.0462,0.0,0
04-01,4,9,586.6281,75.3512,0.0,0
04-02,4,9,449.5172,38.3296,0.0,0
04-03,4,7,117.2445,7.1377,0.0,0
04-04,4,7,6.7155,0.0001,0.0,4
04-05,4,5,1160.1052,454.5903,0.0,0
05-01,5,6,156.7225,46.3125,0.0,0
05-02,5,5,155.5334,53.8348,0.0,0
05-03,5,5,99.9261,21.7629,0.0,0
06-01,6,9,1002.725,164.4275,0.0,0
06-02,6,9,298.899,47.8155,0.0,1
06-03,6,9,244.344,27.1793,0.0,0
06-04,6,9,303.3597,61.534,0.0,0
06-05,6,9,332.5099,65.4585,0.0,0
06-06,6,9,123.1829,12.0546,0.0,1
06-07,6,9,229.5921,30.6506,0.0,0
06-08,6,9,243.9999,42.363,0.0,0
06-09,6,9,210.4375,31.4774,0.0,1
06-10,6,9,159.6324,28.8273,0.0,1
06-11,6,9,198.4853,25.4822,0.0,0
06-12,6,9,238.1484,21.6298,0.0,0
06-13,6,9,112.1232,11.0434,0.0,1
06-14,6,7,66.4061,13.9872,0.0,2
06-15,6,7,148.8335,24.7246,0.0,1
06-16,6,7,11.9858,0.002,0.0,3
06-17,6,7,25.0226,2.0917,0.0,2
06-18,6,7,16.4078,0.7096,0.0,3
06-19,6,7,3966.0951,1034.6177,0.0,0
06-20,6,7,3966.0951,1034.6177,0.0,0
06-21,6,7,3966.0951,1034.6177,0.0,0
06-22,6,7,3966.0951,1034.6177,0.0,0
06-23,6,7,3966.0951,1034.6177,0.0,0
06-24,6,7,3966.0951,1034.6177,0.0,0
06-25,6,7,3966.0951,1034.6177,0.0,0
06-26,6,5,3966.0951,1316.1068,0.0,0
08-01,8,9,301.9919,37.5114,0.0,0
08-02,8,9,273.5447,38.1924,0.0,0
08-03,8,7,212.8793,47.3884,0.0,1
08-04,8,5,38.8693,9.5823,0.0,0
09-01,9,9,239.3506,38.5322,0.0,0
09-02,9,5,72.8014,23.512,0.0,0
09-03,9,5,172.0026,52.4481,0.0,0
10-01,10,5,216.9502,81.0593,0.0,0
11-01,11,4,117.3573,36.562,1.7101,0
12-01,12,9,297.2302,38.997,0.0,0
12-02,12,9,252.2559,29.7676,0.0,0
12-03,12,9,239.5363,34.6745,0.0,1
12-04,12,9,394.766,55.3761,0.0,0
12-05,12,9,394.7826,52.0306,0.0,0
12-06,12,9,426.3328,28.4351,0.0,0
12-07,12,7,246.9656,49.5005,0.0,0
12-08,12,7,330.6747,37.6328,0.0,0
12-09,12,7,168.8006,33.7112,0.0,0
12-10,12,7,228.9521,60.9539,0.0,0
12-11,12,7,40.3262,8.2591,0.0,3
12-12,12,7,159.0351,28.3425,0.0,1
12-13,12,6,1.8865,0.0,0.0,5
12-14,12,5,3184.1333,917.8263,0.0,0
12-15,12,5,3184.1333,917.8263,0.0,0
13-01,13,9,257.0582,42.3309,0.0,0
13-02,13,9,321.4444,35.3346,0.0,0
13-03,13,7,252.8044,57.6803,0.0,1
13-04,13,7,234.6958,31.926,0.0,0
13-05,13,7,167.9422,53.0069,0.0,0
13-06,13,7,195.8385,31.4983,0.0,0
13-07,13,5,2.9368,0.0003,0.0,4
13-08,13,5,39.6705,11.3856,0.0,1
15-01,15,8,203.1471,24.837,0.0,0
16-01,16,10,325.3257,26.172,0.0,0
17-01,17,9,578.427,77.7683,0.0,0
17-02,17,9,124.7103,15.3598,0.0,1
17-03,17,9,224.4101,21.2107,0.0,2
17-04,17,9,199.225,37.9087,0.0,0
17-05,17,7,178.5571,32.1474,0.0,0
17-06,17,7,154.1414,29.5613,0.0,0
17-07,17,7,0.8147,0.0,0.0,7
17-08,17,5,1460.3318,526.7992,0.0,0
17-09,17,5,1460.3318,526.7992,0.0,0
18-01,18,9,269.5287,30.5481,0.0,0
18-02,18,7,293.0768,62.8473,0.0,0
18-03,18,7,240.8479,31.1869,0.0,0
18-04,18,7,178.6902,46.0436,0.0,0
18-05,18,5,12.8455,1.3256,0.0,2
19-01,19,7,251.2917,57.6942,0.0,1
19-02,19,5,112.4337,28.9276,0.0,0
19-03,19,5,83.0658,17.4646,0.0,0
20-01,20,5,127.5534,35.0954,0.0,0
20-02,20,5,157.2839,40.6318,0.0,0
20-03,20,5,87.8624,35.1164,0.0,0
21-01,21,7,238.9422,54.737,0.0,0
21-02,21,6,179.1004,52.0137,0.0,0
21-03,21,5,237.4029,59.5442,0.0,0
21-04,21,5,62.4797,14.6239,0.0,1
22-01,22,9,211.3494,17.3314,0.0,1
22-02,22,5,102.3823,30.4535,0.0,0
22-03,22,5,122.4664,25.4679,0.0,0
22-04,22,5,72.2105,12.8195,0.0,0
23-01,23,7,243.1583,48.039,0.0,0
24-01,24,9,242.7646,17.5331,0.0,0
24-02,24,9,322.6342,33.5171,0.0,0
24-03,24,7,177.8967,24.5323,0.0,0
24-04,24,7,38.8438,6.4976,0.0,2
25-01,25,9,283.6359,37.8753,0.0,0
25-02,25,9,210.7009,25.5561,0.0,1
25-03,25,7,90.7824,14.074,0.0,0
25-04,25,7,190.7327,40.0792,0.0,0
25-05,25,5,15.1157,2.563,0.0,4
26-01,26,9,285.827,28.4303,0.0,0
26-02,26,9,279.0216,44.859,0.0,0
26-03,26,7,162.6152,33.4545,0.0,2
26-04,26,7,296.9401,73.3576,0.0,0
26-05,26,7,157.8828,22.5689,0.0,0
26-06,26,7,22.3723,0.9642,0.0,3
26-07,26,6,124.9251,20.2747,0.0,0
27-01,27,9,294.3709,35.5323,0.0,0
27-02,27,7,188.7632,38.1986,0.0,0
27-03,27,7,207.0257,26.0643,0.0,0
27-04,27,7,23.855,2.6392,0.0,3
28-01,28,5,138.4407,38.1366,0.0,0
28-02,28,5,122.4057,31.858,0.0,0
28-03,28,5,183.4038,32.3235,0.0,0
