district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,161.7111,30.7653,0.0,0
01-02,1,7,124.0379,17.2315,0.0,0
01-03,1,7,122.8839,28.7662,0.0,0
02-01,2,4,72.5722,28.3047,0.0,0
04-01,4,9,187.8866,25.4945,0.0,0
04-02,4,9,279.3654,35.0637,0.0,1
04-03,4,7,233.8301,48.5099,0.0,0
04-04,4,5,4.1549,0.0001,0.0,4
05-01,5,7,129.2262,20.9199,0.0,0
05-02,5,6,111.7921,32.8521,0.0,0
06-01,6,9,564.4207,53.9011,0.0,0
06-02,6,9,169.2567,20.3698,0.0,2
06-03,6,9,148.1554,7.1806,0.0,1
06-04,6,9,171.8451,28.5192,0.0,1
06-05,6,9,192.5399,27.1762,0.0,1
06-06,6,9,78.2806,14.8798,0.0,2
06-07,6,9,142.9708,12.9191,0.0,2
06-08,6,9,145.574,17.5804,0.0,0
06-09,6,9,132.1947,24.1268,0.0,2
06-10,6,9,93.8769,12.1977,0.0,2
06-11,6,7,91.4716,15.5447,0.0,2
06-12,6,7,91.6317,23.6641,0.0,1
06-13,6,7,104.7911,15.4929,0.0,0
06-14,6,7,11.3131,1.2035,0.0,5
06-15,6,7,36.8653,7.9297,0.0,2
06-16,6,7,42.9739,4.9062,0.0,4
06-17,6,7,86.1477,15.4355,0.0,0
06-18,6,7,4.9868,0.0,0.0,6
06-19,6,7,7.4103,0.0,0.0,5
06-20,6,7,2316.7064,613.6656,0.0,0
06-21,6,5,2316.7064,876.9169,0.0,0
08-01,8,9,187.6912,40.838,0.0,0
08-02,8,5,93.1152,29.2803,0.0,0
08-03,8,5,129.7999,44.7781,0.0,0
08-04,8,5,97.1892,37.5013,0.0,0
09-01,9,9,191.4789,37.3104,0.0,1
09-02,9,6,108.4822,17.9145,0.0,0
10-01,10,5,129.7108,50.7972,0.0,1
11-01,11,4,73.8917,30.6442,1.0907,0
12-01,12,9,163.7831,16.5995,0.0,0
12-02,12,9,145.5502,7.3097,0.0,2
12-03,12,9,136.78,11.7036,0.0,2
12-04,12,9,229.1875,39.1427,0.0,1
12-05,12,9,265.1211,26.5378,0.0,0
12-06,12,7,188.2919,30.9896,0.0,0
12-07,12,7,174.9274,31.0152,0.0,0
12-08,12,7,153.4452,32.4097,0.0,0
12-09,12,7,152.1156,39.8016,0.0,0
12-10,12,7,129.5928,27.0399,0.0,0
12-11,12,5,50.9877,10.1151,0.0,1
12-12,12,5,4.4114,0.2992,0.0,5
13-01,13,9,150.375,20.7525,0.0,1
13-02,13,9,223.5884,20.0443,0.0,0
13-03,13,7,154.9502,34.5804,0.0,0
13-04,13,7,116.9996,25.8725,0.0,2
13-05,13,7,107.9493,28.1136,0.0,1
13-06,13,6,94.4814,21.868,0.0,0
15-01,15,8,123.6799,19.7142,0.0,0
16-01,16,10,195.1591,25.0961,0.0,0
17-01,17,9,347.144,51.3173,0.0,1
17-02,17,9,76.3376,9.6011,0.0,2
17-03,17,9,140.8369,5.4176,0.0,1
17-04,17,7,107.9348,20.9296,0.0,1
17-05,17,7,108.3042,11.6184,0.0,0
17-06,17,7,102.9987,19.3526,0.0,1
17-07,17,6,3.8226,0.0054,0.0,6
18-01,18,9,219.1036,38.1037,0.0,1
18-02,18,7,219.1253,56.6866,0.0,0
18-03,18,7,140.3911,19.6652,0.0,0
18-04,18,5,7.8215,0.7874,0.0,4
19-01,19,7,148.359,32.6242,0.0,0
19-02,19,7,115.5698,20.5947,0.0,0
20-01,20,7,113.4925,25.403,0.0,2
20-02,20,5,108.1295,26.1245,0.0,0
21-01,21,7,137.6442,25.7957,0.0,0
21-02,21,6,115.4033,30.9223,0.0,0
21-03,21,5,158.7962,41.0525,0.0,0
22-01,22,9,152.9947,12.313,0.0,0
22-02,22,5,51.5341,11.8642,0.0,0
22-03,22,5,87.9877,20.4443,0.0,0
23-01,23,7,148.6334,35.9457,0.0,1
24-01,24,9,138.9111,16.772,0.0,0
24-02,24,7,197.9462,53.1685,0.0,1
24-03,24,5,94.1982,30.6944,0.0,1
24-04,24,5,33.7009,10.15,0.0,1
25-01,25,9,181.6705,20.9252,0.0,2
25-02,25,9,183.2848,12.7298,0.0,0
25-03,25,7,112.2302,26.6271,0.0,1
25-04,25,5,10.3176,1.2888,0.0,4
26-01,26,9,164.1204,20.3214,0.0,1
26-02,26,9,173.4912,19.7178,0.0,2
26-03,26,7,99.2939,16.2633,0.0,0
26-04,26,7,218.4165,49.7079,0.0,1
26-05,26,5,122.241,12.4858,0.0,1
26-06,26,5,32.4051,5.1988,0.0,2
27-01,27,9,192.8305,28.7068,0.0,0
27-02,27,5,82.6211,23.4553,0.0,0
27-03,27,5,98.7799,26.5644,0.0,0
27-04,27,5,73.5207,25.9936,0.0,0
28-01,28,7,136.3735,15.0992,0.0,0
28-02,28,5,100.1553,30.1742,0.0,0
29-01,29,9,189.051,18.876,0.0,1
