district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,174.26,32.3969,0.4487,2
01-02,1,7,133.7895,18.2313,0.0,1
01-03,1,7,132.3409,30.3641,0.0,2
02-01,2,4,78.3788,29.5789,0.566,2
04-01,4,9,199.4772,16.8011,0.0,2
04-02,4,9,296.3806,35.462,2.0885,2
04-03,4,7,250.4551,51.5684,0.5544,1
04-04,4,5,4.4109,0.0001,0.0,4
05-01,5,7,138.0629,22.5754,0.0,4
05-02,5,6,120.0718,35.5953,0.0,1
06-01,6,9,608.2511,57.2833,0.0,2
06-02,6,9,182.221,15.354,0.0,4
06-03,6,9,157.7743,7.6832,0.0,3
06-04,6,9,184.9965,17.9062,0.0,3
06-05,6,9,206.5369,28.3173,0.0,5
06-06,6,9,82.7708,12.1601,0.0,3
06-07,6,9,151.633,13.9847,0.0,3
06-08,6,9,155.4166,29.6819,0.0,3
06-09,6,9,140.019,25.7683,0.0,3
06-10,6,9,100.4525,12.1198,0.0,3
06-11,6,7,97.4243,16.7694,0.0,3
06-12,6,7,98.0731,25.2278,0.0,2
06-13,6,7,112.1081,16.107,0.0,2
06-14,6,7,11.9672,1.287,0.0,5
06-15,6,7,39.8194,7.7075,1.8443,5
06-16,6,7,45.7685,5.5057,0.0,4
06-17,6,7,92.4163,16.3644,0.0,1
06-18,6,7,5.6867,0.0,0.0,6
06-19,6,7,8.3101,0.0,0.0,5
06-20,6,7,2481.6453,611.0012,0.0,2
06-21,6,5,2481.6453,838.0931,0.0,1
08-01,8,9,199.0214,30.1628,0.2986,3
08-02,8,5,98.9979,26.9358,0.0,1
08-03,8,5,138.1553,41.6183,0.0,1
08-04,8,5,103.5699,39.9412,0.0,1
09-01,9,9,203.5462,25.5474,0.0,4
09-02,9,6,114.8343,19.3495,1.7331,1
10-01,10,5,138.4348,40.8638,2.0665,2
11-01,11,4,78.2383,21.8042,6.6642,2
12-01,12,9,177.1278,8.7633,0.0,3
12-02,12,9,156.2208,7.7758,0.0,3
12-03,12,9,147.29,12.2661,0.0,4
12-04,12,9,245.7454,20.6072,0.0,4
12-05,12,9,286.8867,28.2462,0.0,2
12-06,12,7,202.6699,32.5282,2.2426,2
12-07,12,7,189.0009,32.4988,3.8999,4
12-08,12,7,164.422,33.7385,0.0,3
12-09,12,7,163.4329,30.1325,3.4648,2
12-10,12,7,140.0949,27.4705,2.1284,3
12-11,12,5,55.3821,10.8063,0.0001,3
12-12,12,5,4.9147,0.3201,0.0,5
13-01,13,9,161.7745,12.646,0.0,3
13-02,13,9,239.751,21.2019,0.0,3
13-03,13,7,166.8676,36.0871,0.0,2
13-04,13,7,125.3641,24.3128,0.1166,3
13-05,13,7,115.6066,29.724,3.3607,3
13-06,13,6,101.3849,22.1689,0.0,2
15-01,15,8,131.6267,21.2779,0.0,2
16-01,16,10,208.1757,27.1699,0.0,3
17-01,17,9,370.2723,42.2732,0.0,2
17-02,17,9,81.1749,10.177,0.0,3
17-03,17,9,149.1942,6.0822,0.0,3
17-04,17,7,114.4557,22.3008,0.0,3
17-05,17,7,115.3154,12.4273,0.0,3
17-06,17,7,110.2194,20.9977,0.0,2
17-07,17,6,4.0421,0.0058,0.0,5
18-01,18,9,233.842,35.78,0.0,3
18-02,18,7,234.6264,60.1071,0.0,1
18-03,18,7,150.5039,20.7689,0.0,2
18-04,18,5,8.3239,0.8412,0.1948,4
19-01,19,7,158.8201,34.5405,0.0,1
19-02,19,7,123.3949,22.6662,0.0,2
20-01,20,7,120.2174,19.6382,0.6563,3
20-02,20,5,116.5123,27.5133,0.0,2
21-01,21,7,149.935,26.8371,0.0,1
21-02,21,6,122.6047,28.6371,4.3874,2
21-03,21,5,169.9121,56.0631,3.3896,1
22-01,22,9,164.684,12.8615,0.0,3
22-02,22,5,55.3048,12.4922,0.0,3
22-03,22,5,94.1168,21.6443,4.8627,2
23-01,23,7,158.0859,24.8033,0.0,3
24-01,24,9,147.8995,17.9714,0.0,2
24-02,24,7,211.812,54.4078,7.1271,2
24-03,24,5,100.51,31.327,1.8496,1
24-04,24,5,36.2733,11.1143,0.0,3
25-01,25,9,191.8671,29.8339,8.2462,4
25-02,25,9,195.1046,23.2613,3.1307,4
25-03,25,7,120.0804,28.8383,0.0,2
25-04,25,5,10.7974,1.4162,0.0,4
26-01,26,9,176.2911,10.3454,0.0,3
26-02,26,9,184.0443,9.4124,0.0,4
26-03,26,7,105.626,16.4919,0.0,3
26-04,26,7,232.513,52.368,0.0,3
26-05,26,5,129.0528,13.4093,0.0,2
26-06,26,5,34.4026,8.1957,0.332,3
27-01,27,9,202.9845,30.7283,0.0,2
27-02,27,5,87.7496,21.7764,0.0,2
27-03,27,5,105.3062,29.3492,0.0199,2
27-04,27,5,78.3381,23.0164,0.0,2
28-01,28,7,148.1096,14.2613,0.0,2
28-02,28,5,109.1913,18.6581,0.1896,1
29-01,29,9,203.4195,19.1282,0.0,3
29-02,29,7,145.6298,33.7664,0.0,3
29-03,29,5,133.8159,34.3518,3.1408,1
29-04,29,5,107.4584,32.1003,0.0,2
30-01,30,6,166.2075,28.1412,0.0,2
31-01,31,10,181.9555,14.679,0.0,2
32-01,32,7,350.1276,109.5761,0.0,3
32-02,32,6,95.0975,15.3467,0.0,2
33-01,33,7,172.3163,27.6337,0.0,3
34-01,34,9,173.4519,23.2827,0.0,3
34-02,34,9,187.4386,16.3917,0.0,3
34-03,34,7,123.0967,21.3724,0.0,2
34-04,34,7,174.9065,30.9109,0.0,5
34-05,34,6,95.2328,11.3298,1.2376,3
35-01,35,6,151.7125,49.4635,0.0,1
35-02,35,5,102.3342,24.8709,9.7624,2
36-01,36,9,139.0194,15.2133,0.0,4
36-02,36,9,122.5812,10.1561,0.0,3
36-03,36,9,305.6222,21.5396,0.0,1
36-04,36,9,190.3223,26.2598,0.0,5
36-05,36,7,101.309,12.2556,0.0,4
36-06,36,7,166.3897,22.1646,0.0,3
36-07,36,7,107.1341,22.9011,0.0,3
36-08,36,7,118.8327,11.6262,0.8369,3
36-09,36,7,73.5113,14.8794,0.0,4
36-10,36,7,131.6445,38.609,0.2109,3
36-11,36,6,17.6443,2.8176,1.2625,3
37-01,37,9,199.5589,36.9153,0.0,4
37-02,37,7,179.7432,42.4562,0.0,1
37-03,37,7,127.1192,15.5183,0.0,2
37-04,37,7,150.1411,33.4047,0.0,2
37-05,37,7,188.1581,35.0977,0.0,2
37-06,37,6,78.9393,20.2957,1.0089,2
38-01,38,4,69.8516,25.5378,0.2507,1
39-01,39,9,151.585,24.6711,0.0,2
39-02,39,9,185.0881,22.2603,0.0,1
39-03,39,7,231.9438,45.4794,2.1046,1
39-04,39,7,172.951,28.8757,0.0,1
39-05,39,7,213.2447,38.959,0.0,2
39-06,39,5,104.6114,28.3723,0.3821,1
39-07,39,5,28.5794,5.5445,0.0059,2
40-01,40,7,203.6682,31.0589,0.0,1
40-02,40,5,127.9857,36.6051,3.3921,1
40-03,40,5,51.7164,9.1044,4.9286,2
41-01,41,9,278.5444,29.0462,0.0,4
41-02,41,9,303.0518,25.6342,0.0,2
42-01,42,9,259.712,29.5872,0.0,3
42-02,42,9,241.0225,20.0747,0.0,4
42-03,42,7,156.4156,31.7743,0.0,2
42-04,42,7,141.1636,24.9269,0.0,3
42-05,42,7,167.9885,20.5416,0.0,2
42-06,42,5,156.4977,45.5074,4.8851,1
42-07,42,5,208.1994,82.0531,0.6209,1
42-08,42,5,94.397,26.7799,3.7852,1
44-01,44,6,105.786,25.6959,0.0,2
45-01,45,9,262.2796,18.4326,0.0,1
45-02,45,7,180.2484,30.248,0.0,1
45-03,45,6,12.4903,1.4645,0.0,5
46-01,46,5,87.7529,29.1284,4.0674,2
