district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
01-01,1,AL,URBAN,7,263,13,CON,POP,NAT,CON,STY,LBR,CUP,,,
01-02,1,AL,SUBURBAN,7,204,12,CON,NAT,CON,STY,DSA,CUP,LBR,,,
01-03,1,AL,RURAL,7,194,12,CON,NAT,STY,DSA,CON,CUP,LBR,,,
02-01,2,AK,SUBURBAN,4,105,11,LBR,CON,STY,CUP,,,,,,
04-01,4,AZ,URBAN,9,360,16,NAT,CON,DSA,NAT,LBR,LIB,STY,POP,CON,
04-02,4,AZ,URBAN,9,432,15,CON,NAT,LIB,LBR,PRG,POP,CON,CUP,NAT,
04-03,4,AZ,SUBURBAN,7,359,13,CON,NAT,POP,CON,LBR,STY,PRG,,,
04-04,4,AZ,RURAL,5,8,13,CON,CON,LBR,OAO,STY,,,,,
05-01,5,AR,URBAN,7,199,13,CON,LBR,CON,LBR,CUP,NAT,POP,,,
05-02,5,AR,SUBURBAN,6,191,13,CON,DSA,LBR,CUP,POP,STY,,,,
06-01,6,CA,URBAN,9,874,14,STY,LBR,LIB,CON,PRG,LBR,CUP,STY,POP,
06-02,6,CA,URBAN,9,303,16,STY,CON,LBR,LIB,PRG,LBR,NAT,POP,STY,
06-03,6,CA,URBAN,9,268,14,LBR,LIB,OAO,CON,NAT,CUP,LBR,POP,PRG,
06-04,6,CA,URBAN,9,247,14,CON,LBR,POP,CON,STY,LIB,LBR,CUP,NAT,
06-05,6,CA,URBAN,9,228,16,LBR,LBR,LIB,CON,STY,LBR,CUP,NAT,POP,
06-06,6,CA,URBAN,9,136,15,LIB,PRG,LIB,CON,LBR,CUP,STY,CON,PRG,
06-07,6,CA,URBAN,9,236,15,LBR,LIB,NAT,CON,PRG,LBR,OAO,POP,STY,
06-08,6,CA,URBAN,9,225,15,CON,LIB,LBR,NAT,STY,LBR,CON,LIB,POP,
06-09,6,CA,URBAN,9,204,15,LIB,LBR,LIB,PRG,LBR,CON,STY,OAO,LIB,
06-10,6,CA,URBAN,9,173,15,LIB,LBR,STY,PRG,LIB,LBR,CON,NAT,OAO,
06-11,6,CA,URBAN,7,122,13,NAT,CON,OAO,STY,LBR,LIB,NAT,,,
06-12,6,CA,URBAN,7,136,13,NAT,LBR,CON,STY,LIB,LBR,POP,,,
06-13,6,CA,URBAN,7,162,14,CON,LIB,CUP,POP,LBR,STY,NAT,,,
06-14,6,CA,URBAN,7,27,12,NAT,LBR,LIB,NAT,POP,PRG,STY,,,
06-15,6,CA,SUBURBAN,7,43,14,POP,POP,POP,CUP,LIB,OAO,STY,,,
06-16,6,CA,SUBURBAN,7,61,14,LBR,CON,LBR,LIB,NAT,POP,PRG,,,
06-17,6,CA,SUBURBAN,7,158,13,NAT,STY,LBR,CON,POP,OAO,LIB,,,
06-18,6,CA,SUBURBAN,7,10,15,STY,STY,CON,CUP,LBR,PRG,STY,,,
06-19,6,CA,SUBURBAN,7,12,15,STY,LBR,LIB,NAT,OAO,POP,STY,,,
06-20,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,STY,LBR,POP,NAT,,,
06-21,6,CA,RURAL,5,3625,12,LBR,CON,LIB,STY,POP,,,,,
08-01,8,CO,URBAN,9,280,16,LBR,CON,PRG,LIB,LBR,POP,CON,LIB,NAT,
08-02,8,CO,URBAN,5,160,10,LIB,CON,LBR,POP,STY,,,,,
08-03,8,CO,SUBURBAN,5,190,11,CON,LIB,LBR,POP,CUP,,,,,
08-04,8,CO,RURAL,5,155,11,CON,POP,LIB,LBR,CON,,,,,
09-01,9,CT,URBAN,9,327,15,CON,LIB,CON,LBR,STY,POP,CON,OAO,PRG,
09-02,9,CT,SUBURBAN,6,138,11,NAT,LIB,LBR,POP,PRG,CUP,,,,
10-01,10,DE,URBAN,5,164,12,CON,LBR,LIB,CON,STY,,,,,
11-01,11,DC,URBAN,4,122,12,LIB,LBR,POP,PRG,,,,,,
12-01,12,FL,URBAN,9,221,16,CON,POP,CUP,CON,STY,LBR,OAO,STY,PRG,
12-02,12,FL,URBAN,9,256,16,LBR,LIB,CON,NAT,LBR,STY,POP,CUP,OAO,
12-03,12,FL,URBAN,9,269,15,LIB,CON,STY,LBR,CUP,DSA,LIB,NAT,POP,
12-04,12,FL,URBAN,9,402,15,CON,CON,LBR,LIB,DSA,STY,CUP,CON,POP,
12-05,12,FL,URBAN,9,498,16,CON,STY,LBR,DSA,LIB,CON,CUP,STY,NAT,
12-06,12,FL,URBAN,7,284,14,CON,CUP,NAT,CON,LBR,STY,POP,,,
12-07,12,FL,URBAN,7,349,14,CON,LBR,CUP,STY,POP,CON,OAO,,,
12-08,12,FL,SUBURBAN,7,304,15,CON,POP,LBR,STY,CON,CUP,NAT,,,
12-09,12,FL,SUBURBAN,7,345,14,CON,CON,LBR,CUP,STY,CON,NAT,,,
12-10,12,FL,SUBURBAN,7,299,12,CON,STY,CON,LBR,STY,DSA,NAT,,,
12-11,12,FL,SUBURBAN,5,106,13,CUP,LBR,STY,CON,NAT,,,,,
12-12,12,FL,RURAL,5,17,12,STY,CON,LBR,POP,PRG,,,,,
13-01,13,GA,URBAN,9,301,15,CON,LIB,LBR,STY,POP,CUP,CON,STY,NAT,
13-02,13,GA,URBAN,9,336,15,LBR,CON,NAT,LBR,LIB,STY,CUP,CON,POP,
13-03,13,GA,URBAN,7,250,12,LBR,LIB,CON,LBR,STY,CUP,POP,,,
13-04,13,GA,SUBURBAN,7,221,13,CON,LBR,CON,STY,CUP,LIB,NAT,,,
13-05,13,GA,SUBURBAN,7,193,15,CON,CON,LBR,CUP,CON,NAT,STY,,,
13-06,13,GA,RURAL,6,188,14,CON,LIB,CUP,CON,LBR,POP,,,,
15-01,15,HI,URBAN,8,153,14,LBR,CON,LIB,LBR,CON,POP,OAO,LIB,,
16-01,16,ID,SUBURBAN,10,244,17,CON,NAT,POP,CON,CUP,LBR,LIB,POP,DSA,NAT
17-01,17,IL,URBAN,9,708,15,CON,LIB,LBR,PRG,CUP,POP,CON,STY,OAO,
17-02,17,IL,URBAN,9,135,15,LBR,LIB,PRG,OAO,STY,LBR,CON,LIB,NAT,
17-03,17,IL,URBAN,9,311,14,CON,LIB,OAO,NAT,LBR,CUP,CON,POP,PRG,
17-04,17,IL,URBAN,7,210,11,CON,CON,LIB,LBR,POP,DSA,NAT,,,
17-05,17,IL,SUBURBAN,7,190,14,LIB,CON,CUP,LBR,DSA,NAT,STY,,,
17-06,17,IL,SUBURBAN,7,193,13,CON,CON,CUP,LBR,POP,LIB,NAT,,,
17-07,17,IL,RURAL,6,11,13,CON,CON,LBR,LIB,OAO,PRG,,,,
18-01,18,IN,URBAN,9,362,15,CON,LBR,NAT,CON,CUP,LBR,STY,POP,PRG,
18-02,18,IN,URBAN,7,389,12,CON,NAT,LIB,STY,CUP,CON,LBR,,,
18-03,18,IN,SUBURBAN,7,205,14,CON,NAT,POP,LBR,STY,LIB,CUP,,,
18-04,18,IN,RURAL,5,22,13,OAO,CON,CUP,LIB,NAT,,,,,
19-01,19,IA,URBAN,7,280,12,LBR,CON,NAT,DSA,CUP,LIB,STY,,,
19-02,19,IA,SUBURBAN,7,210,13,CON,NAT,CON,POP,STY,CUP,LIB,,,
20-01,20,KS,URBAN,7,218,11,CON,CON,LBR,LIB,NAT,CUP,DSA,,,
20-02,20,KS,SUBURBAN,5,167,12,CON,LIB,POP,STY,LBR,,,,,
21-01,21,KY,URBAN,7,247,13,CON,STY,CUP,LBR,CON,LIB,STY,,,
21-02,21,KY,SUBURBAN,6,212,11,CON,NAT,CON,LBR,CUP,LIB,,,,
21-03,21,KY,RURAL,5,215,11,CON,NAT,LBR,POP,CUP,,,,,
22-01,22,LA,URBAN,9,272,15,CON,NAT,LBR,STY,CUP,CON,POP,LIB,DSA,
22-02,22,LA,SUBURBAN,5,98,12,PRG,CON,STY,CUP,LBR,,,,,
22-03,22,LA,RURAL,5,123,13,CON,NAT,CUP,CON,STY,,,,,
23-01,23,ME,RURAL,7,236,14,LIB,CON,POP,LBR,STY,PRG,OAO,,,
24-01,24,MD,URBAN,9,201,13,LBR,LIB,PRG,CON,LBR,OAO,LIB,POP,STY,
24-02,24,MD,URBAN,7,333,14,LBR,CON,POP,LBR,STY,PRG,OAO,,,
24-03,24,MD,SUBURBAN,5,178,10,CON,LBR,STY,LIB,PRG,,,,,
24-04,24,MD,RURAL,5,79,11,LBR,CON,LIB,POP,STY,,,,,
25-01,25,MA,URBAN,9,296,15,CON,PRG,LIB,LBR,CON,STY,LIB,DSA,NAT,
25-02,25,MA,URBAN,9,360,16,LBR,CON,LIB,LBR,PRG,STY,POP,NAT,OAO,
25-03,25,MA,SUBURBAN,7,214,14,CON,LIB,LBR,DSA,STY,POP,CON,,,
25-04,25,MA,RURAL,5,36,11,PRG,CON,LBR,LIB,NAT,,,,,
26-01,26,MI,URBAN,9,292,15,CON,LBR,LIB,STY,DSA,CUP,POP,CON,NAT,
26-02,26,MI,URBAN,9,376,15,CON,CON,NAT,LBR,POP,CON,STY,LIB,PRG,
26-03,26,MI,URBAN,7,221,12,CON,LBR,LIB,NAT,POP,PRG,STY,,,
