district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,167.9855,31.5811,0.0,0
01-02,1,7,128.9137,17.7314,0.0,0
01-03,1,7,127.6124,29.5651,0.0,0
02-01,2,4,75.4755,28.9418,0.0,0
04-01,4,9,193.6819,29.5145,0.0,1
04-02,4,9,287.873,37.0777,0.0,1
04-03,4,7,242.1426,50.0391,0.0,0
04-04,4,5,4.2829,0.0001,0.0,4
05-01,5,7,133.6445,21.7477,0.0,1
05-02,5,6,115.9319,37.8279,0.0,1
06-01,6,9,586.3359,55.5922,0.0,0
06-02,6,9,175.7389,21.135,0.0,2
06-03,6,9,152.9649,7.4319,0.0,0
06-04,6,9,178.4208,29.2067,0.0,1
06-05,6,9,199.5384,27.7467,0.0,2
06-06,6,9,80.5257,11.8133,0.0,2
06-07,6,9,147.3019,13.4519,0.0,2
06-08,6,9,150.4953,28.9774,0.0,2
06-09,6,9,136.1069,24.9476,0.0,2
06-10,6,9,97.1647,12.6004,0.0,1
06-11,6,7,94.4479,16.1571,0.0,2
06-12,6,7,94.8524,24.4459,0.0,1
06-13,6,7,108.4496,15.8,0.0,0
06-14,6,7,11.6401,1.2491,0.0,5
06-15,6,7,38.3423,8.2559,0.0,2
06-16,6,7,44.3712,5.2059,0.0,4
06-17,6,7,89.282,15.9,0.0,0
06-18,6,7,5.3367,0.0,0.0,6
06-19,6,7,7.8602,0.0,0.0,5
06-20,6,7,2399.1758,631.1207,0.0,0
06-21,6,5,2399.1758,898.8763,0.0,0
08-01,8,9,193.3563,32.224,0.0,1
08-02,8,5,96.0566,29.9086,0.0,0
08-03,8,5,133.9776,46.1232,0.0,0
08-04,8,5,100.3796,38.7212,0.0,0
09-01,9,9,197.5126,38.4284,0.0,0
09-02,9,6,111.6583,18.632,0.0,0
10-01,10,5,134.0728,52.3103,0.0,1
11-01,11,4,76.065,31.5838,1.1216,0
12-01,12,9,170.4555,21.0833,0.0,0
12-02,12,9,150.8855,7.5427,0.0,1
12-03,12,9,142.035,11.9849,0.0,3
12-04,12,9,237.4665,39.9544,0.0,1
12-05,12,9,276.0039,27.392,0.0,0
12-06,12,7,195.4809,31.7589,0.0,0
12-07,12,7,181.9641,31.757,0.0,0
12-08,12,7,158.9336,33.0741,0.0,0
12-09,12,7,157.7743,41.0467,0.0,0
12-10,12,7,134.8439,27.8444,0.0,0
12-11,12,5,53.1849,10.4607,0.0,1
12-12,12,5,4.663,0.3097,0.0,5
13-01,13,9,156.0747,21.2184,0.0,1
13-02,13,9,231.6697,20.6231,0.0,0
13-03,13,7,160.9089,35.3338,0.0,0
13-04,13,7,121.1818,26.7214,0.0,2
13-05,13,7,111.7779,28.9188,0.0,1
13-06,13,6,97.9332,22.935,0.0,0
15-01,15,8,127.6533,20.4961,0.0,0
16-01,16,10,201.6674,26.133,0.0,0
17-01,17,9,358.7082,52.5314,0.0,1
17-02,17,9,78.7562,9.8891,0.0,2
17-03,17,9,145.0156,5.7499,0.0,2
17-04,17,7,111.1953,21.6152,0.0,1
17-05,17,7,111.8098,12.0229,0.0,0
17-06,17,7,106.6091,20.1752,0.0,0
17-07,17,6,3.9324,0.0056,0.0,6
18-01,18,9,226.4728,41.0492,0.0,2
18-02,18,7,226.8759,58.3968,0.0,0
18-03,18,7,145.4475,20.217,0.0,0
18-04,18,5,8.0727,0.8143,0.0,4
19-01,19,7,153.5896,33.5824,0.0,0
19-02,19,7,119.4823,21.6304,0.0,0
20-01,20,7,116.855,18.6829,0.0,1
20-02,20,5,112.3209,26.8189,0.0,0
21-01,21,7,143.7896,36.8406,0.0,0
21-02,21,6,119.004,32.1415,0.0,0
21-03,21,5,164.3541,42.8355,0.0,0
22-01,22,9,158.8394,12.5872,0.0,0
22-02,22,5,53.4194,12.1782,0.0,0
22-03,22,5,91.0523,21.0443,0.0,0
23-01,23,7,153.3597,39.452,0.0,0
24-01,24,9,143.4053,17.3717,0.0,0
24-02,24,7,204.8791,58.9317,0.0,0
24-03,24,5,97.3541,31.7231,0.0,1
24-04,24,5,34.9871,10.6322,0.0,1
25-01,25,9,186.7688,22.0645,0.0,2
25-02,25,9,189.1947,13.2877,0.0,0
25-03,25,7,116.1553,27.344,0.0,1
25-04,25,5,10.5575,1.3525,0.0,4
26-01,26,9,170.2058,20.7269,0.0,1
26-02,26,9,178.7678,20.7627,0.0,1
26-03,26,7,102.46,15.6892,0.0,0
26-04,26,7,225.4647,51.0379,0.0,1
26-05,26,5,125.6469,12.9476,0.0,0
26-06,26,5,33.4039,5.3765,0.0,2
27-01,27,9,197.9075,29.7176,0.0,0
27-02,27,5,85.1853,24.1501,0.0,0
27-03,27,5,102.0431,27.9568,0.0,0
27-04,27,5,75.9294,26.8028,0.0,0
28-01,28,7,142.2416,21.5967,0.0,0
28-02,28,5,104.6733,30.9355,0.0,0
29-01,29,9,196.2353,19.243,0.0,0
29-02,29,7,141.1393,33.5127,0.0,0
29-03,29,5,129.3497,33.3026,0.0,0
29-04,29,5,103.5767,31.2542,0.0,0
30-01,30,6,161.1423,27.3333,0.0,0
31-01,31,10,175.6248,14.3961,0.0,0
32-01,32,7,338.2603,106.914,0.0,0
32-02,32,6,92.3921,30.6717,0.0,1
33-01,33,7,167.1837,35.5769,0.0,0
34-01,34,9,167.7217,25.7341,0.0,1
34-02,34,9,181.7776,15.8512,0.0,2
34-03,34,7,119.6665,20.594,0.0,1
34-04,34,7,169.6881,35.4141,0.0,1
34-05,34,6,92.6013,14.7652,0.0,0
35-01,35,6,146.7231,47.604,0.0,0
35-02,35,5,98.3764,27.6428,0.0,0
36-01,36,9,134.2904,16.7251,0.0,1
36-02,36,9,118.342,11.704,0.0,1
36-03,36,9,294.1487,21.2681,0.0,0
36-04,36,9,184.4352,38.4265,0.0,0
36-05,36,7,98.3395,11.8515,0.0,1
36-06,36,7,162.1022,21.4937,0.0,0
36-07,36,7,103.9673,22.133,0.0,2
36-08,36,7,115.5321,19.5484,0.0,1
36-09,36,7,71.1861,14.4263,0.0,2
36-10,36,7,127.6701,37.2244,0.0,1
36-11,36,6,17.3068,2.7542,0.4822,3
37-01,37,9,192.9622,36.0353,0.0,1
37-02,37,7,174.5233,41.0075,0.0,0
37-03,37,7,122.8491,25.5299,0.0,0
37-04,37,7,145.2849,32.3234,0.0,0
37-05,37,7,182.2579,33.6471,0.0,0
37-06,37,6,76.244,19.7019,0.0,0
38-01,38,4,67.5089,24.5808,0.0,1
39-01,39,9,146.8662,24.6514,0.0,0
39-02,39,9,178.5703,21.6128,0.0,0
39-03,39,7,224.1824,47.8259,0.0,0
39-04,39,7,167.3823,28.2017,0.0,0
39-05,39,7,206.6069,37.9036,0.0,0
39-06,39,5,101.1451,27.6345,0.0,1
39-07,39,5,27.7424,5.3449,0.0,1
40-01,40,7,197.127,42.3937,0.0,0
40-02,40,5,123.7857,35.5114,0.0,0
40-03,40,5,50.078,8.6453,0.5598,0
41-01,41,9,270.6361,28.0518,0.0,0
41-02,41,9,295.3975,29.1688,0.0,0
42-01,42,9,251.0593,41.8703,0.0,0
42-02,42,9,234.0788,24.535,0.0,1
42-03,42,7,152.2228,30.6201,0.0,1
42-04,42,7,136.778,23.9742,0.0,0
42-05,42,7,163.5196,19.6576,0.0,0
42-06,42,5,152.1737,43.7491,0.0,0
42-07,42,5,201.6254,79.279,0.0,0
42-08,42,5,91.4872,25.9637,0.0,0
44-01,44,6,102.5895,26.1776,0.0,0
45-01,45,9,253.6586,18.0573,0.0,0
45-02,45,7,173.9581,29.5465,0.0,0
45-03,45,6,12.1089,1.4299,0.0,5
46-01,46,5,84.7681,28.38,0.0,2
47-01,47,9,162.0937,21.628,0.0,1
47-02,47,7,150.1609,36.5642,0.0,1
47-03,47,7,224.3938,41.9149,0.0,0
47-04,47,6,165.6066,43.3976,0.0,0
48-01,48,9,288.5752,47.8313,0.0,1
48-02,48,9,143.6441,22.7911,0.0,1
48-03,48,9,156.72,14.2247,0.0,0
48-04,48,9,165.6986,20.5326,0.0,0
48-05,48,9,174.0974,12.1539,0.0,0
48-06,48,9,149.0254,15.571,0.0,1
48-07,48,7,191.0033,56.7894,0.0,2
48-08,48,7,118.0432,16.0912,0.0,1
48-09,48,7,133.8089,24.1065,0.0,0
48-10,48,7,95.9288,18.688,0.0,1
48-11,48,7,98.9182,21.0107,0.0,1
48-12,48,7,123.7274,28.7179,0.0,0
48-13,48,7,116.8467,20.4666,0.0,0
48-14,48,7,97.8401,9.4315,0.0,0
48-15,48,7,10.8003,0.5713,0.0,5
48-16,48,5,17.132,2.1703,0.0,3
49-01,49,9,173.831,16.1367,0.0,1
49-02,49,5,96.6977,17.9831,0.0,0
50-01,50,3,72.4493,33.6681,1.619,0
51-01,51,9,193.9594,17.9242,0.0,0
51-02,51,7,127.3476,22.4022,0.0,1
51-03,51,7,274.7214,63.1778,0.0,0
51-04,51,7,15.0976,0.8477,0.0,5
51-05,51,6,213.0321,66.1494,0.0,0
53-01,53,9,225.6963,20.2518,0.0,1
53-02,53,9,271.8146,33.2011,0.0,0
53-03,53,7,254.4249,35.6818,0.0,0
53-04,53,7,24.0278,3.1713,0.0,3
54-01,54,9,209.2362,13.7923,0.0,0
55-01,55,9,197.0807,14.7121,0.0,0
55-02,55,6,253.3895,72.787,0.0,0
55-03,55,5,147.2803,45.8502,0.0,0
55-04,55,5,7.2374,0.8267,0.0,5
56-01,56,3,60.5824,27.546,9.046,0
