district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,103.1238,21.0018,0.0,1
01-02,1,7,124.0379,17.2315,0.0,0
01-03,1,7,122.8839,28.7662,0.0,0
01-04,1,5,58.5872,13.032,0.0,1
02-01,2,4,72.5722,28.3047,0.0,0
04-01,4,9,357.8815,27.5727,0.0,0
04-02,4,9,279.3654,35.0637,0.0,1
04-03,4,7,63.8352,4.9264,0.0,1
04-04,4,7,4.1549,0.0,0.0,6
04-05,4,5,705.237,217.0619,0.0,0
05-01,5,6,90.9856,27.0849,0.0,0
05-02,5,5,92.1424,39.9077,0.0,0
05-03,5,5,57.8903,13.4554,0.0,0
06-01,6,9,564.4207,53.9011,0.0,0
06-02,6,9,169.2567,20.3698,0.0,2
06-03,6,9,148.1554,7.1806,0.0,1
06-04,6,9,171.8451,28.5192,0.0,1
06-05,6,9,192.5399,27.1762,0.0,1
06-06,6,9,78.2806,14.8798,0.0,2
06-07,6,9,142.9708,12.9191,0.0,2
06-08,6,9,145.574,17.5804,0.0,0
06-09,6,9,132.1947,24.1268,0.0,2
06-10,6,9,93.8769,12.1977,0.0,2
06-11,6,9,120.5615,15.3037,0.0,1
06-12,6,9,135.3611,20.653,0.0,1
06-13,6,9,71.0815,2.1233,0.0,2
06-14,6,7,36.8653,7.9297,0.0,2
06-15,6,7,86.1477,15.4355,0.0,0
06-16,6,7,4.9868,0.0,0.0,6
06-17,6,7,15.1772,1.3912,0.0,4
06-18,6,7,7.4103,0.0,0.0,5
06-19,6,7,2316.7064,613.6656,0.0,0
06-20,6,7,2316.7064,613.6656,0.0,0
06-21,6,7,2316.7064,613.6656,0.0,0
06-22,6,7,2316.7064,613.6656,0.0,0
06-23,6,7,2316.7064,613.6656,0.0,0
06-24,6,7,2316.7064,613.6656,0.0,0
06-25,6,7,2316.7064,613.6656,0.0,0
06-26,6,5,2316.7064,876.9169,0.0,0
08-01,8,9,188.262,40.3846,0.0,0
08-02,8,9,170.3247,22.1026,0.0,0
08-03,8,7,128.1432,24.2352,0.0,2
08-04,8,5,21.0657,6.1125,0.0,2
09-01,9,9,144.6166,24.9819,0.0,1
09-02,9,5,46.8624,14.5025,0.0,1
09-03,9,5,108.4822,28.1106,0.0,1
10-01,10,5,129.7108,50.7972,0.0,1
11-01,11,4,73.8917,30.6442,1.0907,0
12-01,12,9,163.7831,16.5995,0.0,0
12-02,12,9,145.5502,7.3097,0.0,2
12-03,12,9,135.4219,11.7036,0.0,2
12-04,12,9,229.1875,39.1427,0.0,1
12-05,12,9,215.4396,19.7865,0.0,0
12-06,12,9,242.0361,19.9338,0.0,0
12-07,12,7,137.8487,20.3447,0.0,0
12-08,12,7,186.3727,25.4553,0.0,0
12-09,12,7,98.6096,23.833,0.0,2
12-10,12,7,126.4786,26.1694,0.0,0
12-11,12,7,23.1171,3.6247,0.0,5
12-12,12,7,88.1185,10.1352,0.0,1
12-13,12,6,1.0652,0.0,0.0,6
12-14,12,5,1794.1941,631.4462,0.0,0
12-15,12,5,1794.1941,631.4462,0.0,0
13-01,13,9,145.7964,21.1655,0.0,0
13-02,13,9,186.5785,21.7384,0.0,0
13-03,13,7,144.8459,45.2735,0.0,1
13-04,13,7,134.0438,22.3547,0.0,1
13-05,13,7,98.6332,22.3676,0.0,2
13-06,13,7,112.7942,28.8622,0.0,0
13-07,13,5,1.9158,0.0001,0.0,5
13-08,13,5,23.7361,6.3452,0.0,1
15-01,15,8,123.6799,19.7142,0.0,0
16-01,16,10,195.1591,25.0961,0.0,0
17-01,17,9,347.144,51.3173,0.0,1
17-02,17,9,76.3376,9.6011,0.0,2
17-03,17,9,140.8369,5.4176,0.0,1
17-04,17,9,122.6654,23.8831,0.0,1
17-05,17,7,107.3617,14.4436,0.0,0
17-06,17,7,92.4406,16.6339,0.0,0
17-07,17,7,0.5634,0.0,0.0,7
17-08,17,5,887.3788,328.6963,0.0,0
17-09,17,5,887.3788,328.6963,0.0,0
18-01,18,9,161.1832,12.2999,0.0,1
18-02,18,7,172.2594,40.31,0.0,0
18-03,18,7,140.02,19.9743,0.0,0
