district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
01-01,1,AL,URBAN,7,195,13,CON,CON,STY,NAT,CUP,LBR,OAO,,,
01-02,1,AL,SUBURBAN,7,204,12,CON,NAT,CON,DSA,STY,CUP,LBR,,,
01-03,1,AL,RURAL,7,194,12,CON,NAT,CON,DSA,LBR,STY,CUP,,,
01-04,1,AL,RURAL,5,68,11,POP,NAT,CON,LBR,POP,,,,,
02-01,2,AK,SUBURBAN,4,105,11,LBR,CON,STY,CUP,,,,,,
04-01,4,AZ,URBAN,9,613,16,CON,NAT,CON,DSA,POP,LBR,LIB,STY,PRG,
04-02,4,AZ,URBAN,9,432,15,CON,NAT,LIB,LBR,PRG,POP,CON,CUP,NAT,
04-03,4,AZ,URBAN,7,106,15,NAT,STY,NAT,CON,POP,LBR,STY,,,
04-04,4,AZ,SUBURBAN,7,8,15,CON,CON,DSA,LBR,OAO,PRG,STY,,,
04-05,4,AZ,SUBURBAN,5,1159,11,CON,NAT,POP,LBR,LIB,,,,,
05-01,5,AR,URBAN,6,150,13,LBR,CON,POP,LBR,CON,LIB,,,,
05-02,5,AR,SUBURBAN,5,147,11,CON,CON,LBR,POP,PRG,,,,,
05-03,5,AR,RURAL,5,93,11,NAT,CON,CUP,STY,LBR,,,,,
06-01,6,CA,URBAN,9,874,14,LBR,LIB,STY,CON,PRG,LBR,CUP,POP,NAT,
06-02,6,CA,URBAN,9,303,16,STY,CON,LBR,LIB,PRG,LBR,NAT,POP,STY,
06-03,6,CA,URBAN,9,268,14,LIB,LBR,OAO,CON,NAT,CUP,STY,POP,PRG,
06-04,6,CA,URBAN,9,247,14,CON,LBR,POP,CON,STY,LIB,LBR,CUP,NAT,
06-05,6,CA,URBAN,9,228,16,LBR,LBR,LIB,CON,LBR,STY,CUP,NAT,POP,
06-06,6,CA,URBAN,9,136,15,LIB,PRG,LIB,CON,LBR,CUP,CON,PRG,STY,
06-07,6,CA,URBAN,9,236,15,LBR,LIB,NAT,PRG,CON,LBR,OAO,POP,STY,
06-08,6,CA,URBAN,9,225,15,CON,LIB,LBR,NAT,STY,CON,LBR,LIB,POP,
06-09,6,CA,URBAN,9,204,15,LIB,LBR,LIB,PRG,CON,LBR,LIB,OAO,STY,
06-10,6,CA,URBAN,9,173,15,LIB,LBR,PRG,LIB,STY,LBR,CON,NAT,OAO,
06-11,6,CA,URBAN,9,159,16,CON,NAT,LBR,LIB,CON,STY,NAT,OAO,PRG,
06-12,6,CA,URBAN,9,213,15,NAT,LBR,CON,POP,STY,LIB,LBR,NAT,POP,
06-13,6,CA,URBAN,9,111,14,LIB,CON,CUP,LBR,PRG,NAT,LBR,LIB,POP,
