district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,127.0365,24.6736,0.0,1
01-02,1,7,153.2926,20.2307,0.0,0
01-03,1,7,151.2549,33.5599,0.0,0
01-04,1,5,72.3214,17.4132,0.0,2
02-01,2,4,89.992,32.1272,0.0,0
04-01,4,9,426.5055,44.5922,0.0,2
04-02,4,9,330.4109,27.6313,0.0,1
04-03,4,7,79.858,5.5898,0.0,2
04-04,4,7,4.9231,0.0,0.0,6
04-05,4,5,841.6975,296.9828,0.0,0
05-01,5,6,110.7067,32.8297,0.0,1
05-02,5,5,111.1597,49.3225,0.0,0
05-03,5,5,70.501,15.9477,0.0,0
06-01,6,9,695.912,113.7995,0.0,0
06-02,6,9,208.1494,24.9611,0.0,1
06-03,6,9,177.012,20.088,0.0,1
06-04,6,9,211.2995,32.6442,0.0,1
06-05,6,9,234.5309,30.5994,0.0,3
06-06,6,9,91.7513,13.5474,0.0,2
06-07,6,9,168.9572,16.116,0.0,2
06-08,6,9,175.1018,32.4999,0.0,1
06-09,6,9,155.6676,29.0512,0.0,2
06-10,6,9,113.6036,14.0213,0.0,3
06-11,6,9,143.9386,18.6803,0.0,2
06-12,6,9,166.1973,24.5511,0.0,2
06-13,6,9,83.394,10.6154,0.0,2
06-14,6,7,45.7275,9.0456,0.0,3
06-15,6,7,104.9534,18.2222,0.0,1
06-16,6,7,7.0865,0.0,0.0,5
06-17,6,7,18.1308,2.7586,0.0,3
06-18,6,7,10.1096,0.1658,0.0,4
06-19,6,7,2811.523,757.4689,0.0,1
06-20,6,7,2811.523,757.4689,0.0,1
06-21,6,7,2811.523,757.4689,0.0,1
06-22,6,7,2811.523,757.4689,0.0,1
06-23,6,7,2811.523,757.4689,0.0,1
06-24,6,7,2811.523,757.4689,0.0,1
06-25,6,7,2811.523,757.4689,0.0,1
06-26,6,5,2811.523,1008.6738,0.0,0
08-01,8,9,222.381,23.7118,0.0,3
08-02,8,9,201.2907,26.9295,0.0,2
08-03,8,7,153.564,36.7046,0.0,1
08-04,8,5,26.4068,7.1534,0.0,2
09-01,9,9,173.0368,16.7472,0.0,2
09-02,9,5,54.6441,17.2053,0.0,2
09-03,9,5,127.5383,35.5595,0.0,3
10-01,10,5,155.8827,59.8759,0.0,0
11-01,11,4,86.9314,25.0837,1.2765,1
12-01,12,9,203.8173,31.9996,0.0,3
12-02,12,9,177.562,8.708,0.0,2
12-03,12,9,166.6562,23.3664,0.0,1
12-04,12,9,278.8611,44.0127,0.0,1
12-05,12,9,269.2425,39.9971,0.0,1
12-06,12,9,297.3251,22.4842,0.0,0
12-07,12,7,170.5838,23.1261,0.0,1
12-08,12,7,229.6633,29.1086,0.0,0
12-09,12,7,119.6669,28.4902,0.0,1
12-10,12,7,157.2206,45.6483,0.0,3
12-11,12,7,28.2798,4.3474,0.0,4
12-12,12,7,109.3935,11.8835,0.0,2
12-13,12,6,1.3116,0.0,0.0,6
