district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,107.1093,21.6138,0.0,1
01-02,1,7,128.9137,17.7314,0.0,0
01-03,1,7,127.6124,29.5651,0.0,0
01-04,1,5,60.8763,13.7622,0.0,1
02-01,2,4,75.4755,28.9418,0.0,0
04-01,4,9,369.3189,42.8514,0.0,0
04-02,4,9,287.873,37.0777,0.0,1
04-03,4,7,66.5057,5.037,0.0,1
04-04,4,7,4.2829,0.0,0.0,6
04-05,4,5,727.9804,226.1246,0.0,0
05-01,5,6,94.2724,28.0424,0.0,0
05-02,5,5,95.312,41.4769,0.0,0
05-03,5,5,59.9921,13.8708,0.0,0
06-01,6,9,586.3359,55.5922,0.0,0
06-02,6,9,175.7389,21.135,0.0,2
06-03,6,9,152.9649,7.4319,0.0,0
06-04,6,9,178.4208,29.2067,0.0,1
06-05,6,9,199.5384,27.7467,0.0,2
06-06,6,9,80.5257,11.8133,0.0,2
06-07,6,9,147.3019,13.4519,0.0,2
06-08,6,9,150.4953,28.9774,0.0,2
06-09,6,9,136.1069,24.9476,0.0,2
06-10,6,9,97.1647,12.6004,0.0,1
06-11,6,9,124.4577,15.7269,0.0,1
06-12,6,9,140.5005,21.3027,0.0,1
06-13,6,9,73.1336,2.2525,0.0,2
06-14,6,7,38.3423,8.2559,0.0,2
06-15,6,7,89.282,15.9,0.0,0
06-16,6,7,5.3367,0.0,0.0,6
06-17,6,7,15.6695,1.4262,0.0,4
06-18,6,7,7.8602,0.0,0.0,5
06-19,6,7,2399.1758,631.1207,0.0,0
06-20,6,7,2399.1758,631.1207,0.0,0
06-21,6,7,2399.1758,631.1207,0.0,0
06-22,6,7,2399.1758,631.1207,0.0,0
06-23,6,7,2399.1758,631.1207,0.0,0
06-24,6,7,2399.1758,631.1207,0.0,0
06-25,6,7,2399.1758,631.1207,0.0,0
06-26,6,5,2399.1758,898.8763,0.0,0
08-01,8,9,193.9485,31.7629,0.0,0
08-02,8,9,175.4857,22.9071,0.0,0
08-03,8,7,132.38,25.2702,0.0,2
08-04,8,5,21.9558,6.286,0.0,2
09-01,9,9,149.3533,14.4347,0.0,1
09-02,9,5,48.1593,14.9529,0.0,1
09-03,9,5,111.6583,29.3521,0.0,1
10-01,10,5,134.0728,52.3103,0.0,1
11-01,11,4,76.065,31.5838,1.1216,0
12-01,12,9,170.4555,21.0833,0.0,0
12-02,12,9,150.8855,7.5427,0.0,1
12-03,12,9,140.6276,11.9849,0.0,2
12-04,12,9,237.4665,39.9544,0.0,1
12-05,12,9,224.4067,35.6994,0.0,0
12-06,12,9,251.2509,20.3589,0.0,0
12-07,12,7,143.3046,20.8082,0.0,0
12-08,12,7,193.5878,26.0642,0.0,0
12-09,12,7,102.1192,24.6092,0.0,2
12-10,12,7,131.6022,26.9492,0.0,0
12-11,12,7,23.9775,3.7451,0.0,5
12-12,12,7,91.6643,10.4266,0.0,2
12-13,12,6,1.1062,0.0,0.0,6
12-14,12,5,1863.6911,649.5881,0.0,0
12-15,12,5,1863.6911,649.5881,0.0,0
13-01,13,9,151.3595,21.6809,0.0,0
13-02,13,9,193.3218,22.4182,0.0,0
13-03,13,7,150.2438,46.5268,0.0,0
13-04,13,7,139.0764,22.8333,0.0,1
13-05,13,7,102.0986,34.5472,0.0,3
13-06,13,7,116.9464,29.6983,0.0,0
13-07,13,5,1.9668,0.0001,0.0,5
13-08,13,5,24.5328,6.5889,0.0,1
15-01,15,8,127.6533,20.4961,0.0,0
16-01,16,10,201.6674,26.133,0.0,0
17-01,17,9,358.7082,52.5314,0.0,1
17-02,17,9,78.7562,9.8891,0.0,2
17-03,17,9,145.0156,5.7499,0.0,2
17-04,17,9,126.4934,24.5767,0.0,1
17-05,17,7,110.9215,14.9254,0.0,0
17-06,17,7,95.5257,17.2802,0.0,1
17-07,17,7,0.5759,0.0,0.0,7
17-08,17,5,916.0265,338.6014,0.0,0
17-09,17,5,916.0265,338.6014,0.0,0
18-01,18,9,166.6004,17.6098,0.0,1
18-02,18,7,178.3003,41.4369,0.0,0
18-03,18,7,145.0614,20.5349,0.0,0
18-04,18,7,108.8341,22.5458,0.0,2
18-05,18,5,8.0727,0.8143,0.0,4
19-01,19,7,152.6644,33.5824,0.0,0
19-02,19,5,70.3942,14.652,0.0,0
19-03,19,5,50.0132,11.3574,0.0,0
20-01,20,5,83.5923,21.2818,0.0,1
20-02,20,5,89.911,18.9568,0.0,0
20-03,20,5,55.6725,14.8404,2.717,1
21-01,21,7,131.8086,25.4732,0.0,0
21-02,21,6,114.1611,29.1945,0.0,0
21-03,21,5,142.6927,50.7288,0.0,0
21-04,21,5,38.4853,5.8738,0.0,0
22-01,22,9,127.3882,11.6641,0.0,1
22-02,22,5,60.6622,12.3745,0.0,1
22-03,22,5,75.0529,12.997,0.0,0
22-04,22,5,40.2077,9.184,0.0,0
23-01,23,7,153.3597,39.452,0.0,0
24-01,24,9,151.0348,20.4097,0.0,0
24-02,24,9,197.2496,18.9578,0.0,1
24-03,24,7,108.7029,11.3904,0.0,2
24-04,24,7,23.6383,3.5434,0.0,5
25-01,25,9,186.7688,22.0645,0.0,2
25-02,25,9,129.8345,16.3063,0.0,1
25-03,25,7,59.3602,9.235,0.0,2
25-04,25,7,116.1553,27.344,0.0,1
25-05,25,5,10.5575,1.3525,0.0,4
26-01,26,9,170.2058,20.7269,0.0,1
26-02,26,9,178.7678,20.7627,0.0,1
26-03,26,7,102.46,15.6892,0.0,0
26-04,26,7,184.912,26.5484,0.0,0
26-05,26,7,104.4721,10.2683,0.0,1
26-06,26,7,14.2983,0.5791,0.0,5
26-07,26,6,80.8332,13.6753,0.0,1
27-01,27,9,197.9075,29.7176,0.0,0
27-02,27,7,122.0599,27.3187,0.0,0
27-03,27,7,125.6208,12.1381,0.0,1
27-04,27,7,15.4771,1.4818,0.0,5
28-01,28,5,75.0256,23.641,0.0,0
28-02,28,5,71.0524,20.0998,0.0,0
28-03,28,5,100.8368,19.8602,0.0,0
29-01,29,9,178.3978,25.6645,0.0,0
29-02,29,7,119.5144,27.5064,0.0,0
29-03,29,6,151.8411,34.3433,0.0,1
29-04,29,5,91.7095,26.4961,0.0,0
29-05,29,5,28.8381,4.6936,0.0,2
30-01,30,6,161.1423,27.3333,0.0,0
31-01,31,10,175.6248,14.3961,0.0,0
32-01,32,9,338.2603,58.5115,0.0,0
32-02,32,7,92.3921,21.8223,0.0,1
33-01,33,7,167.1837,35.5769,0.0,0
34-01,34,9,167.7217,25.7341,0.0,1
34-02,34,9,181.7776,15.8512,0.0,2
34-03,34,9,149.9403,14.3562,0.0,0
34-04,34,7,120.9214,21.7607,0.0,2
34-05,34,7,92.6013,10.8561,0.0,1
34-06,34,7,18.4929,2.3401,0.0,4
35-01,35,6,146.7231,47.604,0.0,0
35-02,35,5,98.3764,27.6428,0.0,0
36-01,36,9,134.2904,16.7251,0.0,1
36-02,36,9,118.342,11.704,0.0,1
36-03,36,9,266.3693,17.424,0.0,0
36-04,36,9,184.4352,38.4265,0.0,0
36-05,36,9,118.5384,17.2604,0.0,3
36-06,36,9,238.3467,20.9849,0.0,1
36-07,36,7,27.7794,3.3033,0.0,3
36-08,36,7,124.6531,28.0179,0.0,1
36-09,36,7,119.6416,14.5065,0.0,2
36-10,36,7,61.4186,9.7806,0.0,2
36-11,36,7,7.7237,0.0001,0.0,6
36-12,36,6,17.3068,2.7542,0.4822,3
36-13,36,5,3.8669,0.1606,0.0,5
36-14,36,5,4.6084,0.337,0.0,4
37-01,37,9,192.9622,36.0353,0.0,1
37-02,37,9,188.8741,14.3753,0.0,0
37-03,37,7,127.9391,31.3769,0.0,0
37-04,37,7,100.3865,22.625,0.0,2
37-05,37,7,146.9311,32.1124,0.0,1
37-06,37,5,42.6789,13.8704,0.0,0
37-07,37,5,86.0107,26.1164,0.0,0
37-08,37,5,8.3389,0.1042,0.0,3
38-01,38,4,67.5089,24.5808,0.0,1
39-01,39,9,146.8662,24.6514,0.0,0
39-02,39,9,178.5703,21.6128,0.0,0
39-03,39,9,175.4932,30.3509,0.0,0
39-04,39,7,156.4664,31.3926,0.0,0
39-05,39,7,120.8333,19.8116,0.0,1
39-06,39,7,154.7705,32.7123,0.0,0
39-07,39,7,109.1696,18.5292,0.0,1
39-08,39,6,10.3261,1.0485,0.0,4
40-01,40,9,197.127,30.2751,0.0,2
40-02,40,7,144.8461,25.6444,0.0,0
40-03,40,5,29.0176,4.3677,0.0,1
41-01,41,9,260.1869,29.5253,0.0,0
41-02,41,7,298.6667,40.1867,0.0,0
41-03,41,6,7.18,0.1646,0.0,6
42-01,42,9,251.0593,41.8703,0.0,0
42-02,42,9,214.8397,14.9207,0.0,1
42-03,42,9,167.4922,21.1063,0.0,1
42-04,42,7,41.2145,8.8146,0.0,2
42-05,42,7,172.5547,29.4498,0.0,0
42-06,42,7,207.8656,37.7865,0.0,0
42-07,42,7,165.1149,44.3648,0.0,0
42-08,42,7,160.3101,32.7219,0.0,0
42-09,42,6,1382.9447,365.0759,0.0,0
44-01,44,6,102.5895,26.1776,0.0,0
45-01,45,9,157.3272,14.1433,0.0,0
45-02,45,7,157.5241,23.3127,0.0,0
45-03,45,6,12.1089,1.4299,0.0,5
45-04,45,5,112.7653,26.257,0.0,0
46-01,46,5,84.7681,28.38,0.0,2
47-01,47,9,149.3139,21.6772,0.0,1
47-02,47,7,146.9943,30.618,0.0,0
47-03,47,7,226.7513,51.122,0.0,0
47-04,47,7,171.551,36.2004,0.0,0
47-05,47,6,7.6446,0.2213,0.0,4
48-01,48,9,288.5752,47.8313,0.0,1
48-02,48,9,143.6441,22.7911,0.0,1
48-03,48,9,156.72,14.2247,0.0,0
48-04,48,9,165.6986,20.5326,0.0,0
48-05,48,9,173.2406,12.1539,0.0,0
48-06,48,9,148.364,15.571,0.0,1
48-07,48,9,213.3503,37.3733,0.0,1
48-08,48,9,159.733,17.4261,0.0,1
48-09,48,7,125.6459,21.2319,0.0,2
48-10,48,7,99.1979,17.3331,0.0,1
48-11,48,7,96.32,23.1587,0.0,1
48-12,48,7,125.4702,19.2937,0.0,0
48-13,48,7,75.8071,7.8022,0.0,2
48-14,48,7,104.0813,19.5579,0.0,1
48-15,48,7,3.3784,0.0,0.0,6
48-16,48,7,2081.8098,491.3266,0.0,0
48-17,48,7,2081.8098,491.3266,0.0,0
48-18,48,7,2081.8098,491.3266,0.0,0
48-19,48,5,2081.8098,674.0972,0.0,0
48-20,48,5,2081.8098,674.0972,0.0,0
49-01,49,7,150.2237,37.7353,0.0,1
49-02,49,5,120.305,24.3005,0.0,0
49-03,49,5,270.5287,99.4632,0.0,0
50-01,50,3,72.4493,33.6681,1.619,0
51-01,51,9,165.7022,12.9507,0.0,0
51-02,51,9,241.3328,28.7458,0.0,0
51-03,51,7,216.4596,37.2597,0.0,1
51-04,51,7,15.0976,0.8477,0.0,5
51-05,51,7,176.4827,47.2978,0.0,0
51-06,51,6,9.0833,0.0,0.0,4
53-01,53,9,225.6963,20.2518,0.0,1
53-02,53,9,165.4161,20.549,0.0,1
53-03,53,7,144.8449,23.25,0.0,0
53-04,53,5,146.8123,59.4466,0.0,0
53-05,53,5,69.1662,21.0415,0.0,0
53-06,53,5,24.0278,5.0011,0.0,2
54-01,54,9,209.2362,13.7923,0.0,0
55-01,55,9,197.0807,14.7121,0.0,0
55-02,55,7,179.9506,40.2873,0.0,0
55-03,55,5,99.8644,37.404,0.0,1
55-04,55,5,120.8548,39.8929,0.0,0
55-05,55,5,7.2374,0.8267,0.0,5
56-01,56,3,60.5824,27.546,9.046,0
