district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,103.1238,16.0062,0.0,3
01-02,1,7,124.0379,17.2315,0.0,1
01-03,1,7,122.8839,28.7662,0.0,2
01-04,1,5,58.5872,13.032,0.3349,1
02-01,2,4,72.5722,28.3047,0.5534,2
04-01,4,9,357.8815,27.5727,4.4318,3
04-02,4,9,279.3654,31.2782,1.8206,2
04-03,4,7,63.8352,4.9264,1.3892,2
04-04,4,7,4.1549,0.0,0.0,6
04-05,4,5,705.237,217.0619,0.0583,0
05-01,5,6,90.9856,27.0849,0.2662,2
05-02,5,5,92.1424,39.9077,0.0,1
05-03,5,5,57.8903,13.4554,0.6205,2
06-01,6,9,564.4207,53.9011,0.0,2
06-02,6,9,169.2567,12.7559,0.0,3
06-03,6,9,148.1554,7.1806,0.0,3
06-04,6,9,171.8451,17.1754,0.0,3
06-05,6,9,192.5399,13.5154,0.0,4
06-06,6,9,78.2806,14.8798,0.0,3
06-07,6,9,142.9708,12.9191,0.0,3
06-08,6,9,145.574,17.5804,0.0,4
06-09,6,9,132.1947,24.1268,0.0,3
06-10,6,9,93.8769,11.169,0.0,3
06-11,6,9,120.5615,14.4445,0.0,3
06-12,6,9,135.3611,13.2236,0.0,3
06-13,6,9,71.0815,2.1233,0.0,3
06-14,6,7,36.8653,7.9297,0.5272,3
06-15,6,7,86.1477,15.4355,0.0,1
06-16,6,7,4.9868,0.0,0.0,6
06-17,6,7,15.1772,1.3912,0.0,4
06-18,6,7,7.4103,0.0,0.0,5
06-19,6,7,2316.7064,565.5808,0.0,2
06-20,6,7,2316.7064,565.5808,0.0,2
06-21,6,7,2316.7064,565.5808,0.0,2
06-22,6,7,2316.7064,565.5808,0.0,2
06-23,6,7,2316.7064,565.5808,0.0,2
06-24,6,7,2316.7064,565.5808,0.0,2
06-25,6,7,2316.7064,565.5808,0.0,2
06-26,6,5,2316.7064,787.5979,0.0,1
08-01,8,9,188.262,27.4161,0.2825,3
08-02,8,9,170.3247,18.1927,2.6766,2
08-03,8,7,128.1432,24.2352,0.0,4
08-04,8,5,21.0657,6.1125,0.0,2
09-01,9,9,144.6166,23.2527,1.4621,4
09-02,9,5,46.8624,8.7592,0.9132,2
09-03,9,5,108.4822,28.1106,4.1532,2
10-01,10,5,129.7108,37.7269,1.7107,2
11-01,11,4,73.8917,20.1644,6.2592,2
12-01,12,9,163.7831,8.3175,0.0,3
12-02,12,9,145.5502,7.3097,0.0,3
12-03,12,9,135.4219,11.7036,0.0,3
12-04,12,9,229.1875,20.0672,0.0,4
12-05,12,9,215.4396,19.7865,0.0,2
12-06,12,9,242.0361,19.9338,2.1926,2
12-07,12,7,137.8487,20.3447,3.2293,3
12-08,12,7,186.3727,25.4553,5.7039,3
12-09,12,7,98.6096,21.4514,0.0,4
12-10,12,7,126.4786,26.1694,0.0,3
12-11,12,7,23.1171,3.6247,1.495,5
12-12,12,7,88.1185,10.1352,0.0,2
12-13,12,6,1.0652,0.0,0.0,6
12-14,12,5,1794.1941,631.4462,0.0,1
12-15,12,5,1794.1941,631.4462,0.0,1
13-01,13,9,145.7964,20.3221,0.0,3
13-02,13,9,186.5785,21.7384,0.0,2
13-03,13,7,144.8459,45.2735,0.0,2
13-04,13,7,134.0438,9.2722,0.0,2
13-05,13,7,98.6332,22.3676,0.0,4
