district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
01-01,1,AL,URBAN,7,195,13,CON,CON,NAT,STY,CUP,LBR,OAO,,,
01-02,1,AL,SUBURBAN,7,204,12,CON,NAT,CON,DSA,STY,CUP,LBR,,,
01-03,1,AL,RURAL,7,194,12,CON,NAT,CON,DSA,LBR,STY,CUP,,,
01-04,1,AL,RURAL,5,68,11,POP,NAT,CON,LBR,POP,,,,,
02-01,2,AK,SUBURBAN,4,105,11,LBR,CON,CUP,STY,,,,,,
04-01,4,AZ,URBAN,9,613,16,CON,NAT,CON,DSA,POP,LBR,LIB,OAO,PRG,
04-02,4,AZ,URBAN,9,432,15,CON,NAT,LIB,LBR,PRG,POP,CON,CUP,NAT,
04-03,4,AZ,URBAN,7,106,15,NAT,NAT,CON,STY,POP,CON,LBR,,,
04-04,4,AZ,SUBURBAN,7,8,15,CON,CON,DSA,LBR,OAO,PRG,STY,,,
04-05,4,AZ,SUBURBAN,5,1159,11,CON,NAT,POP,LBR,LIB,,,,,
05-01,5,AR,URBAN,6,150,13,LBR,CON,LBR,POP,CON,OAO,,,,
05-02,5,AR,SUBURBAN,5,147,11,CON,CON,LBR,POP,PRG,,,,,
05-03,5,AR,RURAL,5,93,11,NAT,CON,CUP,STY,LBR,,,,,
06-01,6,CA,URBAN,9,874,14,LBR,LIB,STY,PRG,CON,LBR,CUP,NAT,POP,
06-02,6,CA,URBAN,9,303,16,CON,LIB,STY,LBR,PRG,NAT,CON,POP,STY,
06-03,6,CA,URBAN,9,268,14,LIB,LBR,OAO,CON,NAT,CUP,POP,PRG,STY,
06-04,6,CA,URBAN,9,247,14,CON,LBR,POP,CON,STY,LIB,LBR,CUP,NAT,
06-05,6,CA,URBAN,9,228,16,LBR,LBR,LIB,CON,NAT,LBR,CUP,POP,STY,
06-06,6,CA,URBAN,9,136,15,LIB,PRG,LIB,CON,LBR,CON,CUP,LIB,PRG,
06-07,6,CA,URBAN,9,236,15,LBR,LIB,NAT,PRG,CON,LBR,OAO,POP,STY,
06-08,6,CA,URBAN,9,225,15,CON,LIB,LBR,NAT,STY,CON,LIB,POP,PRG,
06-09,6,CA,URBAN,9,204,15,LIB,LIB,LBR,PRG,CON,LBR,LIB,OAO,STY,
06-10,6,CA,URBAN,9,173,15,LIB,LBR,PRG,LIB,STY,LBR,CON,NAT,OAO,
06-11,6,CA,URBAN,9,159,16,CON,NAT,LBR,LIB,CON,STY,NAT,OAO,PRG,
06-12,6,CA,URBAN,9,213,15,NAT,LBR,CON,POP,STY,LIB,LBR,CON,NAT,
06-13,6,CA,URBAN,9,111,14,LIB,CON,PRG,CUP,LBR,NAT,LIB,OAO,POP,
06-14,6,CA,URBAN,7,43,14,POP,POP,POP,CON,CUP,LBR,LIB,,,
06-15,6,CA,URBAN,7,158,13,NAT,OAO,CON,LBR,STY,POP,LIB,,,
06-16,6,CA,URBAN,7,10,15,STY,CON,CUP,LBR,PRG,STY,STY,,,
06-17,6,CA,URBAN,7,25,14,NAT,POP,CON,CUP,LBR,NAT,PRG,,,
06-18,6,CA,SUBURBAN,7,12,15,STY,LBR,LIB,NAT,OAO,POP,STY,,,
06-19,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-20,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-21,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-22,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-23,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-24,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-25,6,CA,SUBURBAN,7,3625,12,LBR,LIB,CON,LBR,STY,NAT,POP,,,
06-26,6,CA,RURAL,5,3625,12,LBR,LIB,CON,STY,NAT,,,,,
08-01,8,CO,URBAN,9,281,16,LBR,CON,PRG,LIB,LBR,POP,CON,NAT,PRG,
08-02,8,CO,URBAN,9,272,14,CON,LIB,CON,LBR,NAT,PRG,POP,LIB,STY,
08-03,8,CO,SUBURBAN,7,192,12,CON,POP,NAT,CON,DSA,LBR,LIB,,,
08-04,8,CO,RURAL,5,40,12,CON,STY,CON,LIB,POP,,,,,
09-01,9,CT,URBAN,9,241,16,CON,CON,LIB,LBR,CON,POP,LIB,OAO,PRG,
09-02,9,CT,URBAN,5,86,11,LBR,LIB,CON,LBR,PRG,,,,,
09-03,9,CT,SUBURBAN,5,138,11,NAT,LBR,LIB,POP,PRG,,,,,
10-01,10,DE,URBAN,5,164,12,CON,LBR,LIB,CON,STY,,,,,
11-01,11,DC,URBAN,4,122,12,LIB,LBR,POP,PRG,,,,,,
12-01,12,FL,URBAN,9,221,16,CON,POP,CON,CUP,LBR,STY,OAO,LIB,PRG,
12-02,12,FL,URBAN,9,256,16,LBR,LIB,CON,NAT,LBR,STY,CUP,OAO,POP,
12-03,12,FL,URBAN,9,264,15,LIB,CON,STY,LBR,LIB,CUP,DSA,NAT,POP,
12-04,12,FL,URBAN,9,402,15,CON,CON,LBR,LIB,DSA,STY,CON,CUP,OAO,
12-05,12,FL,URBAN,9,381,16,CON,LBR,DSA,STY,LIB,CON,CUP,LBR,NAT,
12-06,12,FL,URBAN,9,423,16,CON,CUP,NAT,CON,POP,CUP,OAO,LBR,STY,
12-07,12,FL,URBAN,7,295,15,CON,LBR,CON,CUP,STY,NAT,POP,,,
12-08,12,FL,URBAN,7,367,14,CON,CON,NAT,LBR,CUP,STY,POP,,,
12-09,12,FL,URBAN,7,209,13,CON,LBR,POP,DSA,CON,CUP,LIB,,,
12-10,12,FL,SUBURBAN,7,281,12,CON,STY,CON,LBR,DSA,LIB,NAT,,,
12-11,12,FL,SUBURBAN,7,61,13,CON,CON,LBR,NAT,POP,PRG,STY,,,
12-12,12,FL,SUBURBAN,7,178,13,CON,NAT,CUP,LBR,STY,DSA,OAO,,,
12-13,12,FL,SUBURBAN,6,8,14,CON,LBR,LIB,OAO,STY,STY,,,,
12-14,12,FL,SUBURBAN,5,3350,12,CON,LBR,CUP,STY,LIB,,,,,
12-15,12,FL,RURAL,5,3350,12,CON,LBR,CUP,STY,LIB,,,,,
13-01,13,GA,URBAN,9,290,16,CON,LIB,POP,LBR,STY,CON,CUP,LIB,NAT,
13-02,13,GA,URBAN,9,294,15,CON,LBR,NAT,CON,LIB,LBR,STY,CUP,NAT,
13-03,13,GA,URBAN,7,234,13,LIB,LBR,CON,LIB,LBR,CUP,STY,,,
13-04,13,GA,URBAN,7,231,14,CON,POP,LIB,LBR,CUP,NAT,STY,,,
13-05,13,GA,SUBURBAN,7,177,14,CON,CON,LBR,CON,LIB,NAT,STY,,,
13-06,13,GA,SUBURBAN,7,206,14,CON,CON,NAT,CUP,CON,LBR,STY,,,
13-07,13,GA,RURAL,5,8,12,CON,CUP,LBR,LIB,OAO,,,,,
13-08,13,GA,RURAL,5,49,12,CON,CON,LBR,CUP,NAT,,,,,
15-01,15,HI,URBAN,8,153,14,LBR,CON,LIB,LBR,CON,LIB,OAO,POP,,
16-01,16,ID,SUBURBAN,10,244,17,CON,NAT,POP,CON,LBR,CUP,LIB,DSA,NAT,POP
17-01,17,IL,URBAN,9,708,15,CON,LIB,PRG,LBR,CUP,POP,CON,DSA,OAO,
17-02,17,IL,URBAN,9,135,15,LIB,LBR,PRG,OAO,LBR,CON,LIB,PRG,STY,
17-03,17,IL,URBAN,9,311,14,CON,LIB,OAO,NAT,LBR,POP,CON,CUP,PRG,
17-04,17,IL,URBAN,9,249,15,CON,CON,LIB,LBR,CON,POP,LIB,NAT,PRG,
17-05,17,IL,URBAN,7,191,13,CON,LBR,LIB,CUP,POP,DSA,NAT,,,
17-06,17,IL,SUBURBAN,7,158,13,CON,NAT,CUP,CON,LBR,LIB,POP,,,
17-07,17,IL,SUBURBAN,7,5,15,CON,LBR,LIB,OAO,POP,PRG,STY,,,
17-08,17,IL,SUBURBAN,5,1758,11,CON,LBR,LIB,POP,CUP,,,,,
17-09,17,IL,RURAL,5,1758,11,CON,LBR,LIB,POP,CUP,,,,,
18-01,18,IN,URBAN,9,268,15,CON,NAT,CON,LBR,PRG,STY,CUP,LIB,OAO,
18-02,18,IN,URBAN,7,280,12,CON,NAT,CON,STY,CUP,LBR,LIB,,,
18-03,18,IN,SUBURBAN,7,205,14,NAT,CON,LIB,LBR,POP,STY,CUP,,,
18-04,18,IN,SUBURBAN,7,203,13,CON,LBR,POP,CUP,CON,LIB,NAT,,,
18-05,18,IN,RURAL,5,22,13,OAO,CON,CUP,LIB,NAT,,,,,
19-01,19,IA,URBAN,7,275,12,LBR,NAT,CON,DSA,LIB,CUP,STY,,,
19-02,19,IA,SUBURBAN,5,129,12,CON,LIB,CUP,NAT,POP,,,,,
19-03,19,IA,RURAL,5,86,12,CON,NAT,CON,STY,CUP,,,,,
20-01,20,KS,URBAN,5,143,11,CON,LBR,LIB,DSA,PRG,,,,,
20-02,20,KS,SUBURBAN,5,133,12,POP,LIB,CON,STY,LBR,,,,,
20-03,20,KS,RURAL,5,109,12,CON,CON,CON,LIB,NAT,,,,,
21-01,21,KY,URBAN,7,222,13,CON,STY,CUP,LBR,CON,POP,LIB,,,
21-02,21,KY,SUBURBAN,6,205,11,CON,NAT,CON,LBR,CUP,LIB,,,,
21-03,21,KY,RURAL,5,194,11,CON,NAT,LBR,POP,CON,,,,,
21-04,21,KY,RURAL,5,53,12,LBR,CON,NAT,LBR,CUP,,,,,
22-01,22,LA,URBAN,9,236,15,CON,NAT,LIB,CON,CUP,LBR,DSA,POP,STY,
22-02,22,LA,URBAN,5,100,12,CUP,PRG,LBR,NAT,STY,,,,,
22-03,22,LA,SUBURBAN,5,103,13,CON,NAT,CON,STY,OAO,,,,,
22-04,22,LA,RURAL,5,54,12,CON,LBR,STY,CUP,POP,,,,,
23-01,23,ME,RURAL,7,236,14,LIB,CON,POP,LBR,LIB,NAT,PRG,,,
24-01,24,MD,URBAN,9,215,14,LBR,PRG,LIB,CON,LBR,LIB,OAO,POP,STY,
24-02,24,MD,URBAN,9,319,14,LBR,CON,PRG,POP,LBR,LIB,NAT,OAO,STY,
24-03,24,MD,SUBURBAN,7,203,13,CON,LBR,PRG,LIB,NAT,POP,STY,,,
24-04,24,MD,RURAL,7,54,13,LBR,CON,CUP,LBR,LIB,NAT,POP,,,
25-01,25,MA,URBAN,9,296,15,CON,PRG,LIB,LBR,CON,DSA,LIB,NAT,POP,
25-02,25,MA,URBAN,9,251,15,LBR,LBR,CON,LIB,PRG,OAO,LBR,POP,STY,
25-03,25,MA,URBAN,7,109,15,CON,LIB,NAT,LBR,CON,CUP,POP,,,
25-04,25,MA,SUBURBAN,7,214,14,CON,LIB,LBR,STY,CON,DSA,PRG,,,
