district_id,state_fips,seat_count,vote_weight,nonfirst_weight,unrep_weight,below_quota_seats
01-01,1,7,242.3062,43.5073,0.0,0
01-02,1,6,166.3266,47.0072,0.0,0
02-01,2,2,72.5722,47.4771,20.613,0
04-01,4,7,357.8815,82.0942,0.0,0
04-02,4,7,347.3554,72.0957,0.0,0
04-03,4,5,705.237,217.0619,0.0,0
05-01,5,4,127.8166,51.6906,0.0,0
05-02,5,4,113.2017,58.5982,0.0,1
06-01,6,7,564.4207,155.5454,0.0,0
06-02,6,7,169.2567,20.3698,0.0,0
06-03,6,7,148.1554,28.1083,0.0,0
06-04,6,7,364.385,90.0685,0.0,0
06-05,6,7,159.6237,31.1733,0.0,0
06-06,6,7,207.2018,51.7753,0.0,0
06-07,6,7,197.0244,62.0093,0.0,0
06-08,6,7,150.8066,35.5761,0.0,1
06-09,6,7,201.6016,31.5361,0.0,0
06-10,6,7,59.7684,3.0252,0.0,2
06-11,6,7,65.3434,10.6424,0.0,2
06-12,6,7,4.9868,0.0,0.0,6
06-13,6,7,16.0213,1.0549,0.0,4
06-14,6,7,7.4103,0.0,0.0,5
06-15,6,6,2316.7064,613.6656,0.0,0
08-01,8,5,232.7668,77.1293,0.0,0
08-02,8,5,223.8434,91.5499,0.0,0
08-03,8,5,51.1853,13.5531,0.0,0
09-01,9,5,191.4789,66.7789,0.0,0
09-02,9,4,108.4822,44.5395,0.6363,0
10-01,10,3,129.7108,52.0845,10.3937,0
11-01,11,2,73.8917,37.9193,24.5525,0
12-01,12,7,309.3334,72.6858,0.0,0
12-02,12,7,194.2073,26.3073,0.0,0
12-03,12,7,268.9267,65.2899,0.0,0
12-04,12,7,312.8452,69.6037,0.0,0
12-05,12,7,371.481,68.121,0.0,0
12-06,12,7,224.4554,52.664,0.0,2
12-07,12,5,90.6758,31.7979,0.0,0
12-08,12,5,22.269,3.8009,0.0,3
12-09,12,5,1794.1941,631.4462,0.0,0
13-01,13,7,315.7647,77.3156,0.0,0
13-02,13,7,242.1974,44.5264,0.0,0
13-03,13,7,248.1352,42.4448,0.0,0
13-04,13,7,42.2466,4.3194,0.0,2
15-01,15,4,123.6799,34.1794,0.0,0
16-01,16,5,195.1591,54.9516,0.0,0
17-01,17,7,347.144,95.9062,0.0,0
17-02,17,7,76.3376,9.6011,0.0,1
17-03,17,7,168.2123,23.5348,0.0,2
17-04,17,7,224.0752,52.0593,0.0,0
17-05,17,6,71.6097,13.1233,0.0,0
18-01,18,7,307.9104,67.7261,0.0,0
18-02,18,6,218.6051,51.3619,0.0,0
18-03,18,5,59.9261,23.0414,0.0,0
19-01,19,4,161.6041,84.9508,0.0,0
19-02,19,4,102.3247,31.2707,5.0745,0
20-01,20,4,112.7011,46.9986,0.0,0
20-02,20,4,108.9208,31.8696,0.0,0
21-01,21,7,244.2527,51.8042,0.0,0
21-02,21,5,167.5909,58.9805,0.0,0
22-01,22,7,189.7716,49.7126,0.0,0
22-02,22,5,102.7448,24.5343,0.0,0
23-01,23,4,148.6334,60.7928,0.0,0
24-01,24,6,226.7718,72.3662,0.0,0
24-02,24,5,137.3782,46.2617,0.0,0
24-03,24,5,100.6064,34.4857,0.0,0
25-01,25,7,222.7878,33.869,0.0,0
25-02,25,6,196.0645,56.364,0.0,0
25-03,25,5,68.6509,19.5059,0.0,0
26-01,26,7,259.3908,52.0537,0.0,0
26-02,26,7,286.4575,67.5551,0.0,0
26-03,26,7,245.727,55.7312,0.0,0
26-04,26,6,18.393,0.902,0.0,4
27-01,27,5,195.533,55.3727,0.0,0
27-02,27,5,167.1455,68.4646,0.0,0
27-03,27,5,85.0737,21.5625,0.0,0
28-01,28,4,135.1925,53.4443,0.0,0
28-02,28,4,101.3363,30.1742,0.0,0
29-01,29,6,223.9912,60.6933,0.0,0
29-02,29,5,195.9137,77.1647,0.0,0
29-03,29,5,130.3735,32.6547,0.0,1
30-01,30,3,156.0771,73.5095,12.9944,0
31-01,31,5,169.294,60.7298,0.0,0
32-01,32,4,326.3929,131.83,0.0,0
32-02,32,4,89.6867,29.3618,0.0,0
33-01,33,4,162.0512,83.0446,0.0,0
34-01,34,7,323.7485,56.3997,0.0,0
34-02,34,7,202.2968,42.7863,0.0,0
34-03,34,5,92.7686,41.0147,0.0,0
34-04,34,5,89.9698,19.6836,0.0,0
35-01,35,6,236.1522,68.7428,0.0,0
36-01,36,7,243.6641,58.9905,0.0,0
36-02,36,7,255.9572,38.1402,0.0,0
36-03,36,7,178.5482,34.6215,0.0,0
36-04,36,7,266.2107,57.3399,0.0,0
36-05,36,7,226.1779,52.5453,0.0,0
36-06,36,7,168.4719,28.7517,0.0,0
36-07,36,6,26.7181,3.2045,0.0,3
36-08,36,5,14.8821,2.0965,0.0,4
37-01,37,7,302.2951,80.5075,0.0,0
37-02,37,7,248.9432,40.3254,0.0,0
37-03,37,7,307.2187,66.8895,0.0,0
37-04,37,6,6.1259,0.004,0.0,5
38-01,38,2,65.1663,39.0987,21.7791,0
39-01,39,7,237.1771,60.5515,0.0,0
39-02,39,7,341.9311,53.0429,0.0,0
39-03,39,7,275.5112,52.8043,0.0,0
39-04,39,5,157.8899,52.2862,0.0,0
39-05,39,5,4.4784,0.3185,0.0,4
40-01,40,5,199.2807,70.1737,0.0,0
40-02,40,5,159.3305,42.3476,0.0,0
41-01,41,6,372.5859,71.7741,0.0,0
41-02,41,5,177.8849,39.0369,0.0,0
42-01,42,7,299.7485,77.1706,0.0,0
42-02,42,7,340.4644,80.2134,0.0,0
42-03,42,7,352.9365,88.8428,0.0,0
42-04,42,7,328.7073,61.5578,0.0,1
42-05,42,6,18.6364,1.8211,0.0,4
44-01,44,3,99.3929,49.3648,2.1853,0
45-01,45,7,241.7045,52.2542,0.0,0
45-02,45,6,182.7283,48.7787,0.0,0
46-01,46,2,81.7833,57.0298,31.2965,0
47-01,47,7,215.8741,49.2282,0.0,0
47-02,47,6,307.3067,75.8761,0.0,0
47-03,47,5,155.8549,48.0791,0.0,0
48-01,48,7,276.6578,51.6988,0.0,0
48-02,48,7,288.862,87.8771,0.0,0
48-03,48,7,260.5079,57.7911,0.0,0
48-04,48,7,262.0335,52.7901,0.0,0
48-05,48,7,247.0148,58.5351,0.0,0
48-06,48,7,216.3253,48.5286,0.0,0
48-07,48,7,206.068,39.2519,0.0,0
48-08,48,7,213.8165,35.7483,0.0,0
48-09,48,7,2004.2696,475.6498,0.0,0
48-10,48,7,18.8218,1.8402,0.0,3
48-11,48,7,8.018,0.0,0.0,5
49-01,49,5,167.3989,59.4763,0.0,0
49-02,49,4,93.045,33.4311,0.0,1
50-01,50,2,70.5956,40.9991,27.5249,1
51-01,51,7,318.2693,52.1825,0.0,0
51-02,51,6,235.0482,64.4814,0.0,0
51-03,51,5,225.4906,65.5516,0.0,0
51-04,51,5,18.8997,5.37,0.0,2
53-01,53,7,314.1221,60.7555,0.0,0
53-02,53,7,264.4859,40.129,0.0,0
53-03,53,6,173.8919,53.5313,0.0,0
54-01,54,5,201.2876,60.1179,0.0,0
55-01,55,6,263.1201,60.4674,0.0,0
55-02,55,5,187.2069,60.5176,0.0,0
55-03,55,5,135.4807,52.458,0.0,0
56-01,56,2,58.5973,30.9327,21.7784,0
