candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,14071.175907006873,14570.570321960147,499.39,1.7436,True,10,STY_1
CON_1,LBR_1,13522.830921123248,15118.91530784377,1596.08,5.5726,True,9,STY_1
CON_1,LIB_1,17156.575282768063,11485.170946198954,5671.4,19.8012,True,6,STY_1
CON_1,STY_1,12785.687489530523,15856.058739436496,3070.37,10.7199,True,7,STY_1
CUP_1,LBR_1,11158.645509061122,17483.100719905895,6324.46,22.0812,True,5,STY_1
CUP_1,LIB_1,18427.710751066574,10214.035477900446,8213.68,28.6773,True,3,STY_1
CUP_1,STY_1,10434.49971016316,18207.246518803862,7772.75,27.1378,True,4,STY_1
LBR_1,LIB_1,22514.940572040578,6126.805656926444,16388.13,57.2177,True,1,STY_1
LBR_1,STY_1,13318.987082680742,15322.759146286277,2003.77,6.996,True,8,STY_1
LIB_1,STY_1,7497.768334701595,21143.977894265423,13646.21,47.6445,True,2,STY_1
