state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,46.66,11.65,13.68,8.64,19.37
2,AK,LBR_1,CUP_1,STY_1,105,4,27.03,17.62,22.8,15.38,17.17
4,AZ,CON_1,STY_1,STY_1,1159,3,43.2,6.22,17.55,18.74,14.29
5,AR,CON_1,STY_1,STY_1,390,4,36.75,12.72,23.04,11.62,15.88
6,CA,LBR_1,LIB_1,LBR_1,3626,4,28.25,8.35,21.56,26.16,15.68
8,CO,LBR_1,LIB_1,LBR_1,785,4,35.6,6.29,18.98,26.5,12.64
9,CT,CON_1,LBR_1,LBR_1,465,4,33.21,9.96,16.9,30.34,9.59
10,DE,LBR_1,LIB_1,LBR_1,164,4,33.22,10.65,25.38,23.45,7.3
11,DC,LBR_1,STY_1,LBR_1,122,4,9.65,8.12,27.15,45.85,9.23
12,FL,LBR_1,CUP_1,STY_1,3350,4,34.49,16.18,19.46,13.03,16.84
13,GA,LBR_1,STY_1,STY_1,1489,4,36.11,11.83,19.75,17.36,14.95
15,HI,LBR_1,LIB_1,LBR_1,153,4,27.82,10.62,25.05,25.52,10.99
16,ID,CON_1,CUP_1,STY_1,244,4,42.14,15.68,16.6,14.5,11.08
17,IL,LBR_1,LIB_1,LBR_1,1758,4,32.27,13.59,19.15,24.4,10.59
18,IN,CON_1,CUP_1,CON_1,978,4,38.81,14.14,17.41,16.83,12.8
19,IA,CON_1,STY_1,STY_1,490,4,39.39,12.37,19.17,14.37,14.69
20,KS,CON_1,STY_1,STY_1,385,3,41.38,6.43,15.14,22.39,14.67
21,KY,CON_1,CUP_1,CON_1,674,4,41.4,14.16,16.6,12.28,15.56
22,LA,CON_1,CUP_1,CON_1,493,4,43.34,16.24,13.2,12.97,14.24
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.81,6.52,19.5,32.66,13.51
24,MD,LBR_1,LIB_1,LBR_1,791,4,27.1,8.1,24.98,26.71,13.11
25,MA,LBR_1,LIB_1,LBR_1,906,4,29.29,7.8,23.51,30.19,9.21
26,MI,CON_1,STY_1,STY_1,1531,3,40.48,8.19,19.07,20.59,11.67
27,MN,LIB_1,LBR_1,LBR_1,811,4,30.27,8.12,15.19,33.71,12.73
28,MS,STY_1,LBR_1,STY_1,349,4,36.19,14.81,18.05,6.11,24.84
29,MO,CON_1,STY_1,STY_1,1047,4,39.96,10.17,21.07,14.4,14.39
30,MT,CON_1,CUP_1,CON_1,185,3,44.58,9.45,15.44,21.29,9.23
31,NE,LBR_1,CUP_1,STY_1,286,4,34.55,17.52,21.31,14.69,11.92
32,NV,LBR_1,LIB_1,STY_1,573,4,37.28,6.47,20.23,21.16,14.86
33,NH,LBR_1,LIB_1,LBR_1,252,4,30.08,11.88,26.62,24.41,7.02
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,33.62,8.83,19.96,27.47,10.11
35,NM,LBR_1,LIB_1,LBR_1,309,4,28.46,14.99,26.55,19.4,10.61
36,NY,LBR_1,LIB_1,LBR_1,2585,4,28.83,9.93,23.47,24.27,13.5
37,NC,STY_1,LIB_1,STY_1,1444,4,39.56,10.09,16.72,19.13,14.51
38,ND,CON_1,CUP_1,STY_1,90,4,36.55,16.42,19.15,17.97,9.91
39,OH,CON_1,CUP_1,STY_1,1978,3,41.05,13.33,16.6,16.19,12.83
40,OK,CON_1,CUP_1,CON_1,537,3,43.56,14.21,10.46,13.54,18.23
41,OR,LIB_1,LBR_1,LBR_1,810,4,31.89,4.85,20.72,34.24,8.29
42,PA,CON_1,LBR_1,LBR_1,2418,4,36.64,8.74,18.5,26.09,10.03
44,RI,LBR_1,LIB_1,LBR_1,176,4,26.16,8.13,21.7,31.09,12.92
45,SC,CON_1,STY_1,STY_1,736,4,40.19,10.7,19.93,12.4,16.78
46,SD,CON_1,CUP_1,STY_1,137,4,36.34,18.03,15.37,14.68,15.58
47,TN,CON_1,none,CON_1,1065,1,52.93,12.69,11.91,8.38,14.09
48,TX,CON_1,STY_1,STY_1,3392,4,36.9,14.57,18.79,12.02,17.71
49,UT,LBR_1,STY_1,STY_1,387,4,31.51,11.19,25.49,12.49,19.33
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.35,7.53,14.98,45.9,6.25
51,VA,LBR_1,LIB_1,STY_1,1234,4,36.12,8.97,21.77,21.98,11.16
53,WA,LBR_1,LIB_1,LBR_1,1112,4,29.12,9.92,22.39,29.5,9.07
54,WV,CON_1,CUP_1,STY_1,335,4,39.02,17.76,15.73,9.16,18.33
55,WI,LBR_1,LIB_1,STY_1,1088,4,39.17,9.97,18.61,21.59,10.66
56,WY,STY_1,LIB_1,CON_1,70,4,40.53,13.74,12.72,15.93,17.08
