winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,3469.68,surplus
After_Retail,LBR_1,LBR_1,LBR_2,LBR_2,1450.39,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,1395.27,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,1239.25,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,1094.32,surplus
After_Retail,POP_1,POP_1,POP_2,POP_2,92.51,surplus
After_Retail,PRG_1,PRG_1,PRG_2,PRG_2,3.96,surplus
After_Retail,PRG_2,PRG_2,LIB_2,LIB_2,2.35,elimination
After_Retail,PRG_2,PRG_2,DSA_1,DSA_1,1.48,elimination
After_Retail,PRG_2,PRG_2,LBR_2,LBR_2,0.12,elimination
After_Retail,POP_2,POP_2,STY_1,STY_1,56.38,elimination
After_Retail,POP_2,POP_2,CON_3,CON_3,19.95,elimination
After_Retail,POP_2,POP_2,CUP_1,CUP_1,10.17,elimination
After_Retail,POP_2,POP_2,NAT_2,NAT_2,5.66,elimination
After_Retail,POP_2,POP_2,LBR_2,LBR_2,0.35,elimination
After_Retail,LIB_2,LIB_2,LBR_2,LBR_2,773.76,elimination
After_Retail,LIB_2,LIB_2,CUP_1,CUP_1,178.8,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,103.88,elimination
After_Retail,LIB_2,LIB_2,OAO_1,OAO_1,39.54,elimination
After_Retail,LIB_2,LIB_2,STY_1,STY_1,0.69,elimination
After_Retail,LBR_2,LBR_2,STY_1,STY_1,78.3,surplus
After_Retail,LBR_2,LBR_2,CUP_1,CUP_1,45.13,surplus
After_Retail,LBR_2,LBR_2,DSA_1,DSA_1,20.76,surplus
After_Retail,LBR_2,LBR_2,CON_3,CON_3,3.03,surplus
After_Retail,LBR_2,LBR_2,OAO_1,OAO_1,2.99,surplus
After_Retail,CUP_1,CUP_1,STY_1,STY_1,53.93,surplus
After_Retail,CUP_1,CUP_1,CON_3,CON_3,27.4,surplus
After_Retail,CUP_1,CUP_1,OAO_1,OAO_1,8.4,surplus
After_Retail,CUP_1,CUP_1,DSA_1,DSA_1,0.07,surplus
After_Retail,CUP_1,CUP_1,NAT_2,NAT_2,0.03,surplus
After_Retail,NAT_2,NAT_2,CON_3,CON_3,1215.01,elimination
After_Retail,NAT_2,NAT_2,STY_1,STY_1,29.93,elimination
After_Retail,CON_3,CON_3,STY_1,STY_1,548.32,surplus
After_Retail,CON_3,CON_3,OAO_1,OAO_1,37.93,surplus
After_Retail,STY_1,STY_1,OAO_1,OAO_1,317.92,surplus
After_Retail,STY_1,STY_1,DSA_1,DSA_1,211.95,surplus
After_Retail,OAO_1,OAO_1,DSA_1,DSA_1,127.63,surplus
After_Retail,DSA_1,DSA_1,LBR_1,LBR_1,1322.74,elimination
After_Retail,DSA_1,DSA_1,STY_1,STY_1,261.91,elimination
After_Retail,DSA_1,DSA_1,PRG_1,PRG_1,165.84,elimination
After_Retail,DSA_1,DSA_1,LIB_1,LIB_1,81.66,elimination
After_Retail,DSA_1,DSA_1,OAO_1,OAO_1,72.94,elimination
After_Retail,DSA_1,DSA_1,CON_1,CON_1,54.1,elimination
After_Retail,DSA_1,DSA_1,NAT_1,NAT_1,44.48,elimination
After_Retail,DSA_1,DSA_1,POP_1,POP_1,28.84,elimination
After_Retail,DSA_1,DSA_1,CUP_1,CUP_1,24.09,elimination
After_Pod_A,CON_1,CON_1,CON_2,CON_2,2847.36,surplus
After_Pod_A,LBR_1,LBR_1,LBR_2,LBR_2,2046.03,surplus
After_Pod_A,NAT_1,NAT_1,CON_2,CON_2,428.14,surplus
After_Pod_A,NAT_1,NAT_1,POP_1,POP_1,186.24,surplus
After_Pod_A,NAT_1,NAT_1,CUP_1,CUP_1,2.55,surplus
After_Pod_A,CON_2,CON_2,CON_3,CON_3,578.77,surplus
After_Pod_A,LIB_1,LIB_1,LBR_2,LBR_2,369.97,surplus
After_Pod_A,LIB_1,LIB_1,CUP_1,CUP_1,85.68,surplus
After_Pod_A,LIB_1,LIB_1,PRG_1,PRG_1,59.82,surplus
After_Pod_A,LIB_1,LIB_1,OAO_1,OAO_1,18.95,surplus
After_Pod_A,LIB_1,LIB_1,STY_1,STY_1,0.33,surplus
After_Pod_A,CON_3,CON_3,POP_1,POP_1,280.97,elimination
After_Pod_A,CON_3,CON_3,CUP_1,CUP_1,191.26,elimination
After_Pod_A,CON_3,CON_3,STY_1,STY_1,55.2,elimination
After_Pod_A,CON_3,CON_3,OAO_1,OAO_1,32.71,elimination
After_Pod_A,CON_3,CON_3,LBR_2,LBR_2,18.63,elimination
After_Pod_A,OAO_1,OAO_1,CUP_1,CUP_1,1128.3,elimination
After_Pod_A,OAO_1,OAO_1,LBR_2,LBR_2,605.76,elimination
After_Pod_A,OAO_1,OAO_1,STY_1,STY_1,111.51,elimination
After_Pod_A,OAO_1,OAO_1,POP_1,POP_1,1.34,elimination
After_Pod_A,CUP_1,CUP_1,LBR_2,LBR_2,281.7,surplus
After_Pod_A,CUP_1,CUP_1,STY_1,STY_1,213.33,surplus
After_Pod_A,CUP_1,CUP_1,POP_1,POP_1,146.16,surplus
After_Pod_A,LBR_2,LBR_2,STY_1,STY_1,576.89,surplus
After_Pod_A,LBR_2,LBR_2,PRG_1,PRG_1,33.94,surplus
After_Pod_A,LBR_2,LBR_2,POP_1,POP_1,14.54,surplus
After_Pod_A,STY_1,STY_1,POP_1,POP_1,336.37,surplus
After_Pod_A,STY_1,STY_1,PRG_1,PRG_1,9.0,surplus
After_Pod_A,POP_1,POP_1,PRG_1,PRG_1,435.81,surplus
After_Pod_A,PRG_1,PRG_1,LIB_1,LIB_1,2010.83,elimination
After_Pod_A,PRG_1,PRG_1,LBR_1,LBR_1,213.26,elimination
After_Pod_A,PRG_1,PRG_1,STY_1,STY_1,21.69,elimination
After_Pod_A,PRG_1,PRG_1,NAT_1,NAT_1,20.16,elimination
After_Pod_A,PRG_1,PRG_1,CUP_1,CUP_1,10.04,elimination
After_Pod_A,PRG_1,PRG_1,POP_1,POP_1,5.35,elimination
After_Pod_A,PRG_1,PRG_1,CON_1,CON_1,2.26,elimination
After_Pod_C,CON_1,CON_1,CON_2,CON_2,2586.98,surplus
After_Pod_C,LIB_1,LIB_1,LBR_1,LBR_1,1912.66,surplus
After_Pod_C,LIB_1,LIB_1,CUP_1,CUP_1,319.24,surplus
After_Pod_C,LIB_1,LIB_1,CON_2,CON_2,0.95,surplus
After_Pod_C,LIB_1,LIB_1,STY_1,STY_1,0.94,surplus
