state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,408.63,19,5,32.1333,0.0,15.0922,15.966,36.8086,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,72.57,20,5,27.6618,,17.4585,,16.4024,22.5967,15.8805,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,705.24,23,5,23.3928,,,18.9581,,24.2833,19.6619,13.7037,,,,
5,AR,CON_1,CON_1,CON,pure,0,,241.02,22,5,36.8313,,11.3694,,,26.561,11.9567,13.2816,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2316.74,22,5,21.9663,,,,11.7949,22.72,27.2927,16.2262,,,,
8,CO,CON_1,CON_1,CON,pure,0,,507.8,21,5,26.2259,,,9.9115,,23.2592,27.7818,12.8216,,,,
9,CT,CON_1,CON_1,CON,pure,0,,299.96,22,5,26.574,,,,,21.0546,20.4784,19.473,12.42,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,129.71,20,5,36.2919,0.0,,,7.547,30.4513,25.7099,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,73.89,19,5,,,,,,30.7277,32.7145,21.6256,14.9322,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,1794.19,23,5,35.0896,,16.075,,16.0633,19.358,13.4141,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,848.34,20,5,36.6665,,11.726,,14.2295,19.5292,17.8488,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,123.68,20,5,29.6531,,,,,28.3811,29.29,12.6758,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,195.16,20,5,26.4909,,,16.6083,,21.0013,15.1339,20.7656,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,887.38,22,5,27.6412,,13.5423,,,21.4923,24.9635,12.3607,,,,
18,IN,CON_1,CON_1,CON,pure,0,,586.44,22,5,26.1745,,17.294,16.4209,,22.8334,17.2772,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,263.93,23,5,28.7626,,16.2435,16.1874,,24.0722,14.7343,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,221.62,20,5,44.656,0.0,,,14.9323,16.9912,23.4205,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,411.84,22,5,25.2797,,14.7614,14.9721,,31.8477,,13.1391,,,,
22,LA,CON_1,CON_1,CON,pure,0,,292.52,19,5,26.1056,,18.1437,17.9345,13.4299,24.3864,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,148.63,24,5,24.6076,,,,,21.4741,24.2594,18.9622,10.6967,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,464.76,22,5,25.6257,,,,7.9445,25.5745,27.5872,13.2681,,,,
25,MA,LIB_1,LIB_1,LIB,pure,4,,487.5,23,5,28.7513,,,,,26.7,19.8007,11.0898,13.6583,,,
26,MI,CON_1,CON_1,CON,pure,0,,809.97,20,5,29.7311,,9.6957,16.7224,,22.7888,21.0619,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,447.75,23,5,26.942,,,,,17.4281,21.0736,18.9781,15.5782,,,
28,MS,STY_1,STY_1,STY,pure,2,,236.53,19,5,37.0511,,,,18.6178,20.8131,,10.1638,,,,13.3542
29,MO,CON_1,CON_1,CON,pure,0,,550.28,21,5,40.5519,,10.0547,,13.6439,20.9441,14.8054,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,156.08,22,5,23.7907,,,25.0193,11.7491,17.5747,21.8662,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,169.29,22,5,28.2971,,13.2326,,,26.4426,15.1031,16.9246,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,416.08,21,5,32.2411,,,,9.6547,20.6537,22.6428,14.8078,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,162.05,22,5,21.9983,,13.2125,,,35.8209,,,14.9639,,,14.0045
34,NJ,CON_1,CON_1,CON,pure,0,,708.78,22,5,25.0989,,9.9495,,,21.6673,28.1053,15.1791,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,236.15,21,5,28.9161,,14.8391,,9.9592,26.2667,20.0189,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1380.63,23,5,23.0241,,,,,26.8427,23.7147,16.1599,,,,10.2586
37,NC,STY_1,STY_1,STY,pure,2,,864.58,23,5,44.1504,0.0,,,17.6807,17.5271,20.6418,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,65.17,22,5,30.6402,,15.0566,,,21.3212,18.4635,14.5184,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1016.99,22,5,37.3111,,12.375,,,20.3488,16.6047,13.3604,,,,
40,OK,CON_1,CON_1,CON,pure,0,,358.61,23,5,25.5228,,15.5578,19.1558,,28.7964,,10.9672,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,550.47,23,5,21.8979,,,17.5055,,23.7297,18.3998,,18.4671,,,
42,PA,CON_1,CON_1,CON,pure,0,,1340.49,22,5,28.2884,,,10.9417,,23.1053,27.7039,9.9607,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,99.39,24,5,26.9933,,,,,25.1719,22.0278,13.9883,11.8186,,,
45,SC,CON_1,CON_1,CON,pure,0,,424.43,21,5,29.3171,,,14.7701,,28.9408,14.3371,12.6349,,,,
46,SD,CON_1,CON_1,CON,pure,0,,81.78,22,5,20.9587,,19.848,15.9984,14.8525,28.3424,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,679.04,20,5,39.1748,0.0,15.0792,19.6886,,26.0574,,,,,,
48,TX,CON_1,CON_1,CON,pure,0,,2004.27,22,5,37.5433,,14.4994,,16.9103,18.6705,12.3766,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,260.44,22,5,31.7027,,,,13.2742,26.4272,13.1478,15.4481,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,70.6,23,5,22.9574,,,,,20.8321,14.4106,,32.0655,,,9.7343
51,VA,LBR_1,LBR_1,LBR,pure,1,,797.71,22,5,27.6911,,,12.9424,13.1754,23.0931,23.0979,,,,,
53,WA,LIB_1,LIB_1,LIB,pure,4,,752.5,22,5,22.5421,,,,,27.8885,18.4066,16.813,14.3497,,,
54,WV,CON_1,CON_1,CON,pure,0,,201.29,21,5,27.1921,,18.8324,12.6298,17.5536,23.7921,,,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,585.81,22,5,35.9483,0.0,,,,24.1431,22.7967,17.1118,,,,
56,WY,POP_1,POP_1,POP,pure,5,,58.6,21,5,41.7009,0.0,11.9888,,,,22.4081,23.9022,,,,
