state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,435.63,19,5,31.7276,0.0,15.1488,15.5595,37.5641,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,77.69,20,5,27.0252,,17.6194,,17.1697,22.802,15.3836,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,746.51,23,5,23.3019,,,18.5966,,24.6531,19.2071,14.2413,,,,
5,AR,CON_1,CON_1,CON,pure,0,,256.4,22,5,36.2853,,11.4923,,,26.9381,11.6191,13.6652,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2465.3,22,5,21.7112,,,,12.5541,22.9818,26.5525,16.2005,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,537.49,21,5,30.599,,,,5.767,20.5013,27.1321,16.0005,,,,
9,CT,CON_1,CON_1,CON,pure,0,,317.18,22,5,24.9884,,7.8375,,,19.8982,30.3386,16.9373,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,137.71,20,5,35.9446,0.0,,,7.9741,30.8616,25.2198,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,78.06,19,5,,,,,,31.2719,32.1993,22.0278,0.0,14.501,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,1915.25,23,5,34.4945,,16.1773,,16.8363,19.4604,13.0316,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,904.3,20,5,36.1133,,11.8278,,14.9492,19.7491,17.3606,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,131.26,20,5,29.3704,,,,,28.9961,28.7051,12.9285,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,207.03,20,5,26.3353,,,16.2562,,21.3297,14.7731,21.3057,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,939.48,22,5,27.4226,,13.7373,,,21.8928,24.4024,12.545,,,,
18,IN,CON_1,CON_1,CON,pure,0,,622.9,22,5,30.2236,,,15.9602,17.0862,18.3673,18.3628,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,280.31,23,5,28.7447,,16.5133,15.826,,24.5448,14.3712,,,,,
