state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_STY,inc_NAT,inc_PRG
1,AL,CON_1,CON,26.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.59,3.95,0.81,1.69,1.79,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.8,0.0,1.77,2.35,6.77,0.0,0.69,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.36,0.91,0.0,0.0,0.0,0.0,0.0,15.95,0.0,0.0,0.0
1,AL,STY_1,STY,11.6,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.06,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.92,12.16,0.0
2,AK,CUP_1,CUP,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0
2,AK,LBR_1,LBR,19.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,13.12,0.0,0.0,0.0,0.52,0.0,0.0,0.73,0.72,0.0,1.53
2,AK,STY_1,STY,10.7,0.0,0.0,5.08,1.04,0.0,0.0,4.35,0.0,0.0,0.0
4,AZ,CON_1,CON,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.11,1.52,2.33,4.17,0.0,1.28,0.0,8.63,2.16,0.0,0.0
4,AZ,LIB_1,LIB,9.58,0.0,1.19,0.0,3.8,0.0,0.0,3.08,0.0,0.0,5.37
4,AZ,NAT_1,NAT,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.38,5.79,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.94,0.0
5,AR,CON_1,CON,22.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49,0.0
5,AR,CUP_1,CUP,8.43,1.19,4.0,1.31,0.0,0.0,1.23,1.66,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0
5,AR,LIB_1,LIB,5.51,0.0,1.1,0.0,0.0,0.0,0.0,6.8,0.0,0.0,4.45
5,AR,POP_1,POP,10.71,3.21,1.65,0.0,0.71,0.0,0.0,0.0,2.41,0.54,0.0
6,CA,CON_1,CON,13.36,0.0,7.05,0.0,0.0,1.55,0.0,0.0,0.0,3.33,0.0
6,CA,LBR_1,LBR,16.53,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0
6,CA,LIB_1,LIB,15.34,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0
6,CA,POP_1,POP,7.66,1.97,0.0,0.0,0.0,0.84,0.0,0.0,1.45,7.76,9.68
6,CA,STY_1,STY,9.95,2.89,0.0,0.0,1.8,2.55,0.0,0.0,0.0,0.0,0.0
8,CO,CON_1,CON,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.28,0.0,0.0,0.0,0.0,0.55,0.0,4.09,0.0,0.0,0.0
8,CO,LIB_1,LIB,14.15,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22
8,CO,POP_1,POP,10.59,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41,0.0
8,CO,STY_1,STY,4.47,0.52,3.93,8.47,1.57,0.84,0.0,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,5.67,0.0,4.65,6.95,0.56,0.0,0.0,0.0,0.0,1.66,0.0
9,CT,LBR_1,LBR,13.33,0.0,0.0,0.0,0.0,0.0,0.0,2.56,3.31,0.0,0.83
9,CT,LIB_1,LIB,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.21
9,CT,POP_1,POP,8.84,0.92,1.88,0.0,1.66,0.0,0.0,0.0,2.0,8.66,0.0
10,DE,CON_1,CON,25.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.78,14.77,1.29,0.0,1.01,0.0,0.0,0.0,6.54,0.0
10,DE,LBR_1,LBR,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.83,0.0,0.0,0.0,0.53,1.54,0.0,0.0,0.0,0.0,5.19
10,DE,STY_1,STY,4.7,0.0,0.0,2.6,3.6,4.58,0.69,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0
11,DC,LIB_1,LIB,30.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,0.0,0.0,1.31,12.8,3.11,0.0,0.0,0.0
11,DC,POP_1,POP,10.12,12.91,0.0,0.0,0.0,1.54,0.53,0.0,1.31,0.0,1.19
11,DC,PRG_1,PRG,13.76,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0
12,FL,CON_1,CON,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0
12,FL,CUP_1,CUP,10.05,2.32,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.52,0.0,1.11,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0
12,FL,LIB_1,LIB,8.57,0.0,1.23,0.0,0.56,0.0,0.0,1.6,5.14,0.0,1.63
12,FL,STY_1,STY,10.17,0.74,0.0,9.56,2.7,0.0,0.0,1.5,0.0,0.0,0.0
13,GA,CON_1,CON,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,0.0
