state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,464.68,19,5,31.2586,0.0,15.1852,15.0218,38.5345,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,82.99,20,5,26.3382,,17.9075,,18.1881,22.7824,14.7838,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,787.87,23,5,26.2152,,,19.5699,15.1597,20.3748,18.6804,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,271.98,22,5,35.4581,,13.2146,,7.4187,32.5341,,11.3745,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2615.39,22,5,21.489,,,,13.6134,23.0962,25.7136,16.0878,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,566.47,21,5,30.4453,,,,6.2809,20.734,26.4325,16.1073,,,,
9,CT,CON_1,CON_1,CON,pure,0,,333.88,22,5,24.8555,,8.0192,,,20.3702,29.5722,17.1829,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,145.63,20,5,35.6394,0.0,,,8.527,31.1213,24.7123,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,81.99,19,5,,,,,,31.8603,31.5374,22.4917,0.0,14.1106,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2042.14,23,5,32.2419,,17.2857,,12.6363,28.7426,,9.0934,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,961.11,20,5,35.5318,,12.0122,,15.8709,19.8049,16.7802,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,138.45,20,5,29.226,,,,,29.4999,28.0886,13.1856,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,218.86,20,5,26.2515,,,15.8276,,21.7294,14.3571,21.8344,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,991.56,22,5,27.2243,,14.0458,,,22.3018,23.7477,12.6806,,,,
18,IN,CON_1,CON_1,CON,pure,0,,660.11,22,5,38.1765,,14.3769,,13.624,17.505,16.3175,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,296.96,23,5,37.5429,,12.4184,,,23.6651,13.9586,12.415,,,,
20,KS,CON_1,CON_1,CON,pure,0,,248.89,20,5,43.8821,0.0,,,16.6473,17.2897,22.181,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,466.71,22,5,26.5894,,15.6681,14.8391,15.9414,26.962,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,331.07,19,5,25.5698,,18.4536,16.9354,15.2708,23.7704,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,165.97,24,5,24.3982,,,,,22.3851,23.3379,19.8672,,10.0116,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,522.68,22,5,25.1706,,,,9.2832,26.0356,26.0218,13.4888,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,542.94,23,5,28.3984,,,,,27.9879,19.1341,11.613,,12.8666,,
26,MI,CON_1,CON_1,CON,pure,0,,904.82,20,5,35.0202,,8.4638,,,21.5123,20.0358,14.9679,,,,
27,MN,CON_1,CON_1,CON,pure,0,,496.84,23,5,22.5688,,,10.6203,,19.6509,33.8201,13.3399,,,,
28,MS,STY_1,STY_1,STY,pure,2,,273.1,19,5,35.3099,,,,21.3271,20.4177,,10.2133,,,,12.732
29,MO,CON_1,CON_1,CON,pure,0,,622.03,21,5,39.2795,,10.3314,,15.3489,21.1238,13.9166,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,174.56,22,5,23.8852,,,23.9309,13.2688,18.1,20.8151,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,191.98,22,5,27.3544,,13.7077,,,27.2831,14.2354,17.4194,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,468.93,21,5,31.5431,,,,11.1167,21.0921,21.4494,14.7987,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,180.7,22,5,27.6258,,,,,33.7269,13.0785,12.5637,,13.0051,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,791.43,22,5,28.9025,,,,7.2606,22.6559,27.4094,13.7716,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,268.43,21,5,27.9734,,15.2265,,11.4847,26.6008,18.7146,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1549.88,23,5,26.5738,,,,10.4664,26.0932,24.5134,12.3533,,,,
37,NC,CON_1,CON_1,CON,pure,0,,971.31,23,5,37.4795,,,,10.9125,17.779,19.5687,14.2604,,,,
38,ND,CON_1,CON_1,CON,pure,0,,73.68,22,5,29.7961,,15.5813,,,22.0884,17.4267,15.1076,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1145.08,22,5,36.2661,,12.7457,,,21.1341,15.6955,14.1586,,,,
40,OK,CON_1,CON_1,CON,pure,0,,403.17,23,5,26.6603,,15.436,18.5059,24.4834,,14.9143,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,607.74,23,5,22.548,,,17.0687,,24.9529,17.8743,,,17.5562,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1495.6,22,5,30.7133,,,,,22.7496,24.1667,15.0743,,,,7.2961
44,RI,LBR_1,LBR_1,LBR,pure,1,,111.08,24,5,26.6203,,,,7.5922,24.064,31.161,10.5625,,,,
45,SC,CON_1,CON_1,CON,pure,0,,479.45,21,5,28.6766,,,13.9738,12.3494,33.8144,,11.1858,,,,
46,SD,CON_1,CON_1,CON,pure,0,,92.45,22,5,20.483,,20.2085,15.1249,16.5143,27.6692,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,762.39,20,5,34.2785,0.0,17.7842,18.3746,29.5627,,,,,,,
48,TX,CON_1,CON_1,CON,pure,0,,2280.58,22,5,25.2475,,16.2077,11.2059,18.7418,28.5971,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,296.65,22,5,26.3963,,11.1718,,11.2242,36.7501,,14.4576,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,77.43,23,5,23.3762,,,,,22.2694,14.032,,,30.5553,,9.767
51,VA,LBR_1,LBR_1,LBR,pure,1,,894.02,22,5,35.6891,,9.1473,,11.8948,21.9468,21.322,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,837.93,22,5,33.0661,,10.9298,,,26.5422,15.9668,,,13.495,,
54,WV,STY_1,STY_1,STY,pure,2,,229.64,21,5,37.5817,,15.3657,,15.7477,23.385,,7.92,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,655.58,22,5,35.0137,,,,7.6332,22.2954,21.5232,13.5345,,,,
56,WY,POP_1,POP_1,POP,pure,5,,65.86,21,5,40.6523,0.0,12.451,,,,21.6186,25.2781,,,,
