state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_CON_2_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,440.39,19,5,31.2335,12.4913,12.696,15.3315,21.6976,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,78.38,20,5,24.4517,17.7903,,,17.4135,22.6102,15.1626,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,750.72,23,5,22.5907,,,18.4189,,18.4921,15.7635,10.5504,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,258.13,22,5,24.773,12.5308,,11.8986,,28.9126,,13.1968,,,,,
6,CA,LIB_1,LIB_1,LIB,pure,4,,2481.69,22,5,18.8166,,,12.0264,16.9531,22.3255,22.9871,,,,,,
8,CO,CON_1,CON_1,CON,pure,0,,539.74,21,5,30.7495,,,,,22.1428,15.7941,17.904,11.6121,,,,
9,CT,CON_1,CON_1,CON,pure,0,,318.38,22,5,25.4113,,,,,19.1917,19.0124,19.107,11.981,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,138.43,20,5,32.396,,,,8.1957,24.6955,17.363,,,14.5199,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,78.24,19,5,,,,,,28.2215,31.9436,13.6253,14.4584,,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,1933.19,23,5,33.874,16.2563,,,17.1372,19.1372,11.6117,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,910.75,20,5,34.4928,11.937,,,15.1599,19.6237,17.1574,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,131.63,20,5,24.1835,,,,,26.8216,22.3578,12.7959,,11.7543,,,
16,ID,CON_1,CON_1,CON,pure,0,,208.18,20,5,25.7445,,,16.1026,,18.8168,11.5579,19.216,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,944.67,22,5,28.6503,14.3388,,,,19.9603,15.3984,,10.2959,,,,
18,IN,CON_1,CON_1,CON,pure,0,,627.3,22,5,22.8273,14.2489,,15.7876,,17.2625,14.1861,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,282.22,23,5,23.5437,12.4764,,15.6569,,19.133,12.4004,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,236.73,20,5,27.8455,,,11.9565,,16.9525,20.7661,10.2897,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,442.45,22,5,24.6278,13.1118,,14.4133,,16.5227,12.1372,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,314.11,19,5,25.7706,18.3619,,17.2737,14.647,17.2265,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,158.09,24,5,23.4816,,,,,21.3015,23.5898,18.9871,10.287,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,496.49,22,5,23.0527,,,,,24.5009,14.1812,13.3744,13.295,,,,
25,MA,CON_1,CON_1,CON,pure,0,,517.85,23,5,21.7133,,,9.1256,,26.6204,18.1161,,13.1881,,,,
26,MI,CON_1,CON_1,CON,pure,0,,861.93,20,5,24.4345,,,15.8057,,21.0402,17.7238,12.2992,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,474.38,23,5,25.2376,,,,,15.5801,19.7586,19.0657,15.0617,,,,
28,MS,CON_1,CON_1,CON,pure,0,,257.3,19,5,25.8172,,,12.6794,26.3242,20.1115,,,,12.9728,,,
29,MO,CON_1,CON_1,CON,pure,0,,590.32,21,5,28.9223,,,13.3065,16.3546,21.6291,12.7047,,,,,,
30,MT,NAT_1,NAT_1,NAT,pure,3,,166.21,22,5,20.0524,9.5628,,24.3124,,15.4038,20.7541,,,,,,
31,NE,CON_1,CON_1,CON,pure,0,,181.96,22,5,23.228,17.6362,,11.1248,,21.2236,13.4197,,,,,,
32,NV,CON_1,CON_1,CON,pure,0,,445.23,21,5,27.6018,,,12.776,14.7476,20.1331,19.9436,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,172.32,22,5,17.1097,12.0515,,,,32.423,,,14.4568,13.91,,,
34,NJ,CON_1,CON_1,CON,pure,0,,754.13,22,5,25.909,,,11.8179,,23.1175,17.4542,,10.6434,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,254.05,21,5,23.38,15.1134,,,10.9912,26.2589,14.2855,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1474.01,23,5,22.3185,,,,,22.4378,18.6666,12.2556,,10.1939,,,
37,NC,CON_1,CON_1,CON,pure,0,,923.66,23,5,26.3964,,,12.9956,,17.183,15.3399,10.6103,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,69.85,22,5,30.1464,15.4381,,,,21.7548,17.8147,14.846,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1088.0,22,5,27.6457,13.2269,,13.469,,16.3558,15.0202,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,383.37,23,5,25.2611,13.7154,,18.5319,,10.3563,12.5553,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,581.6,23,5,17.9822,,,17.2068,,22.2862,17.7361,,17.9327,,,,
42,PA,CON_1,CON_1,CON,pure,0,,1425.4,22,5,26.4988,,,10.6421,,21.5134,23.2866,10.0641,,,,,
44,RI,LIB_1,LIB_1,LIB,pure,4,,105.79,24,5,24.0961,,,,,22.1373,20.5807,10.4317,11.3754,,,,
45,SC,CON_1,CON_1,CON,pure,0,,455.02,21,5,27.1135,,,14.2487,,20.2042,11.592,11.0134,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,87.75,22,5,20.6674,18.5039,,15.4203,15.9557,20.4288,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,725.47,20,5,34.0767,14.4815,,18.6825,19.2351,,,,,,,0.0,
48,TX,CON_1,CON_1,CON,pure,0,,2159.35,22,5,25.5027,15.6586,,11.4493,18.1289,24.2143,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,280.61,22,5,21.4591,,11.8026,11.4431,,24.5982,,12.4059,,,,,
50,VT,PRG_1,PRG_1,PRG,pure,9,,74.3,23,5,27.5929,,,,,19.7953,14.443,,31.162,,,,0.0
51,VA,CON_1,CON_1,CON,pure,0,,850.61,22,5,25.1475,,,12.5634,,21.2654,11.7579,,11.574,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,799.43,22,5,19.0854,,,11.8674,,26.2684,16.379,,13.8359,,,,
54,WV,CON_1,CON_1,CON,pure,0,,217.18,21,5,26.6775,18.8458,,12.1085,18.7787,19.8301,,,,,,,
55,WI,CON_1,CON_1,CON,pure,0,,624.17,22,5,26.7332,,,11.6572,,21.4483,16.7754,12.776,,,,,
56,WY,CON_1,CON_1,CON,pure,0,,62.57,21,5,40.3559,,,,,13.5102,15.7659,19.8469,,,,0.0,
