state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,46.28,11.7,13.66,8.56,19.8
2,AK,LBR_1,CUP_1,STY_1,105,4,26.83,17.79,22.61,15.16,17.61
4,AZ,CON_1,STY_1,STY_1,1159,3,43.03,6.27,17.55,18.57,14.58
5,AR,CON_1,STY_1,STY_1,390,4,36.6,12.82,22.97,11.51,16.1
6,CA,LBR_1,LIB_1,LBR_1,3626,4,28.12,8.43,21.44,25.89,16.11
8,CO,LBR_1,LIB_1,LBR_1,785,4,35.56,6.35,18.95,26.29,12.85
9,CT,CON_1,LBR_1,LBR_1,465,4,33.19,10.05,16.86,30.11,9.79
10,DE,LBR_1,LIB_1,LBR_1,164,4,33.17,10.75,25.26,23.31,7.51
11,DC,LBR_1,STY_1,LBR_1,122,4,9.69,8.19,27.22,45.53,9.37
12,FL,LBR_1,CUP_1,STY_1,3350,4,34.28,16.26,19.34,12.87,17.25
13,GA,LBR_1,STY_1,STY_1,1489,4,35.96,11.94,19.62,17.16,15.32
15,HI,LBR_1,LIB_1,LBR_1,153,4,27.86,10.7,24.95,25.35,11.14
16,ID,CON_1,CUP_1,STY_1,244,4,41.99,15.8,16.61,14.37,11.23
17,IL,LBR_1,LIB_1,LBR_1,1758,4,32.2,13.72,19.12,24.19,10.77
18,IN,CON_1,CUP_1,CON_1,978,4,38.61,14.25,17.35,16.66,13.12
19,IA,CON_1,STY_1,STY_1,490,4,39.2,12.48,19.13,14.24,14.95
20,KS,CON_1,STY_1,STY_1,385,3,41.22,6.5,15.13,22.15,15.01
21,KY,CON_1,CUP_1,CON_1,674,3,41.15,14.25,16.52,12.14,15.94
22,LA,CON_1,CUP_1,CON_1,493,4,43.04,16.37,13.12,12.82,14.65
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.76,6.6,19.5,32.41,13.73
24,MD,LBR_1,LIB_1,LBR_1,791,4,27.02,8.19,24.86,26.5,13.43
25,MA,LBR_1,LIB_1,LBR_1,906,4,29.23,7.85,23.51,29.95,9.45
26,MI,CON_1,STY_1,STY_1,1531,3,40.36,8.27,19.06,20.41,11.9
27,MN,CON_1,LBR_1,LBR_1,811,4,30.24,8.2,15.15,33.49,12.92
28,MS,STY_1,LBR_1,STY_1,349,4,35.83,14.82,17.87,6.01,25.47
29,MO,CON_1,STY_1,STY_1,1047,4,39.74,10.24,21.02,14.23,14.77
30,MT,CON_1,STY_1,CON_1,185,3,44.36,9.56,15.4,21.09,9.58
31,NE,LBR_1,CUP_1,STY_1,286,4,34.35,17.64,21.22,14.55,12.23
32,NV,LBR_1,LIB_1,STY_1,573,4,37.14,6.54,20.12,20.96,15.24
33,NH,LBR_1,LIB_1,LBR_1,252,4,30.03,11.98,26.59,24.21,7.19
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,33.54,8.92,19.95,27.24,10.35
35,NM,LBR_1,LIB_1,LBR_1,309,4,28.33,15.11,26.37,19.2,10.99
36,NY,LBR_1,LIB_1,LBR_1,2585,4,28.73,10.03,23.41,24.05,13.79
37,NC,STY_1,LIB_1,STY_1,1444,4,39.4,10.17,16.67,18.94,14.82
38,ND,CON_1,CUP_1,STY_1,90,4,36.49,16.59,19.05,17.81,10.07
39,OH,CON_1,CUP_1,STY_1,1978,3,40.87,13.44,16.55,16.02,13.12
40,OK,CON_1,CUP_1,CON_1,537,4,43.33,14.32,10.42,13.4,18.52
41,OR,LIB_1,LBR_1,LBR_1,810,4,31.8,4.92,20.81,34.01,8.46
42,PA,CON_1,LBR_1,LBR_1,2418,4,36.57,8.83,18.47,25.87,10.26
44,RI,LBR_1,LIB_1,LBR_1,176,4,26.12,8.21,21.66,30.85,13.16
45,SC,CON_1,STY_1,STY_1,736,4,39.98,10.76,19.86,12.25,17.15
46,SD,CON_1,CUP_1,STY_1,137,4,36.09,18.14,15.29,14.52,15.96
47,TN,CON_1,none,CON_1,1065,1,52.66,12.78,11.9,8.28,14.38
48,TX,CON_1,STY_1,STY_1,3392,4,36.66,14.64,18.67,11.86,18.17
49,UT,LBR_1,STY_1,STY_1,387,4,31.32,11.27,25.38,12.34,19.7
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.38,7.61,15.0,45.6,6.4
51,VA,LBR_1,LIB_1,STY_1,1234,4,36.01,9.05,21.71,21.79,11.44
53,WA,LBR_1,LIB_1,LBR_1,1112,4,29.03,10.02,22.41,29.25,9.28
54,WV,CON_1,CUP_1,STY_1,335,4,38.76,17.84,15.56,9.03,18.8
55,WI,LBR_1,LIB_1,STY_1,1088,4,39.07,10.05,18.57,21.4,10.91
56,WY,STY_1,LIB_1,CON_1,70,4,40.46,13.84,12.67,15.77,17.25
