state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_DSA_1_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,440.39,19,5,31.5715,0.0,15.1399,15.3315,37.9571,,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,78.38,20,5,26.8283,,17.7903,,17.6086,22.6102,15.1626,,,,,,,
4,AZ,POP_1,POP_1,POP,pure,5,,750.72,23,5,23.336,,,18.4189,,24.8275,19.0389,14.3786,,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,258.13,22,5,35.9006,,13.1681,,7.1384,32.5842,,11.2086,,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2481.69,22,5,20.683,,,12.0264,17.9187,23.0816,26.2903,,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,539.74,21,5,30.9229,,,,,23.4022,15.7941,18.2687,11.6121,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,318.38,22,5,26.4205,,,,,21.7293,19.9895,19.8797,11.981,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,138.43,20,5,38.0169,0.0,,,,30.1002,17.363,,,14.5199,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,78.24,19,5,,,,,,31.4259,31.9436,22.172,14.4584,,0.0,,,
12,FL,STY_1,STY_1,STY,pure,2,,1933.19,23,5,34.282,,16.2563,,17.2486,19.3447,12.8684,,,,,,,
13,GA,STY_1,STY_1,STY,pure,2,,910.75,20,5,35.9634,,11.937,,15.3186,19.6237,17.1574,,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,131.63,20,5,29.4576,,,,,29.006,28.5512,12.9852,,,,0.0,,
16,ID,POP_1,POP_1,POP,pure,5,,208.18,20,5,26.3785,,,16.1026,,21.4728,14.6402,21.4059,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,944.67,22,5,27.3992,,13.8963,,,21.9835,24.1895,12.5315,,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,627.3,22,5,30.2606,,,15.7876,17.4339,18.3148,18.2031,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,282.22,23,5,28.7415,,16.6733,15.6569,,24.6856,14.2426,,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,236.73,20,5,44.1636,0.0,,,16.0497,17.1657,22.621,,,,,,,
