state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_CON_2_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,456.27,19,5,30.9844,12.557,12.6119,15.0474,22.317,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,81.28,20,5,24.1266,17.9384,,,17.9558,22.6162,14.8422,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,773.47,23,5,22.5571,,,18.1731,,18.5967,15.5356,10.6623,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,266.69,22,5,24.65,12.6261,,11.7073,,29.0443,,13.4083,,,,,
6,CA,LIB_1,LIB_1,LIB,pure,4,,2564.16,22,5,18.7689,,,11.8572,17.5418,22.4035,22.5974,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,555.72,21,5,30.6671,,,,,22.3941,15.6091,18.0747,11.416,,,,
9,CT,CON_1,CON_1,CON,pure,0,,327.59,22,5,25.3415,,,,,19.4697,18.7906,19.2799,11.78,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,142.8,20,5,32.2533,,,,8.4903,24.8518,17.1204,,,14.4592,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,80.41,19,5,,,,,,28.5088,31.5895,13.8343,14.2407,,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,2002.69,23,5,33.5191,16.3375,,,17.6702,19.1362,11.3973,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,941.95,20,5,34.1931,12.032,,,15.652,19.6663,16.846,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,135.6,20,5,24.1086,,,,,27.0773,22.0409,12.934,,11.7191,,,
16,ID,CON_1,CON_1,CON,pure,0,,214.68,20,5,25.6961,,,15.8728,,19.0013,11.3894,19.4745,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,973.32,22,5,27.2847,14.0576,,,,20.5265,20.0186,12.6094,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,647.72,22,5,22.7216,14.3758,,15.5494,,17.319,13.9585,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,291.36,23,5,23.453,12.5708,,15.4167,,19.2013,12.2126,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,244.28,20,5,27.7595,,,11.7785,,17.0327,20.4355,10.3844,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,457.76,22,5,24.4579,13.1875,,14.1619,,16.5435,11.9129,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,324.9,19,5,25.6198,18.4602,,16.9763,15.1949,17.177,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,162.81,24,5,23.4353,,,,,21.562,23.3169,19.2135,10.1,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,512.36,22,5,22.9416,,,,,24.6105,13.9885,13.4227,13.0307,,,,
25,MA,CON_1,CON_1,CON,pure,0,,533.02,23,5,27.5762,,,,10.0353,23.1415,17.9133,,12.9731,,,,
26,MI,CON_1,CON_1,CON,pure,0,,887.91,20,5,24.4045,,,15.5971,,21.238,17.4836,12.5525,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,487.69,23,5,25.2347,,,,,15.771,19.561,19.2446,14.8246,,,,
28,MS,CON_1,CON_1,CON,pure,0,,267.69,19,5,25.5789,,,12.4055,27.151,19.9727,,,,12.8043,,,
29,MO,CON_1,CON_1,CON,pure,0,,610.35,21,5,28.8082,,,13.0833,16.8821,21.6736,12.4826,,,,,,
30,MT,NAT_1,NAT_1,NAT,pure,3,,171.27,22,5,23.5748,,,23.9903,11.3481,17.1107,20.5526,,,,,,
31,NE,CON_1,CON_1,CON,pure,0,,188.29,22,5,23.0913,17.7999,,10.9286,,21.2495,13.1986,,,,,,
32,NV,CON_1,CON_1,CON,pure,0,,459.8,21,5,27.5435,,,12.5906,15.2345,20.2224,19.6404,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,177.45,22,5,17.7547,,,,,35.9006,,12.2438,14.2252,13.8668,,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,776.8,22,5,25.9433,,,11.6848,,23.3661,17.2486,,10.4513,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,262.99,21,5,23.1999,15.2365,,,11.4545,26.3075,14.0175,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1520.7,23,5,24.507,,,,10.2513,25.0733,20.0783,12.2888,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,953.2,23,5,27.9096,,,13.715,16.8615,17.2461,15.1176,,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,72.19,22,5,29.9236,15.6102,,,,21.9505,17.5219,14.9938,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1123.51,22,5,27.5391,13.3504,,13.2671,,16.4044,14.7742,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,395.75,23,5,25.1425,13.8301,,18.2492,,10.3968,12.3737,,,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,597.16,23,5,18.0798,,,17.0697,,22.5991,17.5713,,17.6864,,,,
42,PA,CON_1,CON_1,CON,pure,0,,1467.85,22,5,26.4928,,,10.5053,,21.7755,22.965,10.2531,,,,,
44,RI,LIB_1,LIB_1,LIB,pure,4,,108.98,24,5,23.9956,,,,,22.2906,20.3302,10.4916,11.1733,,,,
45,SC,CON_1,CON_1,CON,pure,0,,470.31,21,5,26.991,,,14.0135,,20.2589,11.4079,11.1051,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,90.74,22,5,20.5362,18.6282,,15.1598,16.4529,20.3586,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,748.69,20,5,33.9444,14.5639,,18.405,19.6767,,,,,,,0.0,
48,TX,CON_1,CON_1,CON,pure,0,,2236.89,22,5,25.3129,15.7018,,11.2376,18.6938,24.1058,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,290.7,22,5,21.3388,,11.7031,11.2289,,24.5266,,12.4738,,,,,
50,VT,PRG_1,PRG_1,PRG,pure,9,,76.16,23,5,27.6634,,,,,20.1546,14.3175,,30.7432,,,,0.0
51,VA,CON_1,CON_1,CON,pure,0,,877.06,22,5,25.1095,,,12.3911,13.0232,21.7225,18.15,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,822.89,22,5,19.116,,,11.7443,,26.5678,16.1909,,13.6009,,,,
54,WV,CON_1,CON_1,CON,pure,0,,225.13,21,5,26.4474,18.9247,,11.8754,19.3264,19.7497,,,,,,,
55,WI,CON_1,CON_1,CON,pure,0,,643.35,22,5,26.6884,,,11.4968,,21.6438,16.5357,13.062,,,,,
56,WY,CON_1,CON_1,CON,pure,0,,64.55,21,5,40.0813,,,,,13.594,15.5247,20.1457,,,,0.0,
