district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6
01-01,1,AL,URBAN,7,394,13,CON,NAT,STY,CON,CUP,DSA,LIB
01-02,1,AL,SUBURBAN,6,267,13,CON,POP,CON,DSA,LBR,STY,
02-01,2,AK,SUBURBAN,2,105,10,LBR,CON,,,,,
04-01,4,AZ,URBAN,7,613,13,CON,NAT,POP,LBR,CON,DSA,LIB
04-02,4,AZ,URBAN,7,546,14,NAT,CON,LBR,POP,CON,LIB,STY
04-03,4,AZ,SUBURBAN,5,1159,11,CON,NAT,POP,LBR,LIB,,
05-01,5,AR,URBAN,4,211,11,CON,LBR,CON,POP,,,
05-02,5,AR,SUBURBAN,4,179,10,CON,CUP,LBR,STY,,,
06-01,6,CA,URBAN,7,874,12,STY,LBR,LIB,CON,CUP,POP,PRG
06-02,6,CA,URBAN,7,303,12,STY,CON,LBR,LIB,NAT,POP,PRG
06-03,6,CA,URBAN,7,268,12,LBR,LIB,OAO,CON,CUP,NAT,STY
06-04,6,CA,URBAN,7,475,13,LBR,CON,LIB,LBR,NAT,POP,STY
06-05,6,CA,URBAN,7,251,13,LIB,LBR,PRG,CON,STY,LIB,OAO
06-06,6,CA,URBAN,7,346,14,CON,LIB,NAT,LBR,STY,CON,POP
06-07,6,CA,URBAN,7,310,12,LIB,LBR,CON,STY,LBR,LIB,PRG
06-08,6,CA,URBAN,7,281,13,LBR,LIB,STY,CON,NAT,POP,PRG
06-09,6,CA,URBAN,7,306,14,NAT,CON,LBR,LIB,OAO,POP,STY
06-10,6,CA,URBAN,7,84,14,LIB,CUP,CON,LBR,NAT,OAO,PRG
06-11,6,CA,SUBURBAN,7,75,13,POP,NAT,CON,CUP,LBR,LIB,POP
06-12,6,CA,SUBURBAN,7,10,15,STY,STY,CON,CUP,LBR,PRG,STY
06-13,6,CA,SUBURBAN,7,27,14,NAT,POP,NAT,CON,LBR,LIB,POP
06-14,6,CA,SUBURBAN,7,12,15,STY,LBR,LIB,NAT,OAO,POP,STY
06-15,6,CA,RURAL,6,3625,12,LBR,LIB,STY,CON,NAT,PRG,
08-01,8,CO,URBAN,5,356,11,LBR,CON,LIB,POP,PRG,,
08-02,8,CO,URBAN,5,338,11,CON,LBR,LIB,NAT,POP,,
08-03,8,CO,SUBURBAN,5,91,11,CON,LIB,LBR,CON,PRG,,
09-01,9,CT,URBAN,5,327,11,CON,LIB,LBR,POP,CON,,
09-02,9,CT,SUBURBAN,4,138,10,LBR,POP,LIB,NAT,,,
10-01,10,DE,URBAN,3,164,10,CON,LBR,LIB,,,,
11-01,11,DC,URBAN,2,122,10,LIB,LBR,,,,,
12-01,12,FL,URBAN,7,477,13,CON,LBR,STY,LIB,CON,CUP,POP
12-02,12,FL,URBAN,7,422,13,CON,STY,LIB,DSA,LBR,CUP,NAT
