state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,35.92,12.9,28.11,8.29,14.78
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.22,18.72,34.97,14.54,11.55
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.56,7.51,26.09,18.01,19.84
5,AR,CON_1,CUP_1,CON_1,390,4,29.38,14.63,32.71,11.11,12.16
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.15,10.41,31.68,25.02,11.74
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.3,8.62,24.09,25.57,10.42
9,CT,CON_1,LBR_1,LBR_1,465,4,27.22,10.8,22.67,29.3,10.01
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.22,12.54,29.21,22.73,6.3
11,DC,LBR_1,CON_1,LBR_1,122,4,16.37,8.67,30.55,44.41,0.0
12,FL,LBR_1,CUP_1,LBR_1,3350,4,28.98,19.12,30.45,12.4,9.05
13,GA,LBR_1,LIB_1,LBR_1,1489,4,29.4,16.09,27.66,16.55,10.3
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.03,11.25,34.34,24.71,4.66
16,ID,CON_1,CUP_1,CON_1,244,4,29.96,19.82,20.48,13.94,15.8
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.02,15.6,25.37,23.5,9.5
18,IN,CON_1,CUP_1,CON_1,978,4,25.93,18.3,24.21,16.12,15.44
19,IA,CON_1,CUP_1,CON_1,490,4,28.72,17.05,25.22,13.81,15.19
20,KS,CON_1,CUP_1,CON_1,385,3,31.21,13.41,21.77,21.44,12.16
21,KY,CON_1,CUP_1,CON_1,674,4,30.2,17.33,26.12,11.7,14.64
22,LA,CON_1,CUP_1,CON_1,493,4,30.54,19.01,21.43,12.33,16.7
23,ME,LIB_1,LBR_1,LBR_1,236,4,26.23,7.04,26.88,31.57,8.28
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.32,9.74,33.82,25.64,8.48
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.09,9.36,30.21,29.15,9.2
26,MI,CON_1,NAT_1,CON_1,1531,3,29.97,10.26,24.06,19.83,15.88
27,MN,CON_1,LBR_1,LBR_1,811,4,26.58,10.15,19.79,32.67,10.8
28,MS,CON_1,CUP_1,CON_1,349,4,29.41,18.35,34.35,5.74,12.15
29,MO,CON_1,LIB_1,CON_1,1047,4,29.98,11.97,31.4,13.72,12.93
30,MT,CON_1,NAT_1,CON_1,185,4,20.99,10.94,23.9,20.48,23.69
31,NE,LBR_1,CUP_1,LBR_1,286,4,24.03,19.02,32.12,14.08,10.75
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.61,8.46,30.05,20.28,12.6
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.44,14.85,31.14,23.54,7.02
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.26,12.19,23.51,26.48,11.56
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.82,16.7,35.68,18.48,7.32
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.63,12.03,31.42,23.29,9.63
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,12.39,23.72,18.33,14.53
38,ND,CON_1,CUP_1,CUP_1,90,4,33.18,22.05,23.4,17.25,4.12
39,OH,CON_1,CUP_1,CON_1,1978,3,31.4,14.64,25.35,15.5,13.1
40,OK,CON_1,NAT_1,CON_1,537,4,30.48,15.88,22.34,13.02,18.28
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.41,6.57,24.87,33.21,16.94
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.96,10.33,24.05,25.15,11.52
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.39,29.48,29.99,6.53
45,SC,CON_1,CUP_1,CON_1,736,4,30.77,13.54,30.07,11.83,13.79
46,SD,CON_1,CUP_1,CUP_1,137,4,25.49,20.7,24.52,14.37,14.92
47,TN,CON_1,NAT_1,CON_1,1065,4,38.99,14.11,20.33,8.02,18.55
48,TX,CON_1,CUP_1,CON_1,3392,4,29.64,17.0,30.71,11.43,11.22
49,UT,LBR_1,CUP_1,LBR_1,387,4,23.97,14.72,38.18,11.86,11.27
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.64,7.09,19.67,44.54,5.06
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.96,10.16,28.57,21.09,12.23
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.32,11.07,27.5,28.44,11.68
54,WV,CON_1,CUP_1,CON_1,335,4,32.6,18.68,28.4,8.67,11.66
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.13,11.63,24.59,20.76,11.89
56,WY,CON_1,CUP_1,CON_1,70,4,35.26,23.34,16.19,15.3,9.92
