state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,472.15,19,5,31.0853,0.0,15.1812,14.7824,38.9511,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,84.19,20,5,26.1097,,18.0763,,18.6484,22.6218,14.5438,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,796.21,23,5,26.2339,,,19.375,15.4916,20.4125,18.4871,,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,275.25,22,5,24.7461,,14.8576,11.7816,16.2467,32.3681,,,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2646.63,22,5,20.5798,,,11.6987,19.0809,23.2277,25.4129,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,571.69,21,5,30.452,,,,6.5268,20.7434,26.1952,16.0827,,,,,
9,CT,CON_1,CON_1,CON,pure,0,,336.8,22,5,24.8564,,8.119,,,20.4858,29.3016,17.2371,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,147.16,20,5,35.5854,0.0,,,8.7674,31.0863,24.5608,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,82.58,19,5,,,,,,32.0507,31.2539,22.6609,0.0,14.0344,,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2072.18,23,5,32.0124,,17.3353,,13.0963,28.5056,,9.0504,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,973.15,20,5,35.3504,,12.1209,,16.268,19.7061,16.5546,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,139.57,20,5,29.2843,,,,,29.5597,27.8966,13.2594,,,0.0,,
16,ID,CON_1,CON_1,CON,pure,0,,221.19,20,5,26.2794,,,15.6565,,21.8887,14.2046,21.9708,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1001.97,22,5,27.185,,14.2097,,,22.4185,23.504,12.6828,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,668.15,22,5,37.9482,,14.4949,,13.968,17.4643,16.1246,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,300.5,23,5,28.7229,,17.0508,15.191,,25.2244,13.8108,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,251.84,20,5,43.7304,0.0,,,17.033,17.3192,21.9174,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,473.06,22,5,26.5022,,15.7445,14.6434,16.3549,26.755,,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,335.69,19,5,25.4787,,18.5521,16.6979,15.7075,23.5637,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,167.54,24,5,24.4202,,,,,22.5534,23.1301,19.9727,,9.9235,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,528.23,22,5,25.1543,,,,9.6523,25.9626,25.7629,13.468,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,548.2,23,5,28.3767,,,,,28.1939,18.9701,11.6892,,12.77,,,
26,MI,CON_1,CON_1,CON,pure,0,,913.89,20,5,26.0462,,,15.4003,,24.1557,20.7912,13.6066,,,,,
27,MN,CON_1,CON_1,CON,pure,0,,501.0,23,5,26.9285,,,,,18.4731,20.2541,19.7442,,14.6001,,,
28,MS,STY_1,STY_1,STY,pure,2,,278.07,19,5,34.9723,,,,22.0426,20.1953,,10.1414,,,,12.6484,
29,MO,CON_1,CON_1,CON,pure,0,,630.37,21,5,30.1174,,,12.8743,20.1428,22.6022,14.2634,,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,176.34,22,5,20.9923,,10.9391,23.6866,,23.9014,20.4805,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,194.62,22,5,27.1978,,13.8551,,,27.4152,14.0758,17.4561,,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,474.37,21,5,31.4753,,,,11.537,21.0254,21.2308,14.7315,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,182.58,22,5,18.3179,,,,,41.2449,,12.6044,,14.0067,,13.8261,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,799.47,22,5,27.3632,,,11.5592,11.237,22.6933,27.1473,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,271.94,21,5,27.8208,,15.3516,,11.8873,26.4581,18.4821,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1567.39,23,5,26.5277,,,,10.8162,26.0783,24.2579,12.3199,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,982.74,23,5,29.3078,,,12.6185,,23.7315,19.3651,14.977,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,74.54,22,5,29.7147,,15.7716,,,22.1339,17.2475,15.1323,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1159.02,22,5,36.0909,,12.8698,,,21.263,15.5026,14.2737,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,408.13,23,5,26.6059,,15.5481,18.2792,24.8114,,14.7555,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,612.72,23,5,22.6818,,,16.941,,25.2017,17.7229,,,17.4527,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1510.3,22,5,29.9516,,8.8777,,,22.7575,25.1491,13.2641,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,112.18,24,5,26.611,,,,,26.2989,20.9795,15.1279,,10.9826,,,
45,SC,CON_1,CON_1,CON,pure,0,,485.6,21,5,28.6395,,,13.7931,12.765,33.6115,,11.191,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,93.72,22,5,20.4133,,20.3186,14.9158,16.9183,27.434,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,771.91,20,5,34.2061,0.0,17.8115,18.1442,29.8382,,,,,,,,
48,TX,CON_1,CON_1,CON,pure,0,,2314.43,22,5,25.1358,,16.2621,11.0401,19.2207,28.3413,,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,300.78,22,5,26.2169,,11.2503,,11.6571,36.4995,,14.3763,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,78.01,23,5,31.8167,,,,,22.5102,15.3288,,,30.3443,,,0.0
51,VA,LBR_1,LBR_1,LBR,pure,1,,903.51,22,5,27.5988,,,12.2288,14.9469,23.5957,21.6298,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,846.36,22,5,25.2738,,,11.6838,,31.9759,17.6875,,,13.379,,,
54,WV,STY_1,STY_1,STY,pure,2,,233.08,21,5,26.233,,19.155,11.6582,19.8368,23.117,,,,,,,
55,WI,LBR_1,LBR_1,LBR,pure,1,,662.53,22,5,28.0684,,,11.3456,,25.1146,21.4468,14.0245,,,,,
56,WY,POP_1,POP_1,POP,pure,5,,66.54,21,5,40.5488,0.0,12.586,,,,21.4394,25.4259,,,,,
