state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CON_2,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,LBR_1,CON_1,661,4,49.71,0.0,15.14,8.61,26.55
2,AK,LBR_1,STY_1,STY_1,105,4,35.59,0.0,23.62,14.76,26.02
4,AZ,CON_1,STY_1,STY_1,1159,3,44.43,0.0,20.6,17.99,16.98
5,AR,CON_1,STY_1,STY_1,390,4,41.81,0.0,23.81,11.09,23.28
6,CA,LBR_1,LIB_1,LBR_1,3626,4,30.76,0.0,23.45,24.62,21.17
8,CO,LBR_1,LIB_1,STY_1,785,4,37.89,0.0,21.26,25.51,15.34
9,CT,LBR_1,LIB_1,LBR_1,465,4,34.43,0.0,20.12,29.58,15.87
10,DE,LBR_1,LIB_1,LBR_1,164,4,35.24,0.0,31.46,24.05,9.25
11,DC,LBR_1,STY_1,LBR_1,122,4,11.75,0.0,28.28,43.48,16.48
12,FL,LBR_1,STY_1,STY_1,3350,4,41.25,0.0,21.55,13.06,24.14
13,GA,LBR_1,STY_1,STY_1,1489,4,40.74,0.0,21.16,16.69,21.42
15,HI,LBR_1,LIB_1,LBR_1,153,4,32.31,0.0,26.13,27.28,14.28
16,ID,CON_1,STY_1,STY_1,244,4,45.06,0.0,17.6,13.81,23.53
17,IL,LBR_1,LIB_1,LBR_1,1758,4,34.48,0.0,25.83,24.05,15.64
18,IN,CON_1,STY_1,STY_1,978,4,44.99,0.0,18.6,17.21,19.2
19,IA,CON_1,STY_1,STY_1,490,4,43.37,0.0,22.8,14.57,19.25
20,KS,STY_1,LIB_1,STY_1,385,4,43.34,0.0,17.48,21.3,17.89
21,KY,CON_1,LIB_1,CON_1,674,3,49.72,0.0,18.19,11.84,20.25
22,LA,CON_1,STY_1,STY_1,493,4,46.53,0.0,19.31,12.28,21.88
23,ME,CON_1,LBR_1,LBR_1,236,4,31.86,0.0,20.91,30.87,16.36
24,MD,LBR_1,LIB_1,LBR_1,791,4,31.39,0.0,26.53,24.96,17.12
25,MA,LBR_1,LIB_1,LBR_1,906,4,31.08,0.0,25.35,29.75,13.82
26,MI,CON_1,STY_1,STY_1,1531,3,42.66,0.0,20.97,19.76,16.61
27,MN,CON_1,LBR_1,LBR_1,811,4,34.28,0.0,17.45,32.78,15.48
28,MS,STY_1,LBR_1,STY_1,349,4,39.98,0.0,20.38,8.81,30.83
29,MO,LBR_1,STY_1,STY_1,1047,4,42.41,0.0,22.71,13.82,21.06
30,MT,LBR_1,LIB_1,STY_1,185,4,47.12,0.0,18.4,20.06,14.42
31,NE,LBR_1,STY_1,STY_1,286,4,40.62,0.0,23.83,13.65,21.91
32,NV,LBR_1,LIB_1,STY_1,573,4,39.69,0.0,21.34,20.63,18.34
33,NH,LBR_1,LIB_1,LBR_1,252,4,33.36,0.0,32.11,23.03,11.5
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,37.49,0.0,22.96,26.46,13.09
35,NM,LBR_1,LIB_1,LBR_1,309,4,36.2,0.0,32.44,18.37,12.99
36,NY,LBR_1,LIB_1,LBR_1,2585,4,31.54,0.0,26.4,23.58,18.48
37,NC,STY_1,LIB_1,STY_1,1444,4,42.64,0.0,17.93,18.82,20.6
38,ND,CON_1,STY_1,STY_1,90,4,39.48,0.0,23.2,16.73,20.6
39,OH,CON_1,STY_1,STY_1,1978,4,44.03,0.0,19.86,16.01,20.09
40,OK,CON_1,LIB_1,CON_1,537,4,48.68,0.0,11.46,12.69,27.17
41,OR,LIB_1,LBR_1,LBR_1,810,4,34.63,0.0,22.82,32.81,9.73
42,PA,LBR_1,LIB_1,LBR_1,2418,4,40.97,0.0,20.43,25.46,13.14
44,RI,LBR_1,LIB_1,LBR_1,176,4,29.25,0.0,24.4,30.08,16.27
45,SC,CON_1,STY_1,STY_1,736,4,42.94,0.0,22.4,13.01,21.64
46,SD,CON_1,STY_1,STY_1,137,4,42.89,0.0,17.56,13.95,25.6
47,TN,CON_1,none,CON_1,1065,1,58.03,0.0,13.78,9.06,19.13
48,TX,LBR_1,STY_1,STY_1,3392,4,41.65,0.0,21.31,11.94,25.1
49,UT,LBR_1,STY_1,STY_1,387,4,34.43,0.0,26.67,11.67,27.22
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.85,0.0,18.29,44.67,8.19
51,VA,LBR_1,LIB_1,STY_1,1234,4,39.45,0.0,23.89,21.0,15.66
53,WA,LBR_1,LIB_1,LBR_1,1112,4,31.31,0.0,26.9,28.64,13.15
54,WV,STY_1,LBR_1,STY_1,335,4,44.8,0.0,16.7,8.45,30.05
55,WI,LBR_1,LIB_1,STY_1,1088,4,41.25,0.0,23.15,20.71,14.88
56,WY,CON_1,STY_1,STY_1,70,4,40.98,0.0,17.72,17.24,24.05
