state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,488.03,19,5,45.2661,0.0,15.1348,13.3427,26.2564,,,,,,,,
2,AK,STY_1,STY_1,STY,pure,2,,87.09,20,5,25.7864,,18.205,,19.1163,22.627,14.2653,,,,,,
4,AZ,STY_1,STY_1,STY,pure,2,,818.95,23,5,26.2331,,,,15.8679,20.4956,18.2342,19.1693,,,,,
5,AR,STY_1,STY_1,STY,pure,2,,283.81,22,5,35.0018,,13.3744,,7.9376,32.2698,,,11.4164,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2729.1,22,5,21.3414,,,,14.6086,23.0892,25.014,,15.9468,,,,
8,CO,STY_1,STY_1,STY,pure,2,,587.67,21,5,30.3723,,,,6.7696,20.8622,25.8562,,16.1398,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,346.01,22,5,24.7878,,8.204,,,20.719,28.9302,,17.3591,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,151.52,20,5,35.4343,0.0,,,9.0286,31.2223,24.3149,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,84.76,19,5,,,,,,32.339,30.9356,,22.8866,0.0,13.8388,,
12,FL,STY_1,STY_1,STY,pure,2,,2141.68,23,5,31.6976,,17.3498,,13.5394,28.3337,,,9.0794,,,,
13,GA,STY_1,STY_1,STY,pure,2,,1004.36,20,5,35.0725,,12.2043,,16.6984,19.7435,16.2813,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,143.55,20,5,29.2049,,,,,29.8135,27.5965,,13.3851,,,0.0,
16,ID,POP_1,POP_1,POP,pure,5,,227.7,20,5,26.234,,,,,22.0789,14.0055,15.4526,22.2291,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1030.62,22,5,27.0868,,14.3534,,,22.6179,23.1898,,12.7521,,,,
18,IN,STY_1,STY_1,STY,pure,2,,688.58,22,5,37.6445,,14.6069,,14.3552,17.5142,15.8792,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,309.64,23,5,37.0953,,12.6114,,,24.0107,13.614,,12.6687,,,,
20,KS,STY_1,STY_1,STY,pure,2,,259.39,20,5,43.5327,0.0,,,17.4818,17.3892,21.5963,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,488.36,22,5,26.3653,,15.7977,,16.8149,26.5951,,14.427,,,,,
22,LA,STY_1,STY_1,STY,pure,2,,346.49,19,5,25.3463,,18.6383,,16.1883,23.3901,,16.437,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,172.26,24,5,24.3798,,,9.1501,,17.5977,28.6817,,20.1907,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,544.1,22,5,25.0536,,,,10.017,26.0455,25.3733,,13.5107,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,563.37,23,5,28.2957,,,,,28.5171,18.7904,,11.8189,,12.5779,,
26,MI,POP_1,POP_1,POP,pure,5,,939.87,20,5,34.7189,,8.6851,,,21.7971,19.5682,,15.2307,,,,
27,MN,LBR_1,LBR_1,LBR,pure,1,,514.32,23,5,22.7067,,,,,19.9816,33.1818,10.4208,13.709,,,,
28,MS,STY_1,STY_1,STY,pure,2,,288.46,19,5,34.5462,,,,22.7447,20.0686,,,10.1368,,,,12.5037
29,MO,STY_1,STY_1,STY,pure,2,,650.39,21,5,38.7,,10.4773,,16.2014,21.1253,13.496,,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,181.4,22,5,23.9715,,,,14.0834,18.2351,20.31,23.4,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,200.95,22,5,26.9662,,13.9862,,,27.6201,13.8595,,17.568,,,,
32,NV,STY_1,STY_1,STY,pure,2,,488.94,21,5,31.3124,,,,11.9374,21.1045,20.9304,,14.7153,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,187.71,22,5,27.6296,,,,,34.1419,12.816,,12.6991,,12.7134,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,822.14,22,5,28.8238,,,,7.8371,22.8095,26.7992,,13.7304,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,280.89,21,5,27.5906,,15.4593,,12.2926,26.4983,18.1591,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1614.08,23,5,26.4128,,,,11.1537,26.1661,23.9182,,12.3493,,,,
37,NC,STY_1,STY_1,STY,pure,2,,1012.28,23,5,37.1613,,,,11.6719,17.8124,19.0925,,14.2618,,,,
38,ND,CUP_1,CUP_1,CUP,pure,6,,76.88,22,5,29.5186,,15.9231,,,22.3061,16.9898,,15.2624,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1194.53,22,5,35.8312,,12.9751,,,21.4575,15.268,,14.4681,,,,
40,OK,CON_1,CON_1,CON,pure,0,,420.51,23,5,25.2395,,24.3997,,23.628,,,17.7338,8.999,,,,
41,OR,LBR_1,LBR_1,LBR,pure,1,,628.28,23,5,22.8535,,,,,25.5241,17.5747,16.8173,,,17.2305,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1552.75,22,5,36.1058,,9.1007,,11.1847,18.7921,24.8167,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,115.38,24,5,26.5286,,,,8.1791,24.2096,30.4811,,10.6015,,,,
45,SC,STY_1,STY_1,STY,pure,2,,500.9,21,5,28.5236,,,,13.1527,33.466,,13.5861,11.2716,,,,
46,SD,STY_1,STY_1,STY,pure,2,,96.71,22,5,20.2979,,20.4181,,17.3551,27.2419,,14.687,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,795.13,20,5,34.0873,0.0,17.843,,30.1711,,,17.8986,,,,,
48,TX,STY_1,STY_1,STY,pure,2,,2391.97,22,5,24.9702,,16.2955,,19.7135,28.1653,,10.8554,,,,,
49,UT,STY_1,STY_1,STY,pure,2,,310.87,22,5,25.9479,,11.3024,,12.0729,36.3012,,,14.3756,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,79.86,23,5,23.5508,,,,,22.881,13.778,,,,29.9639,,9.8263
51,VA,STY_1,STY_1,STY,pure,2,,929.96,22,5,35.343,,9.322,,12.554,22.0051,20.776,,,,,,
53,WA,LBR_1,LBR_1,LBR,pure,1,,869.82,22,5,32.944,,11.1993,,,27.0617,15.626,,,,13.169,,
