state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,508.27,19,5,44.8534,0.0,15.1678,13.1814,26.7974,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,90.93,20,5,25.4576,,18.2766,,19.4933,22.7573,14.0151,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,849.91,23,5,26.2174,,,,16.2023,20.5969,17.9865,18.9968,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,295.35,22,5,34.6974,,13.4019,,8.1215,32.2436,,,11.5356,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2840.52,22,5,21.1998,,,,14.9925,23.2451,24.6215,,15.9411,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,609.94,21,5,30.2421,,,,6.9603,21.0415,25.5076,,16.2485,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,358.92,22,5,24.6792,,8.2599,,,20.9958,28.5565,,17.5086,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,157.52,20,5,35.2392,0.0,,,9.2522,31.4619,24.0467,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,87.88,19,5,,,,,,32.6443,30.6556,,23.1097,0.0,13.5904,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2232.47,23,5,31.3821,,17.3347,,13.8793,28.2464,,,9.1575,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1046.32,20,5,34.7779,,12.2511,,17.0659,19.8774,16.0278,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,149.23,20,5,29.0354,,,,,30.1647,27.2752,,13.5247,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,236.6,20,5,26.1415,,,,,22.2539,13.8111,15.265,22.5284,,,,
